time,open,high,low,close,volume
2015-06-26,6.7,6.7,6.52,6.52,2000
2015-06-29,6.52,6.52,6.52,6.52,100
2015-06-30,6.52,6.52,6.52,6.52,0
2015-07-01,6.52,6.52,6.52,6.52,0
2015-07-02,6.46,6.52,6.21,6.52,4530
2015-07-03,6.52,6.52,6.52,6.52,1400
2015-07-06,6.52,6.52,6.52,6.52,3680
2015-07-07,6.52,6.89,6.52,6.77,220
2015-07-08,6.77,6.77,6.64,6.64,2210
2015-07-09,6.58,6.58,6.58,6.58,980
2015-07-10,6.46,6.58,6.21,6.58,2580
2015-07-13,6.21,6.52,6.21,6.52,1610
2015-07-14,6.46,6.46,6.33,6.46,4010
2015-07-15,6.21,6.52,6.21,6.39,7520
2015-07-16,6.46,6.46,6.33,6.39,11500
2015-07-17,6.46,6.52,6.27,6.46,9600
2015-07-20,6.46,6.46,6.46,6.46,1350
2015-07-21,6.33,6.46,6.33,6.46,4250
2015-07-22,6.46,6.46,6.46,6.46,1100
2015-07-23,6.46,6.46,6.46,6.46,5000
2015-07-24,6.46,6.46,6.46,6.46,310
2015-07-27,6.39,6.39,6.39,6.39,1000
2015-07-28,6.39,6.39,6.33,6.39,4200
2015-07-29,6.52,6.52,6.33,6.33,2130
2015-07-30,6.33,6.33,6.33,6.33,10
2015-07-31,6.33,6.33,6.33,6.33,560
2015-08-03,6.33,6.33,6.33,6.33,0
2015-08-04,6.39,6.52,6.21,6.52,3360
2015-08-05,6.46,6.46,6.33,6.46,1020
2015-08-06,6.46,6.46,6.46,6.46,1000
2015-08-07,6.46,6.46,6.46,6.46,0
2015-08-10,6.39,6.39,6.39,6.39,1000
2015-08-11,6.52,6.52,6.21,6.21,4520
2015-08-12,6.33,6.33,6.33,6.33,210
2015-08-13,6.52,6.52,6.52,6.52,10
2015-08-14,6.52,6.52,6.52,6.52,500
2015-08-17,6.21,6.52,6.21,6.52,1560
2015-08-18,6.52,6.52,6.52,6.52,0
2015-08-19,6.21,6.46,6.21,6.46,20300
2015-08-20,6.46,6.46,6.21,6.39,4020
2015-08-21,6.21,6.21,6.08,6.21,14040
2015-08-24,6.14,6.14,5.9,6.14,18100
2015-08-25,6.08,6.21,5.96,6.21,31050
2015-08-26,5.77,6.21,5.77,6.21,830
2015-08-27,6.14,6.14,6.14,6.14,510
2015-08-28,6.08,6.14,5.77,6.14,4480
2015-08-31,6.14,6.14,6.14,6.14,200
2015-09-01,6.02,6.21,5.77,6.21,9070
2015-09-03,6.21,6.21,6.21,6.21,10
2015-09-04,6.08,6.14,5.83,5.83,560
2015-09-07,6.08,6.08,5.71,5.71,830
2015-09-08,6.02,6.08,5.65,6.08,830
2015-09-09,6.08,6.08,6.08,6.08,40
2015-09-10,6.08,6.08,5.83,6.08,5120
2015-09-11,6.08,6.08,6.02,6.02,20
2015-09-14,6.08,6.08,6.08,6.08,2400
2015-09-15,5.96,5.96,5.83,5.83,5010
2015-09-16,5.9,6.08,5.9,6.08,1010
2015-09-17,5.96,5.96,5.96,5.96,1450
2015-09-18,6.08,6.08,5.9,6.08,50
2015-09-21,6.08,6.08,6.02,6.08,860
2015-09-22,6.08,6.08,6.08,6.08,110
2015-09-23,6.02,6.02,5.83,5.83,510
2015-09-24,6.08,6.08,5.96,5.96,30
2015-09-25,6.02,6.02,5.71,5.96,2670
2015-09-28,5.9,5.96,5.9,5.96,1010
2015-09-29,5.96,5.96,5.96,5.96,20
2015-09-30,5.77,5.96,5.65,5.96,5740
2015-10-01,5.71,5.71,5.71,5.71,3600
2015-10-02,5.71,5.71,5.71,5.71,2100
2015-10-05,5.59,6.08,5.59,5.83,4710
2015-10-06,5.96,5.96,5.96,5.96,40
2015-10-07,5.96,5.96,5.77,5.96,2020
2015-10-08,5.83,5.83,5.83,5.83,160
2015-10-09,5.9,5.9,5.83,5.83,2010
2015-10-12,5.59,5.71,5.59,5.71,16250
2015-10-13,5.71,5.71,5.71,5.71,5040
2015-10-14,5.71,5.71,5.71,5.71,8020
2015-10-15,5.71,5.71,5.65,5.65,20010
2015-10-16,5.65,5.65,5.59,5.59,4980
2015-10-19,5.59,5.59,5.59,5.59,14010
2015-10-20,5.59,5.71,5.59,5.71,1010
