time,open,high,low,close,volume
2014-07-10,1.86,1.9,1.84,1.86,51500
2014-07-11,1.86,1.89,1.86,1.89,73100
2014-07-14,1.89,1.92,1.86,1.89,11100
2014-07-15,1.89,1.93,1.89,1.93,91300
2014-07-16,1.95,2.06,1.95,1.99,173691
2014-07-17,1.99,2.09,1.99,2.06,92500
2014-07-18,2.03,2.07,2.03,2.07,56100
2014-07-21,2.07,2.09,2.04,2.07,145400
2014-07-22,2.1,2.18,2.09,2.16,238600
2014-07-23,2.15,2.18,2.09,2.12,158959
2014-07-24,2.12,2.12,2.07,2.07,127100
2014-07-25,2.12,2.15,2.03,2.04,91410
2014-07-28,2.01,2.04,1.96,2.01,34350
2014-07-29,1.96,2.06,1.96,2.03,39400
2014-07-30,2.03,2.06,1.98,1.98,25910
2014-07-31,1.99,2.15,1.99,2.09,31610
2014-08-01,2.07,2.21,2.07,2.13,460200
2014-08-04,2.16,2.26,2.15,2.21,435570
2014-08-05,2.21,2.24,2.19,2.22,96890
2014-08-06,2.21,2.21,2.16,2.19,181980
2014-08-07,2.16,2.22,2.12,2.22,120650
2014-08-08,2.26,2.38,2.26,2.36,503276
2014-08-11,2.36,2.52,2.36,2.45,285000
2014-08-12,2.45,2.45,2.35,2.39,232255
2014-08-13,2.38,2.42,2.35,2.42,195320
2014-08-14,2.39,2.41,2.35,2.35,222922
2014-08-15,2.32,2.5,2.3,2.38,196227
2014-08-18,2.36,2.45,2.35,2.42,348900
2014-08-19,2.42,2.45,2.39,2.41,170900
2014-08-20,2.39,2.41,2.33,2.33,247069
2014-08-21,2.32,2.53,2.32,2.47,857290
2014-08-22,2.45,2.62,2.45,2.56,722100
2014-08-25,2.56,2.61,2.52,2.52,229720
2014-08-26,2.5,2.55,2.47,2.49,313371
2014-08-27,2.52,2.68,2.47,2.68,723460
2014-08-28,2.76,2.76,2.61,2.64,478050
2014-08-29,2.61,2.64,2.59,2.59,228025
2014-09-03,2.61,2.67,2.59,2.59,332010
2014-09-04,2.5,2.61,2.5,2.55,324190
2014-09-05,2.53,2.59,2.53,2.56,214200
2014-09-08,2.58,2.73,2.56,2.67,375060
2014-09-09,2.58,2.67,2.47,2.47,314150
2014-09-10,2.47,2.55,2.42,2.52,231010
2014-09-11,2.55,2.76,2.52,2.76,665520
2014-09-12,2.79,3.01,2.76,2.95,540340
2014-09-15,2.98,3.04,2.85,2.87,448289
2014-09-16,2.84,2.87,2.72,2.87,436540
2014-09-17,2.87,3.01,2.85,2.85,492800
2014-09-18,2.84,2.91,2.64,2.65,228822
2014-09-19,2.72,2.75,2.65,2.72,134858
2014-09-22,2.76,2.84,2.67,2.67,127159
2014-09-23,2.68,2.75,2.67,2.67,169300
2014-09-24,2.67,2.79,2.67,2.75,285563
2014-09-25,2.7,2.96,2.7,2.9,274791
2014-09-26,2.84,2.98,2.84,2.84,177586
2014-09-29,2.91,2.91,2.81,2.81,112453
2014-09-30,2.81,2.82,2.76,2.81,161810
2014-10-01,2.84,2.96,2.84,2.91,466390
2014-10-02,2.99,3.21,2.99,3.21,587748
2014-10-03,3.48,3.51,3.3,3.38,589920
2014-10-06,3.38,3.5,3.31,3.42,172290
2014-10-07,3.42,3.45,3.33,3.41,210374
2014-10-08,3.39,3.42,3.28,3.31,270760
2014-10-09,3.34,3.51,3.3,3.3,201924
2014-10-10,3.3,3.53,3.3,3.53,411581
2014-10-13,3.84,3.84,3.53,3.76,296120
2014-10-14,3.77,3.79,3.39,3.39,416795
2014-10-15,3.38,3.47,3.27,3.36,473855
2014-10-16,3.34,3.38,3.19,3.27,410950
2014-10-17,3.3,3.59,3.25,3.59,340550
2014-10-20,3.68,3.68,3.5,3.57,200200
2014-10-21,3.65,3.65,3.5,3.56,167170
2014-10-22,3.53,3.56,3.48,3.53,156878
2014-10-23,3.5,3.51,3.33,3.33,195900
2014-10-24,3.31,3.45,3.31,3.33,357870
2014-10-27,3.33,3.34,3.19,3.19,228200
