time,open,high,low,close,volume
2013-03-15,2.82,2.82,2.82,2.82,4800
2013-03-18,2.82,2.82,2.82,2.82,0
2013-03-19,2.82,2.82,2.82,2.82,0
2013-03-20,2.82,2.82,2.82,2.82,0
2013-03-21,2.82,2.82,2.82,2.82,0
2013-03-22,2.82,2.82,2.82,2.82,0
2013-03-25,2.82,2.82,2.82,2.82,0
2013-03-26,2.82,2.82,2.82,2.82,0
2013-03-27,2.82,2.82,2.82,2.82,0
2013-03-28,2.82,2.82,2.82,2.82,100
2013-03-29,2.82,2.82,2.82,2.82,0
2013-04-01,2.82,2.82,2.82,2.82,0
2013-04-02,2.73,2.73,2.73,2.73,100
2013-04-03,2.73,2.73,2.73,2.73,0
2013-04-04,2.73,2.73,2.73,2.73,0
2013-04-05,2.73,2.73,2.73,2.73,0
2013-04-08,2.73,2.73,2.73,2.73,0
2013-04-09,2.73,2.73,2.73,2.73,0
2013-04-10,2.73,2.73,2.73,2.73,0
2013-04-11,2.73,2.73,2.73,2.73,0
2013-04-12,2.99,2.99,2.99,2.99,200
2013-04-15,2.73,2.73,2.73,2.73,100
2013-04-16,2.73,2.73,2.73,2.73,0
2013-04-17,2.73,2.73,2.73,2.73,0
2013-04-18,2.73,2.73,2.73,2.73,0
2013-04-22,2.65,2.65,2.48,2.48,600
2013-04-23,2.65,2.65,2.65,2.65,200
2013-04-24,2.73,2.73,2.73,2.73,200
2013-04-25,2.73,2.73,2.73,2.73,0
2013-04-26,2.73,2.73,2.73,2.73,0
2013-05-02,2.99,2.99,2.99,2.99,0
2013-05-03,2.99,2.99,2.99,2.99,0
2013-05-06,2.99,2.99,2.99,2.99,0
2013-05-07,2.99,2.99,2.99,2.99,0
2013-05-08,2.99,2.99,2.99,2.99,0
2013-05-09,2.99,2.99,2.99,2.99,0
2013-05-10,3.07,3.07,3.07,3.07,0
2013-05-13,3.07,3.07,3.07,3.07,0
2013-05-14,3.07,3.07,3.07,3.07,0
2013-05-15,2.99,2.99,2.99,2.99,0
2013-05-16,3.24,3.24,3.24,3.24,0
2013-05-17,3.24,3.24,3.24,3.24,0
2013-05-20,2.99,2.99,2.99,2.99,0
2013-05-21,2.99,2.99,2.99,2.99,0
2013-05-22,2.99,2.99,2.99,2.99,0
2013-05-23,2.9,2.99,2.99,2.99,0
2013-05-24,2.99,2.99,2.99,2.99,0
2013-05-27,2.99,2.99,2.99,2.99,0
2013-05-28,3.24,3.24,3.24,3.24,0
2013-05-29,3.07,3.24,3.24,3.24,0
2013-05-30,3.5,3.07,3.07,3.07,0
2013-05-31,3.24,3.5,3.5,3.5,0
