time,open,high,low,close,volume
2013-11-25,3.07,3.07,2.98,2.98,984
2013-11-26,2.98,2.98,2.98,2.98,0
2013-11-27,3.25,3.25,3.25,3.25,4600
2013-11-28,3.16,3.16,3.16,3.16,200
2013-11-29,3.16,3.16,3.16,3.16,0
2013-12-02,3.16,3.16,3.16,3.16,12
2013-12-03,3.16,3.16,3.16,3.16,0
2013-12-04,3.16,3.16,3.16,3.16,0
2013-12-05,3.16,3.16,3.16,3.16,4
2013-12-06,3.16,3.16,3.16,3.16,0
2013-12-09,3.16,3.16,3.16,3.16,0
2013-12-10,3.02,3.02,3.02,3.02,100
2013-12-11,3.02,3.02,3.02,3.02,0
2013-12-12,3.02,3.02,3.02,3.02,0
2013-12-13,3.02,3.02,3.02,3.02,0
2013-12-16,3.02,3.02,3.02,3.02,0
2013-12-17,3.02,3.02,3.02,3.02,0
2013-12-18,3.02,3.02,3.02,3.02,0
2013-12-19,3.02,3.02,3.02,3.02,0
2013-12-20,3.02,3.02,3.02,3.02,0
2013-12-23,3.02,3.02,3.02,3.02,0
2013-12-24,3.02,3.02,3.02,3.02,0
2013-12-25,3.02,3.02,3.02,3.02,0
2013-12-26,3.02,3.02,3.02,3.02,0
2013-12-27,3.02,3.02,3.02,3.02,0
2013-12-30,3.02,3.02,3.02,3.02,0
2013-12-31,3.02,3.02,3.02,3.02,0
2014-01-02,3.02,3.02,3.02,3.02,0
2014-01-03,3.02,3.02,3.02,3.02,0
2014-01-06,3.02,3.02,3.02,3.02,0
2014-01-07,3.02,3.02,3.02,3.02,100
2014-01-08,3.02,3.02,3.02,3.02,0
2014-01-09,3.02,3.02,3.02,3.02,0
2014-01-10,3.02,3.02,3.02,3.02,0
2014-01-13,3.02,3.02,3.02,3.02,100
2014-01-14,3.02,3.02,3.02,3.02,0
2014-01-15,3.02,3.02,3.02,3.02,0
2014-01-16,3.02,3.02,3.02,3.02,0
2014-01-17,2.98,2.98,2.98,2.98,200
2014-01-20,3.02,3.2,3.02,3.2,1000
2014-01-21,3.2,3.2,3.2,3.2,0
2014-01-22,2.98,2.98,2.98,2.98,100
2014-01-23,2.98,2.98,2.98,2.98,0
2014-01-24,3.02,3.02,3.02,3.02,200
2014-01-27,3.02,3.02,3.02,3.02,0
2014-02-06,3.02,3.02,3.02,3.02,0
2014-02-07,3.02,3.02,3.02,3.02,0
2014-02-10,3.02,3.02,3.02,3.02,0
2014-02-11,3.02,3.02,3.02,3.02,0
2014-02-12,3.2,3.2,3.2,3.2,1000
2014-02-13,3.2,3.2,3.2,3.2,0
2014-02-14,3.2,3.2,3.2,3.2,0
2014-02-17,3.2,3.2,3.2,3.2,0
2014-02-18,3.2,3.2,3.2,3.2,28
2014-02-19,3.2,3.2,3.2,3.2,0
2014-02-20,3.2,3.2,3.2,3.2,0
2014-02-21,3.2,3.2,3.2,3.2,100
2014-02-24,3.2,3.2,3.2,3.2,0
2014-02-25,3.2,3.2,3.2,3.2,0
2014-02-26,3.2,3.2,3.2,3.2,0
2014-02-27,3.43,3.43,3.43,3.43,400
2014-02-28,3.52,3.52,3.52,3.52,1200
2014-03-03,3.52,3.52,3.52,3.52,0
2014-03-04,3.52,3.52,3.52,3.52,0
2014-03-05,3.52,3.52,3.52,3.52,0
2014-03-06,3.52,3.52,3.52,3.52,0
2014-03-07,3.43,3.43,3.43,3.43,600
2014-03-10,3.43,3.43,3.25,3.25,1700
2014-03-11,3.25,3.25,3.25,3.25,0
2014-03-12,3.25,3.25,3.25,3.25,0
2014-03-13,3.3,3.3,3.25,3.25,2000
2014-03-14,3.25,3.25,3.25,3.25,0
2014-03-17,3.43,3.43,3.43,3.43,1900
2014-03-18,3.73,3.73,3.73,3.73,200
2014-03-19,3.98,3.98,3.98,3.98,3500
2014-03-20,3.98,3.98,3.98,3.98,0
2014-03-21,3.73,3.73,3.73,3.73,100
2014-03-24,4.08,4.08,4.08,4.08,700
2014-03-25,4.08,4.08,4.08,4.08,0
2014-03-26,3.98,3.98,3.98,3.98,4600
2014-03-27,3.98,3.98,3.98,3.98,0
2014-03-28,3.98,3.98,3.63,3.63,1100
2014-03-31,3.63,3.63,3.63,3.63,0
2014-04-01,3.93,3.93,3.93,3.93,1500
2014-04-02,3.73,3.73,3.73,3.73,1680
2014-04-03,3.73,3.73,3.73,3.73,0
2014-04-04,3.83,3.83,3.83,3.83,3000
2014-04-07,3.83,3.83,3.83,3.83,0
