time,open,high,low,close,volume
2015-12-01,3.92,4.03,3.92,4.03,1300
2015-12-02,4.03,4.03,4.03,4.03,0
2015-12-03,4.03,4.03,4.03,4.03,0
2015-12-04,4.03,4.03,4.03,4.03,0
2015-12-07,4.03,4.03,4.03,4.03,0
2015-12-08,4.03,4.03,4.03,4.03,0
2015-12-09,4.03,4.03,4.03,4.03,0
2015-12-10,4.03,4.03,4.03,4.03,0
2015-12-11,4.34,4.54,4.34,4.54,2100
2015-12-14,4.54,4.54,4.54,4.54,0
2015-12-15,4.96,4.96,4.96,4.96,1000
2015-12-16,4.96,4.96,4.96,4.96,0
2015-12-17,5.58,5.58,5.58,5.58,100
2015-12-18,5.58,5.58,5.58,5.58,0
2015-12-21,5.58,5.58,5.58,5.58,0
2015-12-22,5.58,5.58,5.58,5.58,0
2015-12-23,5.58,5.58,5.58,5.58,0
2015-12-24,5.58,5.78,5.58,5.78,3000
2015-12-25,5.78,5.78,5.78,5.78,0
2015-12-28,5.78,5.78,5.78,5.78,0
2015-12-29,5.78,5.78,5.78,5.78,0
2015-12-30,5.78,5.78,5.78,5.78,0
2015-12-31,5.68,5.68,5.58,5.58,3900
2016-01-04,5.58,5.58,5.58,5.58,0
2016-01-05,5.58,5.58,5.58,5.58,0
2016-01-06,5.58,5.58,5.58,5.58,0
2016-01-07,5.58,5.58,5.58,5.58,0
2016-01-08,5.37,5.37,5.37,5.37,2000
2016-01-11,5.37,5.37,5.37,5.37,0
2016-01-12,5.37,5.37,5.37,5.37,0
2016-01-13,5.37,5.37,5.37,5.37,0
2016-01-14,4.56,5.68,4.56,5.68,200
2016-01-15,5.68,5.68,5.68,5.68,0
2016-01-18,5.68,5.68,5.68,5.68,0
2016-01-19,5.68,5.68,5.68,5.68,0
2016-01-20,5.78,5.78,5.78,5.78,100
2016-01-21,4.92,5.16,4.92,5.16,4100
2016-01-22,5.16,5.16,5.16,5.16,2000
2016-01-25,5.16,5.16,5.16,5.16,0
2016-01-26,5.16,5.16,5.16,5.16,0
2016-01-27,5.16,5.16,5.16,5.16,0
2016-01-28,5.16,5.16,5.16,5.16,0
2016-01-29,5.16,5.16,5.16,5.16,0
2016-02-01,5.16,5.16,5.16,5.16,0
2016-02-02,5.16,5.16,5.16,5.16,0
2016-02-03,5.16,5.16,5.16,5.16,0
2016-02-04,5.16,5.16,5.16,5.16,0
2016-02-05,5.16,5.16,5.16,5.16,0
2016-02-15,5.16,5.16,5.16,5.16,0
2016-02-16,5.16,5.16,5.16,5.16,0
2016-02-17,5.16,5.16,5.16,5.16,0
2016-02-18,5.16,5.16,5.16,5.16,0
2016-02-19,5.16,5.16,5.16,5.16,0
2016-02-22,5.16,5.16,5.16,5.16,0
2016-02-23,5.16,5.16,5.16,5.16,0
2016-02-24,5.16,5.16,5.16,5.16,0
2016-02-25,5.16,5.16,5.16,5.16,0
2016-02-26,5.16,5.16,5.16,5.16,0
2016-02-29,5.16,5.16,5.16,5.16,0
2016-03-01,5.16,5.16,5.16,5.16,0
2016-03-02,5.16,5.16,5.16,5.16,0
