time,open,high,low,close,volume
2017-02-06,23.64,0.0,0.0,0.0,0
2017-02-07,23.64,0.0,0.0,0.0,0
2017-02-08,23.64,0.0,0.0,0.0,0
2017-02-09,33.09,33.09,25.67,25.67,10000
2017-02-10,25.67,25.67,25.67,25.67,0
2017-02-13,25.67,25.67,25.67,25.67,0
2017-02-14,25.67,25.67,25.67,25.67,0
2017-02-15,29.55,29.55,29.55,29.55,100
2017-02-16,29.55,29.55,29.55,29.55,0
2017-02-17,27.25,30.86,27.25,30.86,4000
2017-02-20,27.91,27.91,27.91,27.91,1500
2017-02-21,27.91,27.91,27.91,27.91,0
2017-02-22,27.91,27.91,27.91,27.91,0
2017-02-23,29.55,30.53,29.55,30.53,2500
2017-02-24,30.53,30.53,30.53,30.53,0
2017-02-27,25.67,25.67,25.67,25.67,200
2017-02-28,29.48,29.48,21.86,29.48,4800
2017-03-01,29.48,29.48,29.48,29.48,0
2017-03-02,29.48,29.48,29.48,29.48,0
2017-03-03,29.48,29.48,29.48,29.48,0
2017-03-06,26.4,26.4,26.4,26.4,100
2017-03-07,30.33,30.33,26.4,26.4,3300
2017-03-08,26.4,26.4,26.4,26.4,0
2017-03-09,26.4,26.4,26.4,26.4,0
2017-03-10,26.4,26.4,26.4,26.4,0
2017-03-13,26.4,26.4,26.4,26.4,0
2017-03-14,32.83,32.83,32.83,32.83,100
2017-03-15,32.83,32.83,32.83,32.83,0
2017-03-16,32.83,32.83,32.83,32.83,0
2017-03-17,27.91,27.91,27.91,27.91,100
2017-03-20,26.66,26.66,26.66,26.66,200
2017-03-21,30.6,30.6,26.66,30.6,200
2017-03-22,32.83,32.83,32.83,32.83,800
2017-03-23,32.83,32.83,32.83,32.83,0
2017-03-24,27.97,27.97,27.97,27.97,100
2017-03-27,27.97,27.97,27.97,27.97,0
2017-03-28,27.97,27.97,27.97,27.97,0
2017-03-29,32.11,32.11,32.11,32.11,1000
2017-03-30,32.83,32.83,32.83,32.83,700
2017-03-31,32.83,32.83,32.83,32.83,0
2017-04-03,32.83,32.83,32.83,32.83,0
2017-04-04,31.71,31.71,31.71,31.71,100
2017-04-05,31.71,31.71,31.71,31.71,0
2017-04-07,27.25,27.25,27.25,27.25,200
2017-04-10,31.32,31.32,31.32,31.32,100
2017-04-11,31.32,31.32,31.32,31.32,0
2017-04-12,31.32,31.32,31.32,31.32,0
2017-04-13,31.32,31.32,31.32,31.32,0
2017-04-14,31.32,31.32,31.32,31.32,0
2017-04-17,32.5,32.5,32.5,32.5,100
2017-04-18,32.5,32.5,32.5,32.5,0
2017-04-19,32.5,32.5,32.5,32.5,0
2017-04-20,32.5,32.5,32.5,32.5,0
2017-04-21,32.5,32.5,32.5,32.5,0
2017-04-24,32.5,32.5,32.5,32.5,0
2017-04-25,32.5,32.5,32.5,32.5,0
2017-04-26,32.83,32.83,32.76,32.76,1000
2017-04-27,32.83,32.83,32.83,32.83,0
2017-04-28,33.09,33.09,33.09,33.09,200
2017-05-03,33.09,33.09,33.09,33.09,0
2017-05-04,32.76,32.76,32.63,32.63,1000
2017-05-05,32.7,32.7,32.7,32.7,0
2017-05-08,32.7,32.7,32.7,32.7,0
2017-05-09,32.7,32.7,32.7,32.7,0
2017-05-10,32.7,32.7,32.7,32.7,0
2017-05-11,32.7,32.7,32.7,32.7,0
2017-05-12,32.7,32.7,32.7,32.7,0
2017-05-15,32.7,32.7,32.7,32.7,0
2017-05-16,32.7,32.7,32.7,32.7,0
2017-05-17,32.7,32.7,32.7,32.7,0
2017-05-18,32.5,32.5,32.5,32.5,500
2017-05-19,32.5,32.5,32.5,32.5,0
2017-05-22,32.5,32.5,32.5,32.5,0
2017-05-23,33.5,33.84,33.5,33.84,1400
2017-05-24,33.5,33.5,33.5,33.5,0
2017-05-25,33.5,33.5,33.5,33.5,0
2017-05-26,33.5,33.5,33.5,33.5,500
2017-05-29,33.5,33.5,33.5,33.5,0
2017-05-30,33.44,33.5,33.44,33.5,800
