time,open,high,low,close,volume
2015-06-26,7.9,7.9,7.9,7.9,0
2015-06-29,7.57,7.57,7.15,7.57,300
2015-06-30,7.82,7.82,7.57,7.57,15000
2015-07-01,7.4,7.57,7.4,7.57,2200
2015-07-02,7.57,7.57,7.57,7.57,0
2015-07-03,7.57,7.57,7.57,7.57,0
2015-07-06,7.74,7.74,6.89,7.74,6700
2015-07-07,7.74,7.74,7.74,7.74,0
2015-07-08,7.74,7.74,7.74,7.74,0
2015-07-09,7.74,7.74,7.74,7.74,0
2015-07-10,7.74,7.74,7.74,7.74,0
2015-07-13,7.74,7.74,7.74,7.74,0
2015-07-14,7.74,7.74,7.74,7.74,0
2015-07-15,7.74,7.74,7.74,7.74,0
2015-07-16,7.9,7.9,6.98,7.74,5975
2015-07-17,6.98,7.65,6.98,7.65,2755
2015-07-20,7.65,7.65,7.65,7.65,0
2015-07-21,7.65,7.65,7.65,7.65,0
2015-07-22,7.65,7.9,6.98,7.57,1700
2015-07-23,7.74,7.74,6.89,7.57,1200
2015-07-24,7.23,7.74,7.23,7.74,900
2015-07-27,7.74,7.74,7.74,7.74,20
2015-07-28,7.74,7.74,7.74,7.74,0
2015-07-29,6.98,7.48,6.98,7.48,600
2015-07-30,7.65,7.74,7.65,7.74,600
2015-07-31,7.4,7.74,6.98,6.98,2300
2015-08-03,7.57,7.57,7.57,7.57,100
2015-08-04,7.57,7.57,7.57,7.57,0
2015-08-05,7.57,7.82,7.57,7.82,1600
2015-08-06,7.82,7.82,7.82,7.82,0
2015-08-07,7.82,7.82,7.82,7.82,0
2015-08-10,7.82,7.82,7.82,7.82,0
2015-08-11,7.82,7.82,7.82,7.82,0
2015-08-12,7.82,7.82,7.82,7.82,0
2015-08-13,7.82,7.82,7.82,7.82,0
2015-08-14,7.82,7.82,7.82,7.82,0
2015-08-17,7.82,7.82,7.82,7.82,0
2015-08-18,7.57,7.57,7.57,7.57,1500
2015-08-19,7.57,7.57,7.57,7.57,0
2015-08-20,7.57,7.57,7.57,7.57,0
2015-08-21,7.82,7.82,7.82,7.82,100
2015-08-24,7.06,7.48,7.06,7.48,1200
2015-08-25,7.48,7.48,7.48,7.48,0
2015-08-26,7.82,7.82,6.81,7.57,900
2015-08-27,7.74,7.74,7.74,7.74,100
2015-08-28,7.31,7.74,7.31,7.74,2800
2015-08-31,7.74,7.74,7.74,7.74,0
2015-09-01,7.74,7.74,7.74,7.74,0
2015-09-03,7.74,7.74,7.74,7.74,0
2015-09-04,7.74,7.74,7.74,7.74,0
2015-09-07,7.74,7.74,7.74,7.74,0
2015-09-08,7.23,7.9,7.23,7.9,6550
2015-09-09,7.9,7.9,7.9,7.9,0
2015-09-10,7.9,7.9,7.9,7.9,0
2015-09-11,7.23,7.31,7.23,7.23,2800
2015-09-14,7.57,7.57,7.57,7.57,100
2015-09-15,7.57,7.57,7.57,7.57,0
2015-09-16,7.23,7.23,7.23,7.23,100
2015-09-17,7.57,7.74,7.57,7.74,400
2015-09-18,7.74,7.74,7.74,7.74,0
2015-09-21,7.74,7.74,7.74,7.74,0
2015-09-22,7.74,7.74,7.74,7.74,50
2015-09-23,7.74,7.74,7.74,7.74,0
2015-09-24,7.74,7.74,7.74,7.74,0
2015-09-25,7.74,7.74,7.74,7.74,0
2015-09-28,7.15,7.57,7.15,7.57,400
2015-09-29,7.57,7.57,7.57,7.57,0
2015-09-30,7.57,7.74,7.57,7.74,1300
2015-10-01,7.74,7.74,7.74,7.74,0
2015-10-02,7.74,7.74,7.74,7.74,0
2015-10-05,7.74,7.74,7.74,7.74,0
2015-10-06,7.82,7.9,7.82,7.9,1300
2015-10-07,7.57,7.57,7.57,7.57,400
2015-10-08,6.98,7.48,6.98,7.48,700
2015-10-09,7.48,7.48,7.48,7.48,0
2015-10-12,7.65,7.65,7.65,7.65,100
2015-10-13,7.15,7.48,7.15,7.48,1500
2015-10-14,7.65,7.65,7.65,7.65,100
2015-10-15,6.89,7.4,6.89,7.4,200
2015-10-16,7.65,7.65,7.65,7.65,100
2015-10-19,7.74,7.74,7.74,7.74,100
2015-10-20,7.65,7.82,7.65,7.82,200
2015-10-21,7.06,7.82,7.06,7.82,1600
2015-10-22,7.06,7.57,7.06,7.57,1200
2015-10-23,7.57,7.57,7.57,7.57,0
2015-10-26,7.57,7.57,7.57,7.57,0
2015-10-27,6.89,7.48,6.81,7.48,3700
2015-10-28,6.81,7.48,6.81,7.48,5450
2015-10-29,7.48,7.48,7.48,7.48,0
2015-10-30,7.48,7.48,7.48,7.48,0
2015-11-02,7.48,7.48,7.48,7.48,0
2015-11-03,7.48,7.48,7.48,7.48,0
2015-11-04,6.81,6.81,6.81,6.81,100
2015-11-05,7.06,7.06,7.06,7.06,200
2015-11-06,7.06,7.48,7.06,7.48,400
2015-11-09,6.81,7.4,6.81,7.4,600
2015-11-10,7.4,7.4,7.4,7.4,0
2015-11-11,7.4,7.4,7.4,7.4,0
2015-11-12,6.73,7.23,6.73,7.23,1300
2015-11-13,6.73,7.23,6.73,7.23,700
2015-11-16,7.23,7.23,7.23,7.23,0
2015-11-17,7.23,7.23,7.23,7.23,0
2015-11-18,7.23,7.23,7.23,7.23,0
2015-11-19,7.23,7.23,7.23,7.23,25
2015-11-20,6.56,7.74,6.56,7.74,10400
2015-11-23,6.98,7.9,6.98,7.9,700
2015-11-24,7.9,7.9,7.9,7.9,0
2015-11-25,7.15,7.15,7.15,7.15,100
2015-11-26,6.47,7.06,6.47,6.56,800
2015-11-27,6.89,6.89,6.05,6.05,500
2015-11-30,6.47,6.47,5.55,6.31,500
2015-12-01,6.64,6.64,6.64,6.64,100
2015-12-02,6.31,6.73,6.31,6.73,900
2015-12-03,6.98,6.98,6.98,6.98,100
2015-12-04,7.15,7.15,7.15,7.15,100
2015-12-07,7.4,7.4,6.47,7.4,2700
2015-12-08,7.4,7.4,7.4,7.4,0
2015-12-09,7.4,7.4,7.4,7.4,0
2015-12-10,7.4,7.4,7.4,7.4,0
2015-12-11,7.4,7.4,7.4,7.4,0
