time,open,high,low,close,volume
2014-06-03,3.35,3.58,3.35,3.48,2100
2014-06-04,3.35,3.42,3.35,3.42,3000
2014-06-05,3.45,3.52,3.45,3.52,5500
2014-06-06,3.55,3.55,3.42,3.52,28400
2014-06-09,3.52,3.58,3.52,3.58,14200
2014-06-10,3.58,3.62,3.58,3.62,4800
2014-06-11,3.62,3.65,3.62,3.65,4000
2014-06-12,3.68,3.68,3.62,3.62,10200
2014-06-13,3.62,3.68,3.62,3.68,6600
2014-06-16,3.65,3.68,3.62,3.65,13700
2014-06-17,3.72,3.85,3.65,3.65,14810
2014-06-18,3.69,3.84,3.69,3.8,1200
2014-06-19,3.61,3.61,3.54,3.54,3100
2014-06-20,3.54,3.54,3.5,3.5,1300
2014-06-23,3.5,3.5,3.42,3.42,2150
2014-06-24,3.42,3.42,3.39,3.39,5500
2014-06-25,3.39,3.39,3.35,3.39,3400
2014-06-26,3.39,3.39,3.39,3.39,2700
2014-06-27,3.39,3.39,3.39,3.39,900
2014-06-30,3.39,3.39,3.39,3.39,800
2014-07-01,3.39,3.42,3.39,3.39,19300
2014-07-02,3.42,3.42,3.35,3.39,3700
2014-07-03,3.39,3.39,3.39,3.39,20600
2014-07-04,3.39,3.39,3.35,3.39,5600
2014-07-07,3.39,3.39,3.39,3.39,2140
2014-07-08,3.39,3.39,3.39,3.39,1100
2014-07-09,3.39,3.39,3.35,3.39,2200
2014-07-10,3.39,3.39,3.35,3.35,2800
2014-07-11,3.39,3.39,3.39,3.39,100
2014-07-14,3.39,3.39,3.39,3.39,100
2014-07-15,3.39,3.46,3.39,3.39,3600
2014-07-16,3.39,3.39,3.35,3.35,2400
2014-07-17,3.39,3.39,3.39,3.39,7500
2014-07-18,3.39,3.39,3.39,3.39,13300
2014-07-21,3.39,3.39,3.39,3.39,200
2014-07-22,3.39,3.39,3.35,3.39,2400
2014-07-23,3.39,3.39,3.39,3.39,3100
2014-07-24,3.39,3.39,3.35,3.39,800
2014-07-25,3.42,3.46,3.39,3.39,20700
2014-07-28,3.39,3.39,3.35,3.35,9000
2014-07-29,3.39,3.39,3.35,3.35,3700
2014-07-30,3.35,3.35,3.35,3.35,1900
2014-07-31,3.39,3.39,3.35,3.39,6200
2014-08-01,3.39,3.39,3.39,3.39,800
2014-08-04,3.39,3.39,3.35,3.39,3800
2014-08-05,3.39,3.39,3.35,3.39,2000
2014-08-06,3.39,3.42,3.39,3.39,8000
2014-08-07,3.39,3.39,3.39,3.39,500
2014-08-08,3.39,3.39,3.39,3.39,1800
2014-08-11,3.39,3.42,3.39,3.42,2100
2014-08-12,3.39,3.39,3.39,3.39,2000
2014-08-13,3.39,3.39,3.39,3.39,4900
2014-08-14,3.46,3.57,3.46,3.57,1600
2014-08-15,3.46,3.46,3.46,3.46,2000
2014-08-18,3.42,3.42,3.42,3.42,1900
2014-08-19,3.5,3.54,3.5,3.5,11190
2014-08-20,3.5,3.5,3.5,3.5,7200
2014-08-21,3.5,3.5,3.5,3.5,8000
2014-08-22,3.5,3.5,3.5,3.5,50
2014-08-25,3.46,3.72,3.46,3.72,17500
2014-08-26,3.72,3.72,3.72,3.72,0
2014-08-27,3.72,3.72,3.72,3.72,0
2014-08-28,3.5,3.54,3.5,3.54,660
2014-08-29,3.5,3.57,3.46,3.57,2500
2014-09-03,3.57,3.61,3.46,3.61,7900
2014-09-04,3.61,3.61,3.61,3.61,0
2014-09-05,3.54,3.54,3.46,3.54,6300
2014-09-08,3.54,3.57,3.54,3.57,600
2014-09-09,3.57,3.57,3.57,3.57,0
2014-09-10,3.5,3.57,3.5,3.57,14200
2014-09-11,3.5,3.54,3.5,3.54,3900
2014-09-12,3.5,3.5,3.5,3.5,1500
2014-09-15,3.54,3.54,3.5,3.54,17300
2014-09-16,3.57,3.72,3.57,3.72,27700
2014-09-17,3.72,3.72,3.69,3.69,1600
2014-09-18,3.69,3.69,3.69,3.69,0
2014-09-19,3.57,3.57,3.57,3.57,2600
2014-09-22,3.57,3.57,3.54,3.57,2600
2014-09-23,3.5,3.57,3.5,3.57,2000
2014-09-24,3.57,3.57,3.57,3.57,0
2014-09-25,3.54,3.54,3.54,3.54,1000
2014-09-26,3.54,3.54,3.54,3.54,900
2014-09-29,3.54,3.54,3.5,3.5,14900
2014-09-30,3.5,3.5,3.5,3.5,5340
2014-10-01,3.54,3.57,3.54,3.54,11660
2014-10-02,3.54,3.54,3.54,3.54,100
2014-10-03,3.54,3.54,3.54,3.54,1600
2014-10-06,3.54,3.57,3.5,3.54,4800
2014-10-07,3.57,3.72,3.27,3.54,11340
2014-10-08,3.54,3.61,3.54,3.61,7600
2014-10-09,3.61,3.69,3.61,3.61,13900
2014-10-10,3.61,3.61,3.61,3.61,7200
2014-10-13,3.61,3.61,3.61,3.61,3500
2014-10-14,3.65,3.65,3.65,3.65,13000
2014-10-15,3.65,3.65,3.65,3.65,0
