time,open,high,low,close,volume
2013-04-12,4.92,4.92,4.83,4.83,6800
2013-04-15,4.83,4.83,4.83,4.83,0
2013-04-16,5.01,5.01,5.01,5.01,100
2013-04-17,5.01,5.01,5.01,5.01,0
2013-04-18,5.01,5.01,5.01,5.01,0
2013-04-22,4.57,4.57,4.57,4.57,200
2013-04-23,4.57,4.66,4.57,4.66,1100
2013-04-24,4.57,4.83,4.57,4.83,200
2013-04-25,4.75,4.75,4.75,4.75,4400
2013-04-26,4.57,4.75,4.57,4.75,300
2013-05-02,4.75,4.75,4.49,4.49,900
2013-05-03,4.57,4.66,4.49,4.66,3100
2013-05-06,4.75,4.75,4.66,4.75,800
2013-05-07,4.75,4.92,4.75,4.92,1500
2013-05-08,4.83,4.83,4.66,4.66,400
2013-05-09,4.75,4.83,4.75,4.83,2100
2013-05-10,4.92,4.92,4.75,4.83,7000
2013-05-13,4.83,4.92,4.66,4.66,500
2013-05-14,4.66,4.83,4.66,4.66,1400
2013-05-15,4.83,4.83,4.75,4.75,9100
2013-05-16,5.01,5.01,5.01,5.01,100
2013-05-17,5.09,5.18,4.83,4.83,2200
2013-05-20,4.83,5.09,4.83,5.09,700
2013-05-21,5.01,5.01,4.57,4.57,8300
2013-05-22,4.66,4.92,4.57,4.57,10800
2013-05-23,4.83,4.92,4.66,4.66,600
2013-05-24,4.66,4.66,4.32,4.75,2500
2013-05-27,5.09,5.09,4.83,4.83,8600
2013-05-28,4.66,5.01,4.66,4.66,700
2013-05-29,4.75,4.83,4.66,4.75,7600
2013-05-30,4.75,4.83,4.75,4.75,15600
2013-05-31,4.83,5.01,4.83,5.01,9200
2013-06-03,5.01,5.09,4.83,5.01,1500
2013-06-04,5.01,5.01,4.83,4.92,6000
2013-06-05,5.01,5.09,5.01,5.09,3100
2013-06-06,5.01,5.01,5.01,5.01,900
2013-06-07,5.18,5.18,5.09,5.09,8100
2013-06-10,5.18,5.18,4.92,5.01,17400
2013-06-11,5.09,5.09,5.09,5.09,5600
2013-06-12,5.09,5.18,5.09,5.09,6700
2013-06-13,5.18,5.18,5.09,5.18,4200
2013-06-14,5.18,5.35,5.18,5.35,13900
2013-06-17,5.26,5.35,5.09,5.18,33300
2013-06-18,5.18,5.18,5.18,5.18,1100
2013-06-19,5.18,5.26,5.18,5.26,8100
2013-06-20,5.18,5.26,5.09,5.09,4100
2013-06-21,5.09,5.09,5.09,5.09,0
2013-06-24,5.09,5.09,5.01,5.01,20400
2013-06-25,5.01,5.01,4.83,4.92,40500
2013-06-26,4.92,4.92,4.92,4.92,13000
2013-06-27,5.01,5.01,5.01,5.01,9600
2013-06-28,5.01,5.09,4.92,4.92,1100
2013-07-01,4.83,5.18,4.83,5.18,6100
2013-07-02,5.09,5.09,5.01,5.01,500
2013-07-03,5.01,5.01,4.92,4.92,500
2013-07-04,5.09,5.09,4.92,4.92,300
2013-07-05,5.09,5.09,5.09,5.09,200
2013-07-08,4.92,4.92,4.92,4.92,300
2013-07-09,5.01,5.01,4.92,4.92,10500
2013-07-10,5.09,5.09,4.92,4.92,300
2013-07-11,4.92,4.92,4.92,4.92,0
2013-07-12,5.09,5.09,5.01,5.09,6800
2013-07-15,5.09,5.09,5.09,5.09,5000
2013-07-16,5.09,5.09,5.01,5.01,4400
2013-07-17,5.09,5.18,5.01,5.01,9100
2013-07-18,5.09,5.09,5.01,5.01,4200
2013-07-19,5.09,5.09,5.09,5.09,3500
2013-07-22,5.09,5.09,5.09,5.09,0
