time,open,high,low,close,volume
2015-06-26,5.87,5.87,5.87,5.87,700
2015-06-29,5.91,6.14,5.91,6.14,300
2015-06-30,5.87,5.99,5.87,5.95,6250
2015-07-01,5.95,6.06,5.95,6.06,3500
2015-07-02,6.06,6.06,6.06,6.06,0
2015-07-03,6.06,6.06,6.06,6.06,0
2015-07-06,5.95,5.95,5.95,5.95,3500
2015-07-07,5.95,5.95,5.76,5.87,30400
2015-07-08,6.1,6.1,6.1,6.1,100
2015-07-09,5.76,5.95,5.76,5.91,6000
2015-07-10,6.1,6.1,5.76,6.1,12200
2015-07-13,5.8,5.8,5.76,5.76,10000
2015-07-14,5.76,5.8,5.76,5.8,13700
2015-07-15,5.6,6.03,5.6,6.03,800
2015-07-16,6.03,6.03,6.03,6.03,0
2015-07-17,6.03,6.03,6.03,6.03,0
2015-07-20,6.03,6.03,6.03,6.03,0
2015-07-21,5.95,5.95,5.95,5.95,150
2015-07-22,6.1,6.1,5.95,5.99,11100
2015-07-23,5.83,5.83,5.83,5.83,12300
2015-07-24,6.03,6.03,5.95,5.95,200
2015-07-27,5.99,5.99,5.99,5.99,100
2015-07-28,5.83,5.87,5.76,5.87,32600
2015-07-29,5.87,5.87,5.87,5.87,150
2015-07-30,5.91,5.91,5.91,5.91,15000
2015-07-31,5.95,5.95,5.95,5.95,5000
2015-08-03,5.87,5.91,5.83,5.91,7500
2015-08-04,5.8,5.87,5.76,5.87,13600
2015-08-05,5.99,5.99,5.99,5.99,100
2015-08-06,5.76,5.99,5.76,5.99,1600
2015-08-07,5.95,5.95,5.95,5.95,1500
2015-08-10,6.06,6.06,6.06,6.06,100
2015-08-11,5.83,5.91,5.8,5.91,4200
2015-08-12,5.83,5.91,5.83,5.91,300
2015-08-13,5.83,5.91,5.83,5.91,1300
2015-08-14,5.91,5.91,5.91,5.91,1000
2015-08-17,5.83,5.91,5.83,5.91,1100
2015-08-18,5.8,5.83,5.76,5.83,10490
2015-08-19,5.76,5.76,5.76,5.76,1600
2015-08-20,5.76,5.87,5.76,5.87,11400
2015-08-21,6.14,6.14,6.14,6.14,100
2015-08-24,6.14,6.14,6.14,6.14,0
2015-08-25,5.76,5.76,5.76,5.76,2200
2015-08-26,6.14,6.14,5.76,5.76,3100
2015-08-27,5.68,5.72,5.64,5.64,17800
2015-08-28,5.64,5.64,5.64,5.64,3600
