time,open,high,low,close,volume
2014-05-21,13.25,13.25,11.25,12.37,2000
2014-05-22,12.49,12.55,12.37,12.37,2100
2014-05-23,11.31,12.9,11.31,12.9,1600
2014-05-26,14.08,14.08,12.13,12.9,1200
2014-05-27,12.37,14.08,12.37,13.55,1900
2014-05-28,12.37,13.49,12.37,13.49,1600
2014-05-29,12.31,12.31,12.31,12.31,100
2014-05-30,12.9,12.9,12.9,12.9,700
2014-06-02,12.37,13.2,11.84,13.2,900
2014-06-03,13.2,13.2,13.2,13.2,100
2014-06-04,12.37,12.61,12.37,12.61,300
2014-06-05,13.02,13.02,13.02,13.02,100
2014-06-06,13.02,14.31,13.02,14.31,1000
2014-06-09,14.31,14.31,14.31,14.31,0
2014-06-10,13.84,15.67,13.02,13.02,443
2014-06-11,12.66,14.08,12.43,14.08,2300
2014-06-12,14.26,15.37,14.08,14.73,2800
2014-06-13,16.14,16.14,13.25,15.32,4900
2014-06-16,14.14,15.26,13.78,15.26,1200
2014-06-17,16.61,16.67,14.02,16.67,2800
2014-06-18,15.02,15.9,15.02,15.26,3000
2014-06-19,13.84,15.26,13.84,15.08,3300
2014-06-20,13.84,16.49,13.61,16.49,1200
2014-06-23,14.84,17.61,14.84,14.84,1800
2014-06-24,14.84,16.2,14.84,14.84,14200
2014-06-25,14.84,15.73,14.84,15.08,3400
2014-06-26,15.14,15.9,15.14,15.9,2600
2014-06-27,15.61,16.2,15.61,16.2,1800
2014-06-30,16.2,16.2,16.2,16.2,0
2014-07-01,15.37,15.9,14.9,14.9,700
2014-07-02,14.2,14.2,14.2,14.2,100
2014-07-03,13.78,15.61,13.78,15.61,500
2014-07-04,14.61,14.61,14.61,14.61,309
2014-07-07,13.37,15.32,13.37,15.32,5100
2014-07-08,14.73,14.9,14.43,14.9,4000
2014-07-09,14.61,14.84,14.61,14.84,400
2014-07-10,14.73,15.02,14.73,15.02,800
2014-07-11,14.43,15.02,14.43,15.02,200
2014-07-14,15.02,15.02,15.02,15.02,300
2014-07-15,15.02,15.02,15.02,15.02,0
2014-07-16,15.02,15.02,15.02,15.02,200
2014-07-17,14.73,15.08,14.55,15.08,1200
2014-07-18,14.96,14.96,14.96,14.96,200
2014-07-21,14.9,14.9,13.49,14.84,5200
2014-07-22,14.84,14.84,14.84,14.84,0
2014-07-23,14.84,14.84,14.14,14.84,500
