time,open,high,low,close,volume
2015-06-26,4.19,4.19,4.19,4.19,500
2015-06-29,4.19,4.19,4.19,4.19,0
2015-06-30,4.19,4.19,4.19,4.19,0
2015-07-01,4.77,4.77,4.77,4.77,100
2015-07-02,4.77,4.77,4.77,4.77,0
2015-07-03,5.3,5.3,5.3,5.3,5000
2015-07-06,5.56,5.56,5.56,5.56,2000
2015-07-07,5.83,6.36,5.56,5.56,12300
2015-07-08,5.4,5.4,5.4,5.4,100
2015-07-09,6.2,6.2,4.61,6.2,14200
2015-07-10,6.2,6.2,6.2,6.2,0
2015-07-13,6.2,6.2,6.2,6.2,0
2015-07-14,5.67,5.67,5.67,5.67,100
2015-07-15,5.56,5.56,5.56,5.56,800
2015-07-16,5.4,5.4,5.4,5.4,800
2015-07-17,6.2,6.2,6.2,6.2,5900
2015-07-20,6.25,6.46,6.25,6.46,8000
2015-07-21,6.46,6.46,6.46,6.46,0
2015-07-22,6.89,6.89,6.89,6.89,3800
2015-07-23,6.89,6.89,6.89,6.89,0
2015-07-24,6.89,6.89,6.89,6.89,0
2015-07-27,6.2,6.2,6.2,6.2,1000
2015-07-28,6.2,6.2,6.2,6.2,0
2015-07-29,6.2,6.2,6.2,6.2,0
2015-07-30,6.2,6.2,6.2,6.2,0
2015-07-31,6.2,6.2,6.2,6.2,0
2015-08-03,6.2,6.2,6.2,6.2,0
2015-08-04,6.2,6.2,6.2,6.2,0
2015-08-05,6.36,6.36,6.36,6.36,200
2015-08-06,6.36,6.36,6.36,6.36,0
2015-08-07,6.36,6.36,6.36,6.36,0
2015-08-10,7.15,7.15,7.15,7.15,200
2015-08-11,7.15,7.15,7.15,7.15,0
2015-08-12,7.15,7.15,7.15,7.15,0
2015-08-13,7.15,7.15,7.15,7.15,0
2015-08-14,7.15,7.15,7.15,7.15,0
2015-08-17,7.15,7.15,7.15,7.15,0
2015-08-18,6.89,6.89,6.89,6.89,200
2015-08-19,6.89,6.89,6.89,6.89,0
2015-08-20,6.89,6.89,6.89,6.89,0
2015-08-21,6.89,7.42,6.89,7.42,11300
2015-08-24,7.68,7.68,7.68,7.68,600
2015-08-25,7.68,7.68,7.68,7.68,0
2015-08-26,7.68,7.68,7.68,7.68,0
2015-08-27,7.68,7.68,7.68,7.68,0
2015-08-28,7.68,7.68,7.68,7.68,0
2015-08-31,7.95,7.95,7.95,7.95,500
2015-09-01,6.78,8.16,6.78,8.16,200
2015-09-03,8.16,8.16,8.16,8.16,0
2015-09-04,6.41,6.41,6.41,6.41,100
2015-09-07,6.41,6.41,6.41,6.41,0
2015-09-08,6.41,6.41,6.41,6.41,0
2015-09-09,7.15,7.15,7.15,7.15,100
2015-09-10,7.15,7.15,7.15,7.15,0
2015-09-11,7.15,7.15,7.15,7.15,0
2015-09-14,7.15,7.15,7.15,7.15,0
2015-09-15,7.15,7.15,7.15,7.15,0
2015-09-16,7.15,7.15,7.15,7.15,0
2015-09-17,7.15,7.15,7.15,7.15,0
2015-09-18,7.15,7.15,7.15,7.15,0
2015-09-21,7.15,7.15,7.15,7.15,0
2015-09-22,7.15,7.15,7.15,7.15,0
2015-09-23,7.42,7.42,7.42,7.42,1800
2015-09-24,7.42,7.42,7.42,7.42,0
2015-09-25,6.31,6.31,6.31,6.31,200
2015-09-28,6.31,6.31,6.31,6.31,0
2015-09-29,6.31,6.31,6.31,6.31,0
2015-09-30,6.31,6.31,6.31,6.31,0
2015-10-01,5.46,5.46,5.46,5.46,100
2015-10-02,5.46,5.46,5.46,5.46,0
2015-10-05,5.56,5.56,5.56,5.56,200
2015-10-06,5.56,5.56,5.56,5.56,0
2015-10-07,4.87,4.87,4.87,4.87,4700
2015-10-08,4.87,4.87,4.87,4.87,0
2015-10-09,4.87,4.87,4.87,4.87,0
2015-10-12,4.87,4.87,4.87,4.87,0
2015-10-13,4.87,4.87,4.87,4.87,0
2015-10-14,4.87,4.87,4.87,4.87,0
2015-10-15,4.87,4.87,4.87,4.87,0
2015-10-16,4.87,4.87,4.87,4.87,0
2015-10-19,4.87,4.87,4.87,4.87,0
2015-10-20,4.87,4.87,4.87,4.87,0
2015-10-21,4.5,4.5,4.5,4.5,200
2015-10-22,4.77,4.77,4.77,4.77,200
2015-10-23,4.77,4.77,4.77,4.77,0
2015-10-26,4.77,4.77,4.77,4.77,0
2015-10-27,4.77,4.77,4.77,4.77,0
2015-10-28,4.77,4.77,4.77,4.77,0
2015-10-29,4.34,4.34,4.34,4.34,200
2015-10-30,4.34,4.34,4.34,4.34,0
2015-11-02,4.34,4.34,4.34,4.34,0
2015-11-03,4.34,4.34,4.34,4.34,0
2015-11-04,4.34,4.34,4.34,4.34,0
2015-11-05,4.34,4.34,4.34,4.34,0
2015-11-06,4.34,4.34,4.34,4.34,0
2015-11-09,4.34,4.34,4.34,4.34,0
2015-11-10,4.34,4.34,4.34,4.34,0
2015-11-11,4.34,4.34,4.34,4.34,0
2015-11-12,4.34,4.34,4.34,4.34,0
2015-11-13,4.34,4.34,4.34,4.34,0
2015-11-16,4.98,4.98,4.98,4.98,100
2015-11-17,4.98,4.98,4.98,4.98,0
2015-11-18,4.29,5.72,4.29,5.72,200
2015-11-19,5.72,5.72,5.72,5.72,0
2015-11-20,5.72,5.72,5.72,5.72,0
2015-11-23,5.72,5.72,5.72,5.72,0
2015-11-24,5.72,5.72,5.72,5.72,0
2015-11-25,5.72,5.72,5.72,5.72,0
2015-11-26,5.72,5.72,5.72,5.72,0
2015-11-27,4.34,4.34,4.34,4.34,200
2015-11-30,4.34,4.98,4.34,4.98,300
2015-12-01,4.98,4.98,4.98,4.98,0
2015-12-02,4.98,4.98,4.98,4.98,0
2015-12-03,4.98,4.98,4.98,4.98,0
2015-12-04,4.98,4.98,4.98,4.98,0
2015-12-07,4.98,4.98,4.98,4.98,0
2015-12-08,4.98,4.98,4.98,4.98,0
2015-12-09,4.98,4.98,4.98,4.98,0
2015-12-10,4.98,4.98,4.98,4.98,0
2015-12-11,5.19,5.19,4.24,4.24,1000
2015-12-14,4.24,4.24,4.24,4.24,0
2015-12-15,4.24,4.24,4.24,4.24,0
2015-12-16,5.3,5.3,5.3,5.3,200
2015-12-17,4.56,4.56,4.56,4.56,400
2015-12-18,4.56,4.56,4.56,4.56,0
2015-12-21,4.56,4.56,4.56,4.56,0
2015-12-22,4.56,4.56,4.56,4.56,0
2015-12-23,4.56,4.56,4.56,4.56,0
2015-12-24,4.56,4.56,4.56,4.56,0
2015-12-25,4.56,4.56,4.56,4.56,0
2015-12-28,4.56,4.56,4.56,4.56,0
2015-12-29,4.29,4.29,4.29,4.29,200
2015-12-30,4.93,4.93,4.93,4.93,100
2015-12-31,4.98,4.98,4.98,4.98,200
2016-01-04,5.19,5.72,5.19,5.72,300
2016-01-05,5.4,6.15,5.4,6.15,900
2016-01-06,6.78,6.78,6.78,6.78,100
2016-01-07,6.78,6.78,6.78,6.78,0
2016-01-08,7.42,7.79,7.42,7.79,600
2016-01-11,7.79,7.79,7.79,7.79,0
2016-01-12,7.68,8.58,7.68,8.58,1100
2016-01-13,8.58,8.58,8.58,8.58,0
2016-01-14,8.58,8.58,8.58,8.58,0
2016-01-15,8.58,8.58,8.58,8.58,0
2016-01-18,8.58,8.58,8.58,8.58,0
2016-01-19,8.58,8.58,8.58,8.58,0
2016-01-20,8.58,8.58,8.58,8.58,0
2016-01-21,8.58,8.58,8.58,8.58,0
2016-01-22,8.58,8.58,8.58,8.58,0
2016-01-25,8.58,8.58,8.58,8.58,0
2016-01-26,8.58,8.58,8.58,8.58,0
2016-01-27,8.58,8.58,8.58,8.58,0
2016-01-28,8.58,8.58,8.58,8.58,0
2016-01-29,8.58,8.58,8.58,8.58,0
