time,open,high,low,close,volume
2015-06-26,8.37,8.37,8.37,8.37,0
2015-06-29,8.37,8.56,7.57,8.56,21200
2015-06-30,7.76,7.76,7.76,7.76,100
2015-07-01,7.76,7.76,7.76,7.76,0
2015-07-02,7.76,7.76,7.76,7.76,0
2015-07-03,7.76,7.76,7.76,7.76,0
2015-07-06,8.0,8.43,8.0,8.43,10300
2015-07-07,8.13,8.37,8.13,8.37,8100
2015-07-08,8.37,8.37,8.37,8.37,3800
2015-07-09,9.17,9.17,9.17,9.17,100
2015-07-10,9.17,9.17,9.17,9.17,0
2015-07-13,9.17,9.17,9.17,9.17,0
2015-07-14,9.17,9.17,9.17,9.17,0
2015-07-15,9.17,9.17,9.17,9.17,0
2015-07-16,9.17,9.17,9.17,9.17,0
2015-07-17,9.17,9.17,9.17,9.17,0
2015-07-20,9.17,9.17,9.17,9.17,0
2015-07-21,9.17,9.17,9.17,9.17,0
2015-07-22,9.17,9.17,9.17,9.17,0
2015-07-23,9.17,9.17,9.17,9.17,0
2015-07-24,9.17,9.17,9.17,9.17,0
2015-07-27,9.17,9.17,9.17,9.17,0
2015-07-28,9.17,9.17,9.17,9.17,0
2015-07-29,9.17,9.17,9.17,9.17,0
2015-07-30,9.17,9.17,8.93,8.93,900
2015-07-31,8.5,8.5,8.5,8.5,500
2015-08-03,8.5,8.5,8.19,8.19,5400
2015-08-04,8.19,8.19,8.19,8.19,0
2015-08-05,8.25,8.25,8.13,8.13,1600
2015-08-06,8.25,8.25,8.13,8.13,700
2015-08-07,8.68,8.68,8.68,8.68,100
2015-08-10,9.71,9.71,9.71,9.71,0
2015-08-11,9.71,9.71,9.71,9.71,0
2015-08-12,9.71,9.71,9.71,9.71,0
2015-08-13,8.41,8.41,8.41,8.41,10000
2015-08-14,8.41,8.41,8.41,8.41,0
2015-08-17,8.27,8.27,8.27,8.27,5600
2015-08-18,8.27,8.27,8.27,8.27,2000
2015-08-19,8.27,8.27,8.27,8.27,0
2015-08-20,8.27,8.27,8.27,8.27,200
2015-08-21,8.13,8.13,8.13,8.13,9200
2015-08-24,8.13,8.13,8.13,8.13,1000
2015-08-25,8.13,8.13,8.13,8.13,1200
2015-08-26,7.65,7.65,7.65,7.65,30000
2015-08-27,8.13,8.13,8.13,8.13,400
2015-08-28,8.13,8.13,8.13,8.13,200
2015-08-31,8.13,8.13,8.13,8.13,0
2015-09-01,8.13,8.13,8.13,8.13,0
2015-09-03,8.13,8.13,8.13,8.13,0
2015-09-04,8.13,8.13,8.13,8.13,0
2015-09-07,8.13,8.13,8.13,8.13,0
2015-09-08,8.13,8.13,8.13,8.13,0
2015-09-09,8.13,8.13,8.13,8.13,64
2015-09-10,8.13,8.13,8.13,8.13,0
2015-09-11,8.13,8.13,8.13,8.13,0
2015-09-14,8.13,8.13,8.13,8.13,500
2015-09-15,7.72,7.92,7.72,7.92,3100
2015-09-16,7.92,7.92,7.92,7.92,0
2015-09-17,7.92,7.92,7.92,7.92,0
2015-09-18,7.92,7.92,7.92,7.92,0
2015-09-21,7.92,7.92,7.92,7.92,0
2015-09-22,7.92,7.92,7.92,7.92,0
2015-09-23,7.92,7.92,7.92,7.92,0
2015-09-24,7.92,7.92,7.92,7.92,0
2015-09-25,7.92,7.92,7.92,7.92,0
2015-09-28,7.92,7.92,7.92,7.92,0
2015-09-29,7.92,7.92,7.92,7.92,0
2015-09-30,7.92,7.92,7.92,7.92,0
2015-10-01,7.92,7.92,7.92,7.92,0
2015-10-02,7.92,7.92,7.92,7.92,0
2015-10-05,7.92,7.92,7.92,7.92,0
2015-10-06,7.92,7.92,7.92,7.92,0
2015-10-07,7.92,7.92,7.92,7.92,0
2015-10-08,7.92,7.92,7.92,7.92,0
2015-10-09,7.92,7.92,7.92,7.92,0
2015-10-12,7.85,7.85,7.79,7.79,2000
2015-10-13,8.41,8.41,8.41,8.41,200
2015-10-14,8.41,8.41,8.41,8.41,0
2015-10-15,8.54,8.54,8.54,8.54,200
2015-10-16,8.54,8.54,8.54,8.54,0
2015-10-19,8.68,8.68,8.68,8.68,200
2015-10-20,8.13,8.13,8.13,8.13,4300
2015-10-21,8.27,8.27,8.13,8.13,1200
2015-10-22,8.27,8.27,8.13,8.13,6100
2015-10-23,8.27,8.27,8.27,8.27,18600
2015-10-26,8.27,8.27,8.27,8.27,5000
2015-10-27,8.27,8.27,8.27,8.27,2000
2015-10-28,8.27,8.27,8.27,8.27,7200
2015-10-29,8.27,8.27,8.27,8.27,25536
2015-10-30,8.27,8.27,8.27,8.27,300
2015-11-02,8.27,8.27,8.27,8.27,200
2015-11-03,8.27,8.27,8.27,8.27,2100
2015-11-04,8.27,8.27,8.27,8.27,0
2015-11-05,8.27,8.27,8.27,8.27,0
