time,open,high,low,close,volume
2015-06-26,1.8,1.8,1.8,1.8,3900
2015-06-29,1.7,1.7,1.7,1.7,900
2015-06-30,1.7,1.7,1.7,1.7,1300
2015-07-01,1.8,1.8,1.8,1.8,1100
2015-07-02,1.6,1.7,1.6,1.7,700
2015-07-03,1.8,1.8,1.6,1.6,5400
2015-07-06,1.7,1.8,1.7,1.8,700
2015-07-07,1.8,2.0,1.8,2.0,5900
2015-07-08,2.0,2.0,2.0,2.0,0
2015-07-09,1.7,1.7,1.7,1.7,5000
2015-07-10,1.7,1.7,1.5,1.5,5500
2015-07-13,1.5,1.5,1.5,1.5,1000
2015-07-14,1.7,1.7,1.6,1.6,2400
2015-07-15,1.6,1.6,1.5,1.5,2800
2015-07-16,1.5,1.5,1.3,1.3,10000
2015-07-17,1.4,1.4,1.4,1.4,300
2015-07-20,1.6,1.6,1.6,1.6,100
2015-07-21,1.5,1.5,1.5,1.5,520
2015-07-22,1.5,1.5,1.5,1.5,0
2015-07-23,1.5,1.5,1.5,1.5,0
2015-07-24,1.4,1.4,1.4,1.4,210
2015-07-27,1.4,1.4,1.4,1.4,0
2015-07-28,1.4,1.4,1.4,1.4,0
2015-07-29,1.4,1.4,1.4,1.4,0
2015-07-30,1.6,1.6,1.6,1.6,100
2015-07-31,1.6,1.6,1.6,1.6,0
2015-08-03,1.6,1.6,1.6,1.6,0
2015-08-04,1.6,1.6,1.6,1.6,0
2015-08-05,1.6,1.6,1.6,1.6,0
2015-08-06,1.6,1.6,1.6,1.6,0
2015-08-07,1.6,1.6,1.6,1.6,0
2015-08-10,1.4,1.4,1.4,1.4,700
2015-08-11,1.4,1.4,1.4,1.4,0
2015-08-12,1.6,1.6,1.5,1.6,1100
2015-08-13,1.4,1.4,1.4,1.4,200
2015-08-14,1.4,1.4,1.4,1.4,0
2015-08-17,1.4,1.4,1.4,1.4,0
2015-08-18,1.4,1.4,1.4,1.4,0
2015-08-19,1.6,1.6,1.3,1.3,500
2015-08-20,1.3,1.3,1.3,1.3,0
2015-08-21,1.3,1.3,1.3,1.3,0
2015-08-24,1.6,1.6,1.6,1.6,100
2015-08-25,1.6,1.6,1.6,1.6,0
2015-08-26,1.6,1.6,1.6,1.6,0
2015-08-27,1.6,1.6,1.6,1.6,0
2015-08-28,1.6,1.6,1.6,1.6,0
2015-08-31,1.6,1.6,1.6,1.6,0
2015-09-01,1.6,1.6,1.6,1.6,0
2015-09-03,1.6,1.6,1.6,1.6,0
2015-09-04,1.4,1.4,1.4,1.4,100
2015-09-07,1.2,1.2,1.2,1.2,1600
2015-09-08,1.3,1.3,1.3,1.3,100
2015-09-09,1.3,1.4,1.3,1.4,700
2015-09-10,1.4,1.4,1.4,1.4,200
2015-09-11,1.2,1.5,1.2,1.5,700
2015-09-14,1.4,1.4,1.4,1.4,2100
2015-09-15,1.3,1.3,1.2,1.2,300
2015-09-16,1.3,1.3,1.2,1.3,14000
2015-09-17,1.3,1.3,1.1,1.3,7800
2015-09-18,1.2,1.2,1.2,1.2,300
2015-09-21,1.2,1.2,1.2,1.2,6400
2015-09-22,1.2,1.2,1.2,1.2,1400
2015-09-23,1.1,1.2,1.1,1.2,10400
2015-09-24,1.3,1.3,1.3,1.3,1700
2015-09-25,1.2,1.4,1.2,1.2,1600
