time,open,high,low,close,volume
2015-06-26,8.84,9.47,8.84,9.47,6280
2015-06-29,9.23,9.23,9.23,9.23,3720
2015-06-30,9.23,9.23,9.23,9.23,150
2015-07-01,9.23,9.23,9.23,9.23,0
2015-07-02,9.28,9.28,9.25,9.25,540
2015-07-03,9.25,9.25,9.25,9.25,80
2015-07-06,9.25,9.25,9.25,9.25,0
2015-07-07,9.23,9.23,9.23,9.23,350
2015-07-08,9.23,9.23,9.23,9.23,0
2015-07-09,9.23,9.23,9.23,9.23,0
2015-07-10,9.23,9.23,9.23,9.23,600
2015-07-13,9.57,9.57,9.23,9.23,140
2015-07-14,9.23,9.23,9.23,9.23,50
2015-07-15,8.77,8.77,8.77,8.77,2880
2015-07-16,8.87,8.99,8.79,8.99,2290
2015-07-17,8.99,8.99,8.99,8.99,460
2015-07-20,8.82,8.87,8.82,8.87,880
2015-07-21,9.23,9.45,8.94,9.01,4340
2015-07-22,9.11,9.57,9.11,9.11,350
2015-07-23,9.21,9.23,9.21,9.23,1540
2015-07-24,9.11,9.45,9.11,9.45,20
2015-07-27,9.45,9.96,9.45,9.96,4060
2015-07-28,10.15,10.15,10.15,10.15,430
2015-07-29,10.15,10.15,10.15,10.15,0
2015-07-30,10.15,10.15,10.15,10.15,0
2015-07-31,9.72,9.72,9.72,9.72,5000
2015-08-03,9.79,10.2,9.72,10.2,1410
2015-08-04,10.2,10.2,10.2,10.2,0
2015-08-05,10.2,10.2,10.2,10.2,10
2015-08-06,10.2,10.2,10.2,10.2,0
2015-08-07,9.72,9.72,9.72,9.72,1110
2015-08-10,9.72,10.2,9.72,10.2,10710
2015-08-11,10.2,10.2,10.2,10.2,0
2015-08-12,9.72,10.2,9.72,10.2,4010
2015-08-13,9.72,10.18,9.72,10.18,2220
2015-08-14,10.18,10.18,10.18,10.18,0
2015-08-17,10.2,10.2,10.18,10.2,4970
2015-08-18,10.2,10.44,10.2,10.44,3150
2015-08-19,10.44,10.44,10.44,10.44,0
2015-08-20,10.23,10.23,10.2,10.2,1510
2015-08-21,10.44,10.44,10.44,10.44,10
2015-08-24,10.44,10.57,10.44,10.57,10190
2015-08-25,9.84,10.44,9.84,10.44,110
2015-08-26,10.54,10.54,9.89,9.89,5620
2015-08-27,10.2,10.57,10.2,10.57,7710
2015-08-28,10.32,10.32,10.2,10.32,990
2015-08-31,9.96,9.96,9.96,9.96,3250
2015-09-01,9.96,10.08,9.96,10.08,390
2015-09-03,10.01,10.01,10.01,10.01,250
2015-09-04,9.96,10.06,9.96,10.06,1100
2015-09-07,10.08,10.3,9.72,10.3,1320
2015-09-08,9.79,10.3,9.79,10.3,30
2015-09-09,9.74,10.18,9.74,10.18,20
2015-09-10,9.72,10.37,9.72,10.25,810
2015-09-11,9.74,10.23,9.74,10.23,1350
2015-09-14,10.42,10.42,10.23,10.3,910
2015-09-15,10.3,10.3,10.3,10.3,0
2015-09-16,9.74,10.27,9.74,10.27,20
2015-09-17,10.01,10.01,10.01,10.01,420
2015-09-18,10.03,10.08,9.76,10.01,3350
2015-09-21,9.83,10.7,9.83,10.7,1600
2015-09-22,10.21,10.21,10.13,10.13,1950
2015-09-23,10.11,10.56,10.03,10.56,60
2015-09-24,10.18,10.95,9.96,9.96,750
2015-09-25,10.23,10.38,10.23,10.38,70
2015-09-28,10.68,10.68,10.46,10.46,170
2015-09-29,10.08,10.68,10.08,10.68,20
2015-09-30,10.41,10.73,10.33,10.73,110
2015-10-01,11.2,11.48,9.98,10.43,70
2015-10-02,9.73,10.46,9.71,10.43,250
2015-10-05,10.33,10.36,10.08,10.21,5790
2015-10-06,9.83,10.36,9.83,10.36,310
2015-10-07,9.98,9.98,9.98,9.98,300
2015-10-08,10.01,10.46,10.01,10.01,50
2015-10-09,10.03,10.03,10.01,10.01,6710
2015-10-12,10.08,10.33,9.83,10.33,1010
2015-10-13,10.33,10.33,10.33,10.33,10
2015-10-14,10.18,10.18,10.16,10.16,80
2015-10-15,10.33,10.33,10.33,10.33,10
2015-10-16,10.03,10.7,10.03,10.7,590
2015-10-19,10.08,10.46,9.96,10.46,28940
2015-10-20,10.21,11.18,10.21,11.18,190080
2015-10-21,11.95,11.95,11.7,11.95,44580
2015-10-22,11.92,12.7,11.35,12.45,22970
2015-10-23,12.3,12.45,11.95,12.4,13230
2015-10-26,12.45,12.45,12.2,12.32,20780
2015-10-27,12.45,12.45,11.95,12.15,27670
2015-10-28,12.2,12.94,12.2,12.94,66050
2015-10-29,13.69,13.82,13.19,13.82,64370
2015-10-30,14.07,14.44,13.82,14.19,20830
2015-11-02,13.32,13.82,13.32,13.32,22290
2015-11-03,13.19,13.82,12.82,13.69,49970
2015-11-04,13.57,13.82,12.94,13.07,13430
2015-11-05,13.07,13.44,12.57,12.57,20790
2015-11-06,12.94,13.44,12.57,13.32,35110
2015-11-09,13.32,13.69,12.94,13.07,9930
2015-11-10,12.94,13.44,12.94,13.19,9050
2015-11-11,13.32,13.32,12.94,13.19,12830
2015-11-12,13.19,14.07,13.07,14.07,72010
2015-11-13,14.44,14.94,14.44,14.94,28950
2015-11-16,15.43,15.43,14.44,14.44,17160
2015-11-17,14.31,15.31,14.19,15.31,45210
2015-11-18,15.31,16.06,14.56,15.81,45790
2015-11-19,15.93,15.93,15.31,15.81,1270
2015-11-20,15.19,15.68,15.06,15.31,21430
2015-11-23,15.31,15.56,15.19,15.31,28140
2015-11-24,15.06,15.06,14.31,14.94,43360
2015-11-25,14.94,14.94,14.44,14.69,9260
2015-11-26,14.94,14.94,14.44,14.81,490
2015-11-27,14.44,14.94,14.19,14.81,5110
2015-11-30,14.19,14.69,13.94,14.31,16510
2015-12-01,14.69,14.69,13.94,14.44,6210
2015-12-02,14.44,14.56,14.44,14.56,5770
2015-12-03,14.44,14.44,14.07,14.44,4630
2015-12-04,14.44,14.44,14.19,14.44,7430
2015-12-07,14.81,15.43,14.56,15.19,19590
2015-12-08,15.19,15.31,14.69,15.19,10390
2015-12-09,15.56,15.56,14.94,15.06,10270
2015-12-10,15.06,15.06,14.81,15.06,4970
2015-12-11,14.81,15.31,14.81,14.94,38060
2015-12-14,15.19,15.19,14.69,14.69,9760
2015-12-15,14.56,14.69,14.44,14.44,5810
2015-12-16,14.44,14.69,14.44,14.69,14150
2015-12-17,14.81,14.81,14.44,14.56,25870
2015-12-18,14.44,14.94,14.19,14.81,69060
2015-12-21,14.81,14.81,14.44,14.69,26030
2015-12-22,14.44,14.69,14.19,14.44,8120
2015-12-23,14.31,14.31,13.94,14.07,28320
2015-12-24,13.94,14.31,13.69,13.94,65540
2015-12-25,13.57,14.07,13.57,14.07,19830
2015-12-28,14.07,14.07,13.69,13.94,38760
2015-12-29,13.82,14.07,13.82,14.07,19530
2015-12-30,14.19,14.19,14.07,14.07,8950
2015-12-31,14.07,14.31,13.94,14.07,18990
2016-01-04,14.07,14.44,13.82,14.44,8900
2016-01-05,14.19,14.31,14.19,14.31,630
2016-01-06,14.19,14.31,14.07,14.19,3630
2016-01-07,13.94,14.07,13.69,14.07,16900
2016-01-08,13.82,14.07,13.69,13.94,43940
2016-01-11,13.82,14.07,13.69,13.69,16410
2016-01-12,13.95,13.95,13.57,13.69,24640
2016-01-13,13.69,13.95,13.57,13.57,23440
2016-01-14,13.44,13.69,13.44,13.69,10160
2016-01-15,13.69,13.82,13.44,13.44,39030
2016-01-18,12.93,13.69,12.8,13.69,24570
2016-01-19,13.69,13.69,13.44,13.44,35070
2016-01-20,13.44,14.33,13.44,14.2,76740
2016-01-21,14.07,14.2,13.95,14.07,19910
2016-01-22,13.95,14.2,13.82,14.07,7530
2016-01-25,14.07,14.83,14.07,14.45,48970
2016-01-26,14.2,14.71,13.95,14.45,10950
2016-01-27,14.45,14.96,14.45,14.96,47710
2016-01-28,14.96,14.96,14.71,14.71,27210
2016-01-29,14.71,14.71,14.58,14.71,15710
2016-02-01,14.83,14.83,14.58,14.71,12150
2016-02-02,14.58,14.58,13.95,14.2,86760
2016-02-03,14.07,14.45,13.95,14.45,4990
2016-02-04,14.45,14.58,14.45,14.45,11180
2016-02-05,14.33,14.45,14.33,14.33,13690
2016-02-15,14.2,14.58,14.2,14.58,11400
2016-02-16,14.45,15.47,14.45,15.47,28040
2016-02-17,15.47,15.85,15.47,15.59,79320
2016-02-18,15.97,16.61,15.97,16.48,115490
2016-02-19,16.48,16.73,16.23,16.23,50420
2016-02-22,16.23,16.48,16.1,16.23,46440
2016-02-23,16.1,16.48,15.85,16.23,78090
2016-02-24,16.1,17.11,16.1,16.99,172350
2016-02-25,16.99,16.99,16.48,16.48,64020
2016-02-26,16.86,16.86,16.61,16.61,38920
2016-02-29,16.48,16.86,16.48,16.48,20860
2016-03-01,16.48,16.73,16.35,16.48,56400
2016-03-02,16.35,17.24,16.35,17.24,132970
2016-03-03,17.24,17.37,16.99,16.99,25430
2016-03-04,16.86,16.99,16.61,16.73,75370
2016-03-07,16.61,16.73,16.48,16.48,102130
2016-03-08,16.73,16.86,16.48,16.48,39410
2016-03-09,16.48,16.99,16.48,16.61,98250
2016-03-10,16.73,16.86,16.73,16.86,50090
2016-03-11,16.86,17.11,16.86,16.86,42590
2016-03-14,16.99,16.99,16.61,16.61,37350
2016-03-15,16.61,16.73,16.35,16.61,66390
2016-03-16,16.73,16.73,16.48,16.61,15470
2016-03-17,16.61,16.73,16.48,16.61,44280
2016-03-18,16.61,17.24,16.48,16.99,59790
2016-03-21,17.11,17.11,16.61,16.73,44180
2016-03-22,16.61,16.86,16.48,16.48,14550
2016-03-23,16.48,16.99,16.48,16.86,26410
2016-03-24,16.73,16.99,16.48,16.48,46810
2016-03-25,16.35,16.48,16.1,16.48,62660
2016-03-28,16.48,16.48,15.97,16.1,40300
2016-03-29,15.97,16.1,15.09,15.09,135310
2016-03-30,14.96,15.34,14.83,14.96,21880
2016-03-31,15.09,15.21,14.71,15.21,88230
2016-04-01,15.21,15.47,14.83,15.34,36690
2016-04-04,15.34,15.59,15.21,15.34,18800
2016-04-05,15.21,15.47,15.21,15.47,3810
2016-04-06,15.47,15.85,15.21,15.47,12780
2016-04-07,15.34,15.85,15.34,15.85,27030
2016-04-08,15.85,16.1,15.59,15.59,43420
2016-04-11,15.59,16.61,15.59,16.35,81400
2016-04-12,16.61,16.86,16.48,16.73,50590
2016-04-13,16.73,16.73,16.23,16.48,23610
2016-04-14,16.35,16.73,16.23,16.23,26640
2016-04-15,16.48,17.24,16.48,17.24,157710
2016-04-19,17.24,17.37,16.99,17.24,67010
2016-04-20,17.24,17.37,16.86,17.11,70490
2016-04-21,17.11,17.11,16.35,16.35,31720
2016-04-22,16.35,16.61,16.35,16.61,34760
2016-04-25,16.61,16.61,16.23,16.23,26300
2016-04-26,16.23,16.48,16.23,16.48,36180
2016-04-27,16.35,16.35,16.1,16.1,47810
2016-04-28,16.1,16.73,15.97,16.35,34110
2016-04-29,16.48,16.48,16.1,16.35,14470
2016-05-04,16.48,16.74,16.35,16.74,54180
2016-05-05,16.74,16.74,16.48,16.48,19630
2016-05-06,16.35,16.35,16.1,16.35,23270
2016-05-09,16.35,16.35,15.97,16.1,14510
2016-05-10,16.1,16.1,15.84,15.84,31680
2016-05-11,15.71,16.1,15.45,15.84,20890
2016-05-12,15.97,15.97,15.58,15.84,12920
2016-05-13,15.71,15.71,15.45,15.45,17480
2016-05-16,15.58,15.58,15.45,15.45,6740
2016-05-17,15.45,15.97,15.45,15.97,15430
2016-05-18,15.84,16.1,15.71,15.97,5170
2016-05-19,15.45,15.97,15.45,15.84,3790
2016-05-20,15.84,16.87,15.71,16.87,41300
2016-05-23,16.87,16.87,16.48,16.48,11560
2016-05-24,16.48,16.48,16.23,16.23,17920
2016-05-25,16.23,16.48,16.23,16.35,22360
2016-05-26,16.23,17.0,16.23,16.87,22850
2016-05-27,16.87,16.87,16.48,16.61,9750
2016-05-30,16.61,16.74,16.48,16.74,13390
2016-05-31,16.61,16.61,16.61,16.61,3890
2016-06-01,16.48,16.87,16.35,16.61,20890
2016-06-02,16.61,17.77,16.61,17.77,100900
2016-06-03,17.77,18.54,17.51,18.29,100860
2016-06-06,18.29,18.41,17.9,18.16,22630
2016-06-07,18.29,18.54,18.16,18.54,96640
2016-06-08,18.54,18.54,18.16,18.16,63370
2016-06-09,18.03,19.06,18.03,18.8,68250
2016-06-10,18.93,19.06,18.67,18.8,30970
