time,open,high,low,close,volume
2014-06-23,9.19,9.19,8.73,8.73,6000
2014-06-24,8.73,9.56,8.73,9.56,94100
2014-06-25,9.56,9.74,9.28,9.74,64200
2014-06-26,9.74,9.74,9.74,9.74,2200
2014-06-27,8.82,10.11,8.82,10.11,72500
2014-06-30,9.93,10.11,9.65,10.11,58100
2014-07-01,9.74,9.83,9.65,9.83,11200
2014-07-02,9.65,10.11,9.47,9.47,8600
2014-07-03,9.47,9.65,9.19,9.19,1800
2014-07-04,9.01,9.37,9.01,9.1,13700
2014-07-07,9.1,9.1,9.1,9.1,1500
2014-07-08,9.1,9.1,9.1,9.1,0
2014-07-09,9.47,9.47,9.19,9.28,50100
2014-07-10,9.37,9.65,9.1,9.56,98600
2014-07-11,9.47,9.56,9.19,9.56,51800
2014-07-14,9.56,9.56,9.19,9.19,59400
2014-07-15,9.37,9.83,9.1,9.83,97000
2014-07-16,9.56,9.83,9.28,9.83,71300
2014-07-17,9.74,9.74,9.47,9.47,65900
2014-07-18,9.47,9.93,9.28,9.47,85200
2014-07-21,9.37,9.56,9.01,9.56,110400
2014-07-22,9.47,9.47,9.19,9.19,62400
2014-07-23,9.37,9.56,9.1,9.56,60000
2014-07-24,9.47,9.65,9.1,9.56,103700
2014-07-25,9.47,9.47,8.82,8.82,3500
2014-07-28,8.82,8.82,8.82,8.82,100
2014-07-29,8.36,9.37,8.09,9.37,11000
2014-07-30,9.1,9.1,9.1,9.1,400
2014-07-31,9.1,9.1,9.1,9.1,0
2014-08-01,9.1,9.1,9.1,9.1,0
2014-08-04,9.1,9.1,9.1,9.1,0
2014-08-05,9.1,9.1,9.1,9.1,0
2014-08-06,9.19,9.19,9.1,9.1,2000
2014-08-07,9.1,9.1,9.1,9.1,0
2014-08-08,9.1,9.1,9.1,9.1,0
2014-08-11,8.73,8.73,8.73,8.73,400
2014-08-12,9.1,9.1,9.1,9.1,300
2014-08-13,9.1,9.1,8.52,8.52,600
2014-08-14,8.52,8.52,8.52,8.52,300
2014-08-15,9.2,9.2,8.62,8.62,1200
2014-08-18,9.1,9.1,8.71,8.71,5700
2014-08-19,8.71,8.71,8.71,8.71,0
2014-08-20,9.0,9.0,9.0,9.0,100
2014-08-21,9.1,9.1,8.71,8.71,1100
2014-08-22,8.71,8.91,8.71,8.91,1100
2014-08-25,8.91,8.91,8.71,8.71,6900
2014-08-26,8.71,8.71,8.71,8.71,0
2014-08-27,8.13,8.71,8.13,8.71,300
2014-08-28,8.71,8.71,8.71,8.71,0
2014-08-29,8.71,8.71,8.71,8.71,0
2014-09-03,8.71,8.71,8.71,8.71,0
2014-09-04,8.71,8.71,8.71,8.71,0
2014-09-05,8.23,8.23,8.03,8.03,13000
2014-09-08,8.03,8.71,8.03,8.23,13200
2014-09-09,8.13,8.71,7.55,7.55,5100
2014-09-10,6.97,8.23,6.97,8.23,8600
2014-09-11,8.71,8.71,8.71,8.71,100
2014-09-12,8.71,8.71,8.71,8.71,0
2014-09-15,8.71,8.81,8.71,8.81,4000
2014-09-16,9.0,9.0,9.0,9.0,100
2014-09-17,9.49,9.49,8.32,9.0,2600
2014-09-18,8.23,8.91,8.23,8.91,7600
2014-09-19,8.91,8.91,8.71,8.81,2000
2014-09-22,8.23,8.91,8.23,8.71,37200
2014-09-23,8.71,8.81,8.71,8.81,26900
2014-09-24,8.91,9.68,8.91,9.68,34900
2014-09-25,9.68,9.87,9.68,9.87,12700
2014-09-26,9.87,10.36,9.87,9.87,17900
2014-09-29,9.29,10.16,9.29,10.16,1100
2014-09-30,10.26,10.26,9.78,9.97,4100
2014-10-01,9.97,10.16,9.1,9.1,13400
2014-10-02,9.97,9.97,9.29,9.29,30300
2014-10-03,10.16,10.16,10.16,10.16,22400
2014-10-06,11.13,11.13,11.13,11.13,26400
2014-10-07,12.2,12.2,12.2,12.2,19100
2014-10-08,13.36,13.36,13.36,13.36,8000
2014-10-09,14.62,14.62,14.62,14.62,58800
2014-10-10,15.88,15.97,13.65,14.52,121000
2014-10-13,14.52,14.52,13.55,14.04,202800
2014-10-14,13.94,13.94,13.46,13.75,16000
2014-10-15,13.07,13.75,12.78,12.87,120400
2014-10-16,13.65,14.13,13.65,14.13,129200
2014-10-17,14.23,14.33,14.13,14.33,2900
2014-10-20,13.55,14.04,13.55,14.04,2000
2014-10-21,14.52,14.52,14.13,14.13,10100
2014-10-22,13.55,14.13,13.26,14.04,3000
2014-10-23,14.04,14.04,14.04,14.04,0
2014-10-24,13.16,13.16,12.87,12.87,9000
2014-10-27,12.49,13.46,12.49,13.46,15000
2014-10-28,12.68,13.55,12.68,13.46,30300
2014-10-29,13.94,14.62,13.94,14.33,4100
2014-10-30,13.26,13.26,13.16,13.16,6500
2014-10-31,13.55,14.42,13.55,14.42,109500
2014-11-03,15.78,15.78,15.78,15.78,48400
2014-11-04,17.33,17.33,15.58,15.97,117900
2014-11-05,15.39,16.46,15.29,16.46,100700
2014-11-06,15.97,16.46,15.97,16.46,20900
2014-11-07,16.36,18.1,15.78,18.1,1175300
2014-11-10,18.78,19.65,18.39,19.07,75600
