time,open,high,low,close,volume
2014-07-10,3.24,3.24,3.07,3.07,1097300
2014-07-11,3.07,3.11,3.03,3.07,603100
2014-07-14,3.11,3.15,3.07,3.15,307500
2014-07-15,3.15,3.24,3.15,3.2,569100
2014-07-16,3.24,3.28,3.15,3.24,498400
2014-07-17,3.2,3.2,3.11,3.11,427200
2014-07-18,3.11,3.2,3.11,3.11,473400
2014-07-21,3.11,3.15,3.07,3.15,742660
2014-07-22,3.15,3.15,3.03,3.15,437128
2014-07-23,3.15,3.15,3.07,3.11,269200
2014-07-24,3.15,3.2,3.11,3.2,537700
2014-07-25,3.2,3.24,3.11,3.11,435500
2014-07-28,3.07,3.07,2.95,2.99,588300
2014-07-29,2.95,3.03,2.95,2.99,199900
2014-07-30,2.91,3.03,2.91,2.99,242700
2014-07-31,2.99,3.07,2.99,3.07,331000
2014-08-01,2.99,3.07,2.99,2.99,237000
2014-08-04,2.99,3.07,2.99,2.99,203400
2014-08-05,2.99,3.11,2.99,3.11,422300
2014-08-06,3.11,3.2,3.07,3.2,894800
2014-08-07,3.24,3.28,3.2,3.28,1675950
2014-08-08,3.32,3.44,3.28,3.28,1107000
2014-08-11,3.28,3.32,3.24,3.24,851700
2014-08-12,3.24,3.24,3.15,3.24,615600
2014-08-13,3.24,3.28,3.2,3.28,594700
2014-08-14,3.28,3.32,3.15,3.15,729500
2014-08-15,3.11,3.24,3.11,3.24,1214610
2014-08-18,3.24,3.32,3.2,3.28,1411860
2014-08-19,3.28,3.28,3.2,3.2,576400
2014-08-20,3.2,3.4,3.2,3.4,2320000
2014-08-21,3.4,3.4,3.32,3.32,870700
2014-08-22,3.32,3.36,3.28,3.32,910210
2014-08-25,3.32,3.4,3.28,3.32,1345000
2014-08-26,3.32,3.36,3.28,3.28,1529400
2014-08-27,3.28,3.32,3.24,3.28,871400
2014-08-28,3.28,3.36,3.28,3.32,1004610
2014-08-29,3.36,3.36,3.32,3.32,864000
2014-09-03,3.36,3.44,3.36,3.4,1242900
2014-09-04,3.4,3.4,3.32,3.36,767858
2014-09-05,3.36,3.4,3.32,3.36,622630
2014-09-08,3.4,3.48,3.4,3.4,2018600
2014-09-09,3.4,3.4,3.11,3.2,1815520
2014-09-10,3.2,3.28,3.15,3.24,735700
2014-09-11,3.24,3.32,3.24,3.28,565810
2014-09-12,3.28,3.32,3.24,3.28,413600
2014-09-15,3.28,3.36,3.15,3.24,926800
2014-09-16,3.28,3.28,3.15,3.24,638020
2014-09-17,3.24,3.28,3.15,3.2,930900
2014-09-18,3.15,3.24,3.07,3.07,747600
2014-09-19,3.07,3.15,3.07,3.15,487500
2014-09-22,3.15,3.15,3.11,3.11,314200
2014-09-23,3.07,3.15,3.03,3.07,592400
2014-09-24,3.11,3.11,3.03,3.07,276300
2014-09-25,3.07,3.11,3.03,3.07,400900
2014-09-26,3.07,3.15,3.07,3.07,354990
2014-09-29,3.11,3.15,3.03,3.03,433800
2014-09-30,3.07,3.15,3.03,3.11,479900
2014-10-01,3.11,3.15,3.07,3.15,450584
2014-10-02,3.15,3.2,3.11,3.2,678500
2014-10-03,3.2,3.24,3.15,3.2,975100
2014-10-06,3.24,3.32,3.24,3.32,1503021
2014-10-07,3.32,3.52,3.32,3.44,3454369
2014-10-08,3.44,3.44,3.36,3.36,642400
2014-10-09,3.36,3.44,3.32,3.36,1186119
2014-10-10,3.36,3.36,3.28,3.28,1416340
2014-10-13,3.28,3.32,3.2,3.32,574746
2014-10-14,3.28,3.32,3.2,3.2,493900
2014-10-15,3.2,3.24,3.11,3.2,578500
2014-10-16,3.2,3.2,3.03,3.07,866030
2014-10-17,3.07,3.15,3.07,3.11,515300
2014-10-20,3.15,3.2,3.11,3.11,454400
2014-10-21,3.11,3.15,3.07,3.11,246000
2014-10-22,3.15,3.2,3.11,3.11,300128
2014-10-23,3.11,3.15,3.03,3.03,496400
2014-10-24,2.99,3.07,2.87,3.07,381100
2014-10-27,3.07,3.07,2.91,2.91,271800
2014-10-28,2.95,2.99,2.95,2.99,372100
2014-10-29,2.99,3.07,2.99,3.03,201202
2014-10-30,3.03,3.11,2.99,3.03,510500
2014-10-31,3.07,3.11,3.03,3.07,265700
2014-11-03,3.11,3.15,3.07,3.11,148703
2014-11-04,3.15,3.24,3.15,3.2,945810
2014-11-05,3.24,3.32,3.2,3.24,1485340
2014-11-06,3.28,3.28,3.2,3.24,201300
2014-11-07,3.2,3.24,3.2,3.2,233400
2014-11-10,3.2,3.28,3.15,3.2,555100
2014-11-11,3.2,3.24,3.15,3.2,669800
2014-11-12,3.2,3.28,3.2,3.24,667500
2014-11-13,3.28,3.28,3.24,3.24,303802
2014-11-14,3.2,3.24,3.15,3.24,314110
2014-11-17,3.2,3.24,3.15,3.2,255870
2014-11-18,3.24,3.24,3.11,3.15,397010
2014-11-19,3.15,3.15,3.11,3.15,177700
2014-11-20,3.15,3.24,3.15,3.2,413400
