time,open,high,low,close,volume
2015-06-26,1.88,1.88,1.82,1.88,32560
2015-06-29,1.88,1.88,1.76,1.76,28310
2015-06-30,1.88,1.88,1.88,1.88,20
2015-07-01,1.88,1.88,1.76,1.88,33560
2015-07-02,1.88,1.88,1.76,1.76,90
2015-07-03,1.88,1.88,1.82,1.88,26340
2015-07-06,1.88,1.88,1.82,1.82,8130
2015-07-07,1.82,1.94,1.82,1.88,78350
2015-07-08,1.88,1.94,1.82,1.88,81710
2015-07-09,1.88,1.88,1.88,1.88,0
2015-07-10,1.82,1.88,1.82,1.88,2040
2015-07-13,1.88,1.88,1.76,1.82,32750
2015-07-14,1.76,1.82,1.71,1.71,34710
2015-07-15,1.76,1.82,1.76,1.76,15570
2015-07-16,1.76,1.76,1.76,1.76,1000
2015-07-17,1.82,1.82,1.82,1.82,160
2015-07-20,1.76,1.82,1.76,1.76,11920
2015-07-21,1.76,1.76,1.71,1.76,57030
2015-07-22,1.71,1.76,1.65,1.76,23000
2015-07-23,1.71,1.76,1.65,1.71,16980
2015-07-24,1.71,1.76,1.65,1.71,18040
2015-07-27,1.65,1.65,1.65,1.65,25800
2015-07-28,1.65,1.65,1.65,1.65,9100
2015-07-29,1.65,1.71,1.65,1.65,1010
2015-07-30,1.59,1.65,1.59,1.65,69290
2015-07-31,1.65,1.65,1.65,1.65,370
2015-08-03,1.65,1.65,1.65,1.65,3580
2015-08-04,1.59,1.65,1.59,1.65,9870
2015-08-05,1.65,1.71,1.65,1.71,21180
2015-08-06,1.65,1.65,1.65,1.65,10980
2015-08-07,1.65,1.65,1.65,1.65,1020
2015-08-10,1.71,1.71,1.59,1.65,1340
2015-08-11,1.71,1.71,1.71,1.71,10
2015-08-12,1.65,1.71,1.65,1.71,7490
2015-08-13,1.65,1.65,1.59,1.59,23140
2015-08-14,1.65,1.65,1.59,1.59,7000
2015-08-17,1.65,1.65,1.65,1.65,5000
2015-08-18,1.65,1.71,1.65,1.71,11040
2015-08-19,1.59,1.59,1.59,1.59,8930
2015-08-20,1.65,1.65,1.59,1.65,4420
2015-08-21,1.65,1.65,1.59,1.65,28390
2015-08-24,1.59,1.59,1.59,1.59,6010
2015-08-25,1.59,1.59,1.53,1.53,7760
2015-08-26,1.47,1.59,1.47,1.59,26290
2015-08-27,1.59,1.65,1.59,1.65,17970
2015-08-28,1.59,1.59,1.59,1.59,13780
2015-08-31,1.59,1.65,1.59,1.65,57040
2015-09-01,1.59,1.65,1.59,1.65,6020
2015-09-03,1.65,1.65,1.59,1.59,40700
2015-09-04,1.59,1.59,1.53,1.59,28130
2015-09-07,1.59,1.59,1.59,1.59,230
2015-09-08,1.53,1.65,1.53,1.65,25110
2015-09-09,1.65,1.71,1.65,1.65,6580
2015-09-10,1.59,1.59,1.59,1.59,8240
2015-09-11,1.53,1.59,1.53,1.53,36880
2015-09-14,1.47,1.59,1.47,1.59,30
2015-09-15,1.53,1.59,1.53,1.59,40730
2015-09-16,1.53,1.59,1.53,1.59,5450
2015-09-17,1.53,1.59,1.53,1.59,30
2015-09-18,1.53,1.59,1.53,1.59,620
2015-09-21,1.59,1.59,1.59,1.59,0
2015-09-22,1.53,1.59,1.53,1.53,44140
2015-09-23,1.47,1.59,1.47,1.59,30430
2015-09-24,1.59,1.59,1.59,1.59,0
2015-09-25,1.59,1.59,1.59,1.59,490
2015-09-28,1.53,1.53,1.53,1.53,36930
2015-09-29,1.47,1.53,1.47,1.53,90
2015-09-30,1.47,1.53,1.47,1.47,2240
2015-10-01,1.47,1.47,1.41,1.41,140
2015-10-02,1.47,1.47,1.47,1.47,2040
2015-10-05,1.53,1.53,1.53,1.53,6930
2015-10-06,1.59,1.59,1.53,1.59,29570
2015-10-07,1.59,1.59,1.53,1.53,38340
2015-10-08,1.53,1.59,1.53,1.59,2470
2015-10-09,1.53,1.53,1.53,1.53,4340
2015-10-12,1.47,1.47,1.47,1.47,20
2015-10-13,1.47,1.53,1.47,1.53,28280
2015-10-14,1.53,1.59,1.53,1.59,20700
2015-10-15,1.59,1.59,1.53,1.59,5050
2015-10-16,1.59,1.59,1.53,1.59,2830
2015-10-19,1.59,1.59,1.59,1.59,0
2015-10-20,1.59,1.59,1.59,1.59,5040
2015-10-21,1.53,1.59,1.53,1.59,60
2015-10-22,1.59,1.59,1.53,1.53,42850
2015-10-23,1.59,1.59,1.47,1.53,24500
2015-10-26,1.47,1.53,1.47,1.47,45090
2015-10-27,1.41,1.41,1.41,1.41,19910
2015-10-28,1.35,1.47,1.35,1.41,107270
2015-10-29,1.47,1.47,1.47,1.47,40790
2015-10-30,1.47,1.53,1.47,1.47,22430
2015-11-02,1.53,1.53,1.47,1.47,5010
2015-11-03,1.41,1.53,1.41,1.47,22760
2015-11-04,1.41,1.53,1.41,1.47,9440
2015-11-05,1.47,1.47,1.41,1.47,39290
2015-11-06,1.47,1.47,1.47,1.47,2140
2015-11-09,1.41,1.47,1.41,1.47,9570
2015-11-10,1.47,1.47,1.47,1.47,11700
2015-11-11,1.47,1.47,1.47,1.47,30
2015-11-12,1.47,1.47,1.41,1.47,10140
2015-11-13,1.47,1.47,1.41,1.47,1110
2015-11-16,1.47,1.47,1.41,1.41,20020
2015-11-17,1.41,1.47,1.41,1.41,2150
2015-11-18,1.35,1.41,1.35,1.41,3350
2015-11-19,1.41,1.47,1.41,1.41,2920
2015-11-20,1.41,1.47,1.41,1.47,15710
2015-11-23,1.41,1.47,1.41,1.41,9980
2015-11-24,1.41,1.41,1.41,1.41,4110
2015-11-25,1.41,1.41,1.35,1.41,14100
2015-11-26,1.47,1.47,1.41,1.41,10030
2015-11-27,1.35,1.35,1.35,1.35,800
2015-11-30,1.35,1.41,1.35,1.35,6940
2015-12-01,1.41,1.41,1.41,1.41,30
2015-12-02,1.41,1.41,1.41,1.41,10
2015-12-03,1.41,1.41,1.41,1.41,30
2015-12-04,1.41,1.41,1.41,1.41,330
2015-12-07,1.41,1.41,1.35,1.35,14900
2015-12-08,1.41,1.41,1.29,1.29,2010
2015-12-09,1.35,1.35,1.35,1.35,10
