time,open,high,low,close,volume
2015-06-26,17.04,17.38,17.04,17.38,600
2015-06-29,17.38,17.38,17.38,17.38,0
2015-06-30,17.38,17.38,17.38,17.38,0
2015-07-01,15.68,15.68,15.68,15.68,100
2015-07-02,15.68,15.68,15.68,15.68,100
2015-07-03,17.04,17.04,17.04,17.04,400
2015-07-06,15.68,15.68,15.68,15.68,2001
2015-07-07,15.68,15.68,15.06,15.06,6310
2015-07-08,15.06,15.06,15.06,15.06,4700
2015-07-09,15.13,15.13,14.31,14.31,600
2015-07-10,14.31,14.31,14.31,14.31,0
2015-07-13,14.72,15.68,14.72,15.68,9500
2015-07-14,14.38,14.38,14.38,14.38,500
2015-07-15,14.38,14.38,14.38,14.38,0
2015-07-16,14.65,14.65,14.65,14.65,2000
2015-07-17,14.99,16.08,14.99,16.08,13300
2015-07-20,17.04,17.04,17.04,17.04,3000
2015-07-21,16.36,16.7,15.68,16.7,6300
2015-07-22,16.56,16.63,16.56,16.63,6010
2015-07-23,17.04,17.04,16.36,16.97,20833
2015-07-24,16.7,17.04,16.7,17.04,4900
2015-07-27,15.4,15.4,15.4,15.4,240
2015-07-28,16.7,16.7,16.63,16.63,8643
2015-07-29,16.02,16.02,15.74,15.74,3050
2015-07-30,15.81,16.36,15.81,16.36,7050
2015-07-31,16.49,16.49,16.36,16.49,2202
2015-08-03,16.36,16.36,16.36,16.36,1266
2015-08-04,16.36,16.36,16.36,16.36,6500
2015-08-05,15.2,17.72,15.2,17.72,231000
2015-08-06,16.97,16.97,16.97,16.97,2034
2015-08-07,17.04,17.04,17.04,17.04,500
2015-08-10,17.04,17.04,17.04,17.04,2676
2015-08-11,17.04,17.04,17.04,17.04,3400
2015-08-12,17.04,17.38,16.97,17.38,27900
2015-08-13,17.45,17.58,17.45,17.58,4134
2015-08-14,17.58,17.79,17.58,17.79,5500
2015-08-17,17.86,19.56,17.79,19.56,54300
2015-08-18,21.06,21.13,19.56,19.76,411532
2015-08-19,20.45,20.45,19.76,19.76,69932
2015-08-20,19.83,21.13,19.76,19.83,321166
2015-08-21,20.45,21.13,20.11,21.13,368166
2015-08-24,21.13,21.2,21.13,21.13,69666
2015-08-25,21.13,21.13,21.06,21.06,39200
2015-08-26,19.08,19.08,19.01,19.01,7746
2015-08-27,18.47,19.76,17.17,19.76,19380
2015-08-28,20.11,20.11,20.11,20.11,2600
2015-08-31,20.24,20.24,20.24,20.24,133
2015-09-01,20.04,20.11,19.76,19.76,17700
