time,open,high,low,close,volume
2015-06-26,14.35,17.47,14.35,14.76,4400
2015-06-29,16.24,16.24,15.17,16.24,800
2015-06-30,14.85,17.85,14.85,14.96,2000
2015-07-01,16.32,16.32,16.32,16.32,100
2015-07-02,17.94,17.94,17.94,17.94,300
2015-07-03,16.43,16.43,16.43,16.43,101
2015-07-06,14.79,18.07,14.79,14.85,7800
2015-07-07,13.72,16.32,13.42,13.42,5700
2015-07-08,14.76,14.76,14.76,14.76,101
2015-07-09,13.42,15.06,13.42,15.06,200
2015-07-10,16.54,16.57,15.06,16.57,400
2015-07-13,18.04,18.21,15.09,18.21,1300
2015-07-14,16.43,16.43,16.4,16.43,400
2015-07-15,18.04,18.07,16.4,16.4,2700
2015-07-16,18.02,18.04,15.04,18.04,1600
2015-07-17,18.04,18.04,18.04,18.04,1400
2015-07-20,18.04,18.32,16.68,16.68,7600
2015-07-21,17.96,18.02,17.77,17.77,400
2015-07-22,19.55,19.55,16.68,16.68,300
2015-07-23,16.68,16.68,16.68,16.68,0
2015-07-24,16.68,16.68,16.68,16.68,0
2015-07-27,16.68,16.68,16.68,16.68,0
2015-07-28,18.35,18.35,18.35,18.35,100
2015-07-29,18.35,18.35,18.35,18.35,100
2015-07-30,18.35,18.35,18.35,18.35,100
2015-07-31,18.35,18.35,18.35,18.35,200
2015-08-03,18.35,18.35,18.35,18.35,0
2015-08-04,18.32,18.32,16.54,17.01,9800
2015-08-05,18.7,18.7,17.03,18.35,400
2015-08-06,18.35,18.7,18.35,18.7,200
2015-08-07,18.7,18.7,18.7,18.7,0
2015-08-10,18.35,18.35,18.35,18.35,150
2015-08-11,18.35,18.35,18.35,18.35,0
2015-08-12,18.35,18.35,18.35,18.35,0
2015-08-13,17.39,17.39,17.39,17.39,200
2015-08-14,17.22,17.39,17.22,17.39,400
2015-08-17,17.39,17.39,17.39,17.39,200
2015-08-18,17.39,17.39,17.39,17.39,0
2015-08-19,17.39,17.39,17.39,17.39,0
2015-08-20,17.39,17.39,17.39,17.39,0
2015-08-21,18.86,18.86,18.86,18.86,150
2015-08-24,19.41,19.41,19.41,19.41,100
2015-08-25,19.41,19.41,19.41,19.41,10
2015-08-26,19.14,19.14,19.14,19.14,2000
2015-08-27,19.14,19.14,19.14,19.14,0
2015-08-28,19.14,19.14,19.14,19.14,0
2015-08-31,18.59,18.59,17.31,17.31,1100
2015-09-01,18.59,18.59,18.59,18.59,100
2015-09-03,18.59,18.59,18.59,18.59,0
2015-09-04,18.59,18.59,18.59,18.59,0
2015-09-07,18.59,18.59,18.59,18.59,0
2015-09-08,18.59,18.59,18.59,18.59,0
