time,open,high,low,close,volume
2015-06-26,5.0,5.0,5.0,5.0,100
2015-06-29,5.5,5.5,5.5,5.5,100
2015-06-30,6.0,6.0,5.0,5.0,200
2015-07-01,4.8,5.5,4.7,5.5,300
2015-07-02,5.5,5.5,5.5,5.5,0
2015-07-03,5.7,5.7,5.7,5.7,170
2015-07-06,6.0,6.0,6.0,6.0,100
2015-07-07,6.0,6.0,6.0,6.0,0
2015-07-08,6.0,6.0,6.0,6.0,0
2015-07-09,6.0,6.0,6.0,6.0,0
2015-07-10,6.9,6.9,6.9,6.9,100
2015-07-13,7.0,7.9,7.0,7.9,200
2015-07-14,7.9,7.9,7.9,7.9,0
2015-07-15,8.6,8.6,6.4,6.4,200
2015-07-16,6.4,6.4,6.4,6.4,0
2015-07-17,6.4,6.4,6.4,6.4,0
2015-07-20,6.4,6.4,6.4,6.4,0
2015-07-21,6.4,6.4,6.4,6.4,0
2015-07-22,6.4,6.4,6.4,6.4,0
2015-07-23,6.4,6.4,6.4,6.4,0
2015-07-24,6.4,6.4,6.4,6.4,0
2015-07-27,6.4,6.4,6.4,6.4,0
2015-07-28,8.6,8.6,8.6,8.6,100
2015-07-29,9.8,9.8,7.4,7.4,200
2015-07-30,7.4,7.4,7.4,7.4,0
2015-07-31,7.4,7.4,7.4,7.4,100
2015-08-03,7.4,7.4,7.4,7.4,0
2015-08-04,7.4,7.4,7.4,7.4,0
2015-08-05,7.4,7.4,7.4,7.4,0
2015-08-06,7.4,7.4,7.4,7.4,0
2015-08-07,7.4,7.4,7.4,7.4,0
2015-08-10,7.4,7.4,7.4,7.4,50
2015-08-11,7.4,7.4,7.4,7.4,0
2015-08-12,7.4,7.4,7.4,7.4,0
2015-08-13,7.4,7.4,7.4,7.4,0
2015-08-14,7.4,7.4,7.4,7.4,20
2015-08-17,7.4,7.4,7.4,7.4,0
2015-08-18,7.4,7.4,7.4,7.4,0
2015-08-19,7.4,7.4,7.4,7.4,0
2015-08-20,7.4,7.4,7.4,7.4,0
2015-08-21,7.4,7.4,7.4,7.4,0
2015-08-24,7.4,7.4,7.4,7.4,0
2015-08-25,7.4,7.4,7.4,7.4,0
2015-08-26,7.4,7.4,7.4,7.4,0
2015-08-27,7.4,7.4,7.4,7.4,0
2015-08-28,7.4,7.4,7.4,7.4,0
2015-08-31,7.4,7.4,7.4,7.4,0
2015-09-01,7.4,7.4,7.4,7.4,0
2015-09-03,7.4,7.4,7.4,7.4,0
2015-09-04,7.4,7.4,7.4,7.4,0
2015-09-07,7.4,7.4,7.4,7.4,0
2015-09-08,7.4,7.4,7.4,7.4,0
2015-09-09,7.4,7.4,7.4,7.4,0
2015-09-10,7.4,7.4,7.4,7.4,0
2015-09-11,7.4,7.4,7.4,7.4,0
2015-09-14,7.4,7.4,7.4,7.4,0
2015-09-15,10.0,10.0,4.5,4.5,300
2015-09-16,4.5,4.5,4.5,4.5,0
2015-09-17,4.5,4.5,4.5,4.5,0
2015-09-18,4.5,4.5,4.5,4.5,0
2015-09-21,4.5,4.5,4.5,4.5,0
2015-09-22,5.4,5.4,5.4,5.4,100
2015-09-23,4.6,4.6,4.6,4.6,100
2015-09-24,4.0,4.0,4.0,4.0,100
2015-09-25,3.5,3.5,3.4,3.4,400
2015-09-28,3.1,3.1,3.0,3.0,1100
2015-09-29,2.6,3.1,2.6,3.1,300
2015-09-30,3.3,3.3,3.3,3.3,100
2015-10-01,3.7,3.7,3.7,3.7,1900
2015-10-02,4.2,4.2,4.2,4.2,600
2015-10-05,4.8,4.8,4.7,4.7,600
2015-10-06,4.1,4.8,4.1,4.8,200
2015-10-07,3.9,3.9,3.9,3.9,500
2015-10-08,3.9,3.9,3.9,3.9,0
2015-10-09,4.4,4.4,4.4,4.4,200
2015-10-12,4.4,4.4,4.4,4.4,0
2015-10-13,4.8,4.8,3.8,3.8,700
2015-10-14,3.9,4.4,3.9,4.4,200
2015-10-15,4.4,4.4,4.4,4.4,0
2015-10-16,4.5,4.5,4.5,4.5,100
2015-10-19,3.9,3.9,3.9,3.9,100
2015-10-20,3.9,3.9,3.9,3.9,0
2015-10-21,3.4,3.4,3.4,3.4,100
2015-10-22,2.9,2.9,2.9,2.9,1100
2015-10-23,3.3,3.3,3.3,3.3,3200
2015-10-26,3.5,3.5,3.5,3.5,1800
2015-10-27,3.8,3.8,3.5,3.5,3300
2015-10-28,3.3,3.3,3.3,3.3,100
2015-10-29,3.7,3.7,3.1,3.1,600
2015-10-30,2.9,3.7,2.9,3.7,500
2015-11-02,3.2,3.2,3.2,3.2,100
2015-11-03,2.9,2.9,2.9,2.9,100
2015-11-04,2.9,2.9,2.9,2.9,400
2015-11-05,3.3,3.3,3.3,3.3,100
2015-11-06,3.7,3.7,3.7,3.7,600
2015-11-09,4.1,4.1,4.1,4.1,100
2015-11-10,4.7,4.7,4.7,4.7,100
2015-11-11,4.7,4.7,4.7,4.7,0
2015-11-12,4.0,4.0,4.0,4.0,200
2015-11-13,3.7,4.0,3.7,4.0,1000
2015-11-16,3.4,3.4,3.4,3.4,100
2015-11-17,3.0,3.4,2.9,2.9,7000
2015-11-18,2.5,2.5,2.5,2.5,100
2015-11-19,2.8,2.8,2.8,2.8,100
2015-11-20,3.2,3.2,2.9,2.9,1700
2015-11-23,3.2,3.2,3.2,3.2,100
2015-11-24,3.6,3.6,3.6,3.6,100
2015-11-25,4.0,4.0,4.0,4.0,100
2015-11-26,4.6,4.6,3.4,3.4,600
2015-11-27,4.1,4.1,4.1,4.1,100
2015-11-30,3.9,3.9,3.9,3.9,100
