time,open,high,low,close,volume
2014-07-10,5.11,5.11,5.11,5.11,0
2014-07-11,5.11,5.11,5.11,5.11,0
2014-07-14,5.11,5.11,5.11,5.11,0
2014-07-15,5.11,5.11,5.11,5.11,0
2014-07-16,5.11,5.11,5.11,5.11,0
2014-07-17,5.11,5.11,5.11,5.11,0
2014-07-18,5.11,5.11,5.11,5.11,0
2014-07-21,5.37,5.37,5.37,5.37,10
2014-07-22,5.37,5.37,5.37,5.37,0
2014-07-23,5.37,5.37,5.37,5.37,0
2014-07-24,5.37,5.37,5.37,5.37,0
2014-07-25,5.06,5.06,5.06,5.06,500
2014-07-28,5.06,5.06,5.06,5.06,0
2014-07-29,5.06,5.06,5.06,5.06,0
2014-07-30,5.11,5.11,5.11,5.11,200
2014-07-31,5.11,5.11,5.11,5.11,0
2014-08-01,5.11,5.11,5.11,5.11,0
2014-08-04,5.16,5.16,5.16,5.16,500
2014-08-05,5.24,5.24,5.24,5.24,20
2014-08-06,5.24,5.37,5.24,5.37,290
2014-08-07,5.37,5.37,5.37,5.37,2300
2014-08-08,5.37,5.37,5.34,5.34,4000
2014-08-11,5.34,5.34,5.34,5.34,1000
2014-08-12,5.37,5.37,5.37,5.37,2080
2014-08-13,5.55,5.55,5.01,5.01,11010
2014-08-14,5.19,5.32,5.01,5.01,3460
2014-08-15,5.34,5.34,5.24,5.29,4510
2014-08-18,5.29,5.29,5.11,5.11,3020
2014-08-19,5.37,5.42,5.11,5.14,3210
2014-08-20,5.5,5.5,5.11,5.11,1680
2014-08-21,5.37,5.37,5.11,5.11,5020
2014-08-22,5.42,5.42,5.42,5.42,1500
2014-08-25,5.32,5.42,5.32,5.42,3500
2014-08-26,5.6,5.62,5.19,5.19,3780
2014-08-27,5.5,5.55,5.14,5.14,4120
2014-08-28,5.5,5.5,5.14,5.14,3080
2014-08-29,5.5,5.5,5.5,5.5,4610
2014-09-03,5.75,5.75,5.75,5.75,10
2014-09-04,5.37,6.14,5.37,6.14,110
2014-09-05,6.14,6.39,5.73,5.73,19930
2014-09-08,6.11,6.11,5.39,5.88,5910
2014-09-09,5.88,6.29,5.47,5.47,23030
2014-09-10,5.83,5.83,5.47,5.47,1400
2014-09-11,5.75,5.83,5.39,5.39,500
2014-09-12,5.75,5.75,5.24,5.24,310
2014-09-15,5.24,5.24,5.24,5.24,0
2014-09-16,5.55,5.55,5.55,5.55,90
2014-09-17,5.93,5.93,5.93,5.93,2500
2014-09-18,6.16,6.34,6.16,6.16,5170
2014-09-19,6.26,6.57,5.75,5.96,10920
2014-09-22,6.37,6.37,5.57,5.57,4410
2014-09-23,5.96,5.96,5.39,5.39,230
2014-09-24,5.75,5.75,5.11,5.75,1410
2014-09-25,6.14,6.14,5.52,5.52,4330
2014-09-26,5.73,5.73,5.73,5.73,10
2014-09-29,6.13,6.13,6.13,6.13,100
2014-09-30,5.84,5.84,5.84,5.84,10
2014-10-01,5.84,5.84,5.84,5.84,0
2014-10-02,6.24,6.24,6.08,6.08,2250
2014-10-03,6.47,6.5,6.47,6.5,7690
2014-10-06,6.9,6.95,6.9,6.95,4600
2014-10-07,7.4,7.42,7.0,7.0,32380
2014-10-08,7.4,7.4,6.63,6.63,8730
2014-10-09,6.63,6.63,6.63,6.63,0
2014-10-10,6.61,7.0,6.61,7.0,900
2014-10-13,6.74,6.74,6.61,6.61,4390
2014-10-14,6.74,6.74,6.61,6.61,50
2014-10-15,6.61,6.61,6.61,6.61,0
2014-10-16,6.61,6.61,6.61,6.61,0
2014-10-17,6.61,6.61,6.61,6.61,0
2014-10-20,6.61,6.61,6.61,6.61,0
2014-10-21,6.61,6.61,6.61,6.61,1000
2014-10-22,7.0,7.0,6.63,7.0,6000
2014-10-23,7.0,7.0,7.0,7.0,0
2014-10-24,6.87,6.87,6.87,6.87,10000
2014-10-27,6.87,6.87,6.87,6.87,870
2014-10-28,6.74,7.13,6.63,6.63,16260
2014-10-29,6.63,6.63,6.63,6.63,0
2014-10-30,6.61,6.61,6.61,6.61,500
2014-10-31,6.74,6.74,6.74,6.74,3540
2014-11-03,6.74,6.74,6.74,6.74,0
2014-11-04,7.13,7.13,7.13,7.13,10000
2014-11-05,6.74,7.13,6.74,6.87,3200
2014-11-06,7.0,7.13,7.0,7.13,5800
2014-11-07,7.13,7.13,7.13,7.13,70
2014-11-10,7.13,7.27,7.13,7.27,2330
2014-11-11,7.24,7.35,6.9,7.27,14910
2014-11-12,7.0,7.0,7.0,7.0,390
2014-11-13,7.21,7.24,7.0,7.0,1210
2014-11-14,7.13,7.21,7.13,7.21,230
2014-11-17,7.13,7.4,6.84,7.0,9030
2014-11-18,7.13,7.4,7.0,7.21,26810
2014-11-19,7.4,7.4,7.21,7.21,14800
2014-11-20,7.24,7.4,7.0,7.21,23260
2014-11-21,7.24,7.4,7.21,7.32,7520
2014-11-24,7.4,7.4,7.4,7.4,540
2014-11-25,6.92,7.9,6.92,7.4,20140
2014-11-26,7.27,7.27,7.27,7.27,90
2014-11-27,7.13,7.13,7.13,7.13,2960
2014-11-28,7.0,7.08,6.95,7.08,4360
2014-12-01,7.19,7.4,7.19,7.37,3710
2014-12-02,7.35,7.37,7.16,7.16,1120
2014-12-03,7.35,7.37,7.08,7.37,260
2014-12-04,7.08,7.37,7.08,7.37,50
2014-12-05,7.13,7.13,7.13,7.13,600
2014-12-08,7.11,7.13,6.95,7.13,14050
2014-12-09,6.95,7.29,6.92,7.29,330
2014-12-10,6.9,7.24,6.9,6.9,690
2014-12-11,6.9,6.92,6.74,6.92,6110
2014-12-12,6.9,7.05,6.61,7.05,360
2014-12-15,7.0,7.03,7.0,7.03,2200
2014-12-16,7.03,7.03,7.03,7.03,0
2014-12-17,6.66,7.0,6.66,6.95,350
2014-12-18,6.95,6.95,6.95,6.95,0
2014-12-19,6.95,6.95,6.95,6.95,0
2014-12-22,6.87,7.05,6.47,7.05,1810
2014-12-23,6.61,6.87,6.61,6.74,2060
2014-12-24,6.95,7.13,6.29,6.95,3540
2014-12-25,6.95,6.95,6.95,6.95,0
2014-12-26,6.74,7.13,6.74,6.95,510
2014-12-29,6.87,7.11,6.84,7.11,760
2014-12-30,6.87,6.98,6.87,6.98,800
2014-12-31,7.0,7.0,7.0,7.0,50
2015-01-05,6.87,6.87,6.74,6.87,1170
2015-01-06,6.87,6.95,6.87,6.87,2640
2015-01-07,6.98,7.05,6.98,7.05,20
2015-01-08,6.95,7.13,6.87,7.13,3460
2015-01-09,7.13,7.13,7.13,7.13,0
2015-01-12,6.87,6.98,6.87,6.98,510
2015-01-13,6.95,6.95,6.95,6.95,20
2015-01-14,6.98,6.98,6.98,6.98,20
2015-01-15,6.95,7.4,6.68,6.68,770
2015-01-16,6.68,7.03,6.68,7.03,70
2015-01-19,7.03,7.03,7.03,7.03,0
2015-01-20,7.03,7.03,7.03,7.03,0
2015-01-21,7.03,7.03,7.03,7.03,0
2015-01-22,6.74,6.74,6.74,6.74,300
2015-01-23,6.74,6.74,6.74,6.74,0
2015-01-26,7.0,7.0,7.0,7.0,10
2015-01-27,7.0,7.0,7.0,7.0,0
2015-01-28,6.58,7.13,6.58,7.13,20
2015-01-29,7.13,7.13,7.13,7.13,0
2015-01-30,7.13,7.13,7.13,7.13,0
2015-02-02,7.13,7.13,7.13,7.13,0
2015-02-03,7.13,7.13,7.13,7.13,0
2015-02-04,6.66,6.66,6.66,6.66,10
2015-02-05,6.82,6.82,6.82,6.82,60
2015-02-06,6.82,6.82,6.82,6.82,0
2015-02-09,6.82,6.82,6.82,6.82,0
2015-02-10,7.0,7.0,6.61,6.61,430
2015-02-11,7.03,7.03,7.03,7.03,10
2015-02-12,7.03,7.03,7.03,7.03,0
2015-02-13,7.03,7.03,7.03,7.03,0
2015-02-24,7.13,7.4,7.13,7.37,1120
2015-02-25,7.37,7.37,7.37,7.37,0
2015-02-26,7.37,7.37,7.37,7.37,0
2015-02-27,7.37,7.37,7.37,7.37,0
2015-03-02,7.37,7.5,7.35,7.5,880
2015-03-03,7.42,7.42,7.37,7.37,2030
2015-03-04,7.35,7.35,6.87,7.32,1380
2015-03-05,7.32,7.32,7.32,7.32,0
2015-03-06,6.92,6.92,6.92,6.92,2000
2015-03-09,7.32,7.32,7.32,7.32,50
2015-03-10,7.32,7.32,7.32,7.32,0
2015-03-11,7.29,7.29,7.03,7.03,1630
2015-03-12,6.87,6.92,6.74,6.74,9700
2015-03-13,6.74,6.74,6.55,6.61,4040
2015-03-16,6.61,6.61,6.45,6.61,2820
2015-03-17,6.84,6.84,6.58,6.58,1350
2015-03-18,6.58,6.58,6.58,6.58,0
2015-03-19,6.55,6.69,6.55,6.69,210
2015-03-20,6.63,6.63,6.44,6.63,30
2015-03-23,6.55,6.55,6.28,6.28,2820
2015-03-24,6.28,6.55,6.22,6.55,2500
2015-03-25,6.8,6.8,6.55,6.74,2400
2015-03-26,6.58,6.74,6.55,6.74,150
2015-03-27,6.47,6.74,6.47,6.74,20
