time,open,high,low,close,volume
2015-06-26,9.76,10.33,9.36,10.33,6700
2015-06-29,10.33,10.33,9.76,10.17,8500
2015-06-30,10.17,10.7,9.36,10.25,11200
2015-07-01,9.4,9.97,9.36,9.36,3400
2015-07-02,9.97,9.97,9.36,9.4,6200
2015-07-03,9.4,10.05,9.4,9.97,6245
2015-07-06,9.44,9.72,9.36,9.48,5600
2015-07-07,9.48,9.68,9.48,9.48,6700
2015-07-08,9.76,10.05,9.56,9.56,18710
2015-07-09,9.52,9.52,9.36,9.36,7900
2015-07-10,9.76,9.88,9.64,9.76,8400
2015-07-13,9.76,10.74,9.76,10.33,99867
2015-07-14,10.41,10.78,10.33,10.33,45978
2015-07-15,10.29,10.33,9.92,9.92,10300
2015-07-16,9.92,9.97,9.8,9.8,35100
2015-07-17,9.76,9.84,9.56,9.56,81850
2015-07-20,9.36,9.97,9.36,9.56,37740
2015-07-21,9.56,9.56,9.36,9.36,36900
2015-07-22,9.64,9.64,9.36,9.48,13600
2015-07-23,9.36,9.44,9.36,9.36,4450
2015-07-24,9.48,9.48,9.31,9.31,4900
2015-07-27,9.27,9.27,9.27,9.27,700
2015-07-28,9.27,9.36,9.27,9.27,9600
2015-07-29,9.23,9.23,9.23,9.23,1600
2015-07-30,9.23,9.31,9.23,9.27,4400
2015-07-31,9.19,9.27,9.19,9.23,2100
2015-08-03,8.58,9.19,8.54,9.19,2200
2015-08-04,9.23,9.36,9.19,9.36,6400
2015-08-05,9.56,9.97,9.36,9.68,900
2015-08-06,9.36,9.52,8.75,9.52,3400
2015-08-07,9.52,9.68,9.52,9.68,400
2015-08-10,9.36,9.68,9.36,9.68,2100
2015-08-11,9.68,9.68,9.68,9.68,0
2015-08-12,9.68,9.68,9.68,9.68,0
2015-08-13,9.64,9.64,9.64,9.64,2500
2015-08-14,9.23,10.17,9.23,10.17,600
2015-08-17,9.64,9.97,9.23,9.23,1900
2015-08-18,9.76,9.76,9.76,9.76,100
2015-08-19,9.76,9.76,9.76,9.76,0
2015-08-20,9.76,9.76,9.76,9.76,0
2015-08-21,9.76,9.76,9.76,9.76,0
2015-08-24,8.79,9.31,8.79,9.31,200
2015-08-25,9.31,9.31,8.79,9.27,2800
