time,open,high,low,close,volume
2015-06-26,13.75,13.88,13.75,13.88,13160
2015-06-29,13.53,14.41,13.49,14.41,2210
2015-06-30,14.5,14.72,14.1,14.68,5640
2015-07-01,14.63,14.63,14.54,14.63,440
2015-07-02,14.24,14.24,13.66,13.66,16970
2015-07-03,13.66,14.5,13.66,13.66,2490
2015-07-06,14.41,14.41,13.75,13.75,350
2015-07-07,13.97,14.59,13.84,14.59,2420
2015-07-08,14.37,14.37,13.71,13.71,780
2015-07-09,13.71,14.32,13.66,14.32,90
2015-07-10,13.88,14.24,13.71,14.24,2130
2015-07-13,14.19,14.9,14.19,14.28,200
2015-07-14,14.54,14.54,14.19,14.19,290
2015-07-15,14.5,14.5,14.24,14.24,260
2015-07-16,14.19,14.19,13.44,13.44,1410
2015-07-17,13.75,14.24,13.75,14.24,3220
2015-07-20,14.02,14.02,13.66,13.66,3500
2015-07-21,13.66,13.84,13.44,13.71,4680
2015-07-22,13.79,13.79,13.44,13.53,6860
2015-07-23,13.57,13.88,13.49,13.49,4900
2015-07-24,13.44,13.88,13.44,13.57,12320
2015-07-27,13.62,14.41,13.62,14.19,39130
2015-07-28,14.1,14.28,13.62,14.15,6950
2015-07-29,14.1,14.5,13.88,14.24,65450
2015-07-30,14.24,14.54,14.24,14.54,18410
2015-07-31,14.41,14.68,14.41,14.54,21120
2015-08-03,14.32,14.54,14.1,14.54,18260
2015-08-04,14.19,14.5,14.19,14.5,34850
2015-08-05,14.46,14.54,14.37,14.54,32750
2015-08-06,14.54,14.63,14.28,14.54,30220
2015-08-07,14.54,14.54,14.28,14.54,1870
2015-08-10,14.54,14.59,14.19,14.54,42410
2015-08-11,14.98,15.07,14.59,14.81,74500
2015-08-12,15.6,15.6,14.81,14.9,48990
2015-08-13,14.9,14.9,14.46,14.85,15540
2015-08-14,14.98,14.98,14.76,14.85,28790
2015-08-17,15.03,15.03,14.59,14.59,51010
2015-08-18,14.59,14.85,14.59,14.76,16920
2015-08-19,14.24,14.85,14.24,14.72,11310
2015-08-20,14.98,14.98,14.46,14.59,17570
2015-08-21,14.72,14.94,14.32,14.72,3240
2015-08-24,14.19,14.68,13.71,13.75,28860
2015-08-25,13.88,14.46,13.66,13.66,16790
2015-08-26,14.02,14.37,14.02,14.37,21550
2015-08-27,14.85,14.85,13.93,14.1,1380
2015-08-28,14.94,14.94,14.1,14.28,19930
2015-08-31,14.59,14.59,14.06,14.32,13550
2015-09-01,13.93,14.24,13.93,14.24,1510
2015-09-03,14.41,14.41,13.93,14.06,5590
2015-09-04,13.88,14.9,13.88,14.02,16290
2015-09-07,14.1,14.24,14.02,14.24,14400
2015-09-08,13.75,14.15,13.75,14.15,10010
2015-09-09,14.41,14.54,14.1,14.1,6550
2015-09-10,14.32,14.54,14.02,14.02,14380
2015-09-11,14.24,14.24,14.02,14.02,390
2015-09-14,14.15,14.15,13.66,14.06,15400
2015-09-15,14.02,14.76,14.02,14.1,26130
2015-09-16,14.06,14.1,14.06,14.1,13020
2015-09-17,13.75,14.1,13.75,14.1,6020
2015-09-18,14.06,14.06,14.06,14.06,4960
2015-09-21,14.46,14.46,13.88,13.88,19030
2015-09-22,14.41,14.46,13.88,14.06,27660
2015-09-23,14.06,14.06,13.93,14.06,5570
2015-09-24,14.5,14.5,13.93,13.93,1320
2015-09-25,14.1,14.1,13.93,13.93,20970
2015-09-28,13.97,13.97,13.88,13.97,17880
2015-09-29,13.88,13.97,13.88,13.97,1150
2015-09-30,13.97,13.97,13.88,13.97,7320
2015-10-01,13.88,14.02,13.88,14.02,5570
2015-10-02,14.02,14.54,14.02,14.28,37230
2015-10-05,14.54,14.54,14.32,14.32,3330
2015-10-06,15.01,15.01,14.32,14.87,9500
2015-10-07,14.37,14.55,14.37,14.55,5130
2015-10-08,14.42,14.55,14.42,14.55,8820
2015-10-09,14.46,14.46,14.1,14.1,7370
2015-10-12,14.1,14.28,14.1,14.19,15280
2015-10-13,14.32,14.32,13.87,14.32,7640
2015-10-14,14.28,14.28,14.1,14.23,5760
2015-10-15,14.23,14.28,14.1,14.1,2560
2015-10-16,14.46,14.46,13.73,13.96,8780
2015-10-19,14.1,14.92,14.1,14.46,5320
2015-10-20,14.6,14.6,14.32,14.32,16280
2015-10-21,14.46,14.51,14.32,14.37,3780
2015-10-22,14.46,14.78,14.46,14.51,20520
2015-10-23,14.55,14.82,13.64,13.64,18110
2015-10-26,14.6,14.6,13.78,14.1,27000
2015-10-27,13.87,14.28,13.87,14.05,5790
2015-10-28,14.19,14.19,13.73,14.14,20470
2015-10-29,14.42,14.55,14.19,14.51,27230
2015-10-30,14.51,14.51,14.19,14.42,12170
2015-11-02,14.46,14.46,13.92,13.92,7470
2015-11-03,13.92,14.05,13.64,14.05,17330
2015-11-04,14.1,14.1,14.05,14.05,820
2015-11-05,14.1,14.1,13.78,13.78,11670
2015-11-06,13.82,13.82,13.69,13.69,5920
2015-11-09,14.05,14.05,14.01,14.01,30
2015-11-10,14.01,14.01,13.73,14.01,1100
2015-11-11,14.01,14.01,13.73,13.73,4480
2015-11-12,13.78,13.78,13.69,13.78,4630
2015-11-13,13.73,13.78,13.64,13.78,6950
2015-11-16,13.78,13.78,13.73,13.73,8040
2015-11-17,13.73,13.73,13.64,13.73,28520
2015-11-18,13.78,13.92,13.73,13.73,9640
2015-11-19,13.92,13.92,13.64,13.73,2830
2015-11-20,13.92,13.92,13.64,13.64,15310
2015-11-23,14.01,14.01,13.73,13.73,10960
2015-11-24,13.78,13.78,13.64,13.69,10510
2015-11-25,13.64,13.64,13.6,13.6,13830
2015-11-26,13.87,13.87,13.6,13.78,1660
2015-11-27,13.96,13.96,13.96,13.96,3000
2015-11-30,14.05,14.05,13.64,13.64,10350
2015-12-01,13.69,13.82,13.69,13.82,4520
2015-12-02,13.87,13.87,13.64,13.78,7150
2015-12-03,13.64,13.69,13.64,13.69,5110
2015-12-04,13.64,13.64,13.64,13.64,1250
2015-12-07,13.82,13.82,13.64,13.69,5460
2015-12-08,13.78,13.78,13.6,13.69,11740
2015-12-09,13.69,13.69,13.46,13.6,3010
2015-12-10,13.6,13.69,13.6,13.64,33940
2015-12-11,14.05,14.05,13.64,13.64,4990
2015-12-14,13.41,13.64,13.41,13.64,7190
2015-12-15,13.92,13.92,13.6,13.6,5120
2015-12-16,13.82,13.96,13.69,13.69,40080
2015-12-17,13.69,13.69,13.64,13.69,2360
2015-12-18,13.6,13.64,13.6,13.64,4960
2015-12-21,13.87,13.87,13.64,13.64,10700
2015-12-22,13.82,13.87,13.64,13.64,18420
2015-12-23,13.78,13.78,13.6,13.64,9300
2015-12-24,13.78,13.82,13.64,13.82,14320
2015-12-25,13.82,13.82,13.69,13.69,3020
2015-12-28,13.78,13.82,13.78,13.82,1790
2015-12-29,13.73,13.82,13.73,13.82,9670
2015-12-30,13.96,13.96,13.64,13.87,560
2015-12-31,13.69,13.87,13.41,13.82,4830
2016-01-04,13.92,13.92,13.64,13.64,12090
2016-01-05,13.64,13.82,13.64,13.82,3980
2016-01-06,13.64,13.64,13.64,13.64,4000
2016-01-07,13.64,13.64,13.55,13.55,7790
2016-01-08,13.64,13.69,13.55,13.64,13310
2016-01-11,13.78,13.78,13.55,13.64,11440
2016-01-12,13.6,13.6,13.55,13.55,7220
2016-01-13,13.6,13.6,13.55,13.55,25200
2016-01-14,13.55,13.55,13.19,13.19,12740
2016-01-15,13.41,13.41,13.19,13.41,2610
2016-01-18,13.37,13.37,13.19,13.37,3820
2016-01-19,13.28,13.41,13.19,13.37,8650
2016-01-20,13.46,13.46,13.37,13.37,5200
2016-01-21,13.19,13.37,13.19,13.37,9940
2016-01-22,13.37,13.37,13.37,13.37,10
2016-01-25,13.19,13.37,13.19,13.28,58860
2016-01-26,13.32,13.78,13.32,13.41,30400
2016-01-27,13.46,13.46,13.19,13.37,27190
2016-01-28,13.19,13.37,13.05,13.05,890
2016-01-29,13.32,13.32,13.28,13.28,1210
2016-02-01,13.32,13.32,13.1,13.1,7250
2016-02-02,13.19,13.32,13.19,13.32,630
2016-02-03,13.32,13.32,13.32,13.32,7710
2016-02-04,13.32,13.32,13.23,13.23,17350
2016-02-05,13.19,14.1,13.19,14.1,10480
2016-02-15,13.87,14.01,13.64,13.64,1280
2016-02-16,13.6,13.6,13.37,13.37,9040
2016-02-17,13.41,13.6,13.37,13.37,5120
2016-02-18,13.41,13.41,13.37,13.41,60990
2016-02-19,13.32,13.46,13.23,13.23,39000
2016-02-22,13.28,13.28,13.19,13.28,26740
2016-02-23,13.19,13.28,13.1,13.1,29460
2016-02-24,13.46,13.46,13.1,13.1,1270
2016-02-25,13.19,13.19,13.14,13.19,4040
2016-02-26,13.19,13.46,13.19,13.32,1210
2016-02-29,13.41,13.73,12.87,12.87,12430
2016-03-01,13.14,13.19,12.96,13.1,11230
2016-03-02,13.1,13.14,12.73,12.73,8090
2016-03-03,13.14,13.14,12.46,12.46,28690
2016-03-04,12.96,13.14,12.51,12.64,58590
2016-03-07,12.73,12.73,11.78,11.82,225210
2016-03-08,11.82,12.01,11.78,11.82,176640
2016-03-09,11.82,12.37,11.82,11.96,285550
2016-03-10,12.23,12.78,12.01,12.78,612720
2016-03-11,12.82,13.41,12.82,13.23,265940
2016-03-14,12.96,13.41,12.96,13.14,147840
2016-03-15,12.96,13.1,12.64,12.69,180300
2016-03-16,12.82,12.82,12.41,12.55,107720
2016-03-17,12.55,12.73,12.37,12.37,129270
2016-03-18,12.37,12.64,12.28,12.28,56100
2016-03-21,12.28,12.91,12.28,12.73,114840
2016-03-22,12.73,13.1,12.6,13.01,137990
2016-03-23,13.05,13.19,12.64,12.78,198150
2016-03-24,12.91,12.91,12.51,12.64,77520
2016-03-25,12.64,12.82,12.41,12.64,37120
2016-03-28,12.6,12.6,12.37,12.37,101050
2016-03-29,12.37,12.51,12.23,12.23,76750
2016-03-30,12.28,12.46,12.28,12.37,12800
2016-03-31,12.37,12.69,12.23,12.23,46050
2016-04-01,12.37,12.51,11.82,11.82,68840
2016-04-04,11.87,12.14,11.41,11.41,155570
2016-04-05,11.87,11.87,11.41,11.41,175270
2016-04-06,11.55,11.78,11.55,11.78,111970
2016-04-07,11.91,12.32,11.91,12.23,302280
2016-04-08,12.23,12.55,11.96,12.55,132700
2016-04-11,12.78,13.41,12.69,13.41,1084230
2016-04-12,13.41,13.96,12.96,12.96,923210
2016-04-13,13.41,13.6,13.14,13.37,402600
2016-04-14,13.37,13.37,12.78,13.01,280500
2016-04-15,13.01,13.23,12.96,12.96,206770
2016-04-19,12.82,13.05,12.14,12.32,529230
2016-04-20,12.28,12.73,12.28,12.69,231160
2016-04-21,12.82,13.28,12.82,12.96,409740
2016-04-22,12.91,13.19,12.78,12.87,448170
2016-04-25,12.73,12.87,12.64,12.73,244160
2016-04-26,12.64,12.87,12.6,12.82,193650
2016-04-27,12.91,12.91,12.6,12.64,160860
2016-04-28,12.69,12.73,12.46,12.46,194710
2016-04-29,12.6,12.6,12.32,12.41,258610
2016-05-04,12.32,12.37,12.23,12.28,258010
2016-05-05,12.28,12.28,12.01,12.1,108910
2016-05-06,12.14,12.28,11.87,11.91,226210
2016-05-09,11.91,12.14,11.73,11.82,241670
2016-05-10,11.91,12.23,11.82,12.14,400800
2016-05-11,12.23,12.23,11.91,12.01,135180
2016-05-12,12.05,12.05,11.91,11.96,154620
2016-05-13,11.96,11.96,11.64,11.64,236900
2016-05-16,11.64,11.78,11.6,11.6,111830
2016-05-17,11.73,11.91,11.73,11.78,187830
2016-05-18,11.91,12.01,11.78,11.82,139490
2016-05-19,11.91,11.96,11.78,11.87,133470
2016-05-20,11.96,12.05,11.78,12.05,115010
2016-05-23,12.29,12.29,12.05,12.05,102980
2016-05-24,12.1,12.19,11.96,11.96,123700
2016-05-25,11.96,12.14,11.81,11.86,97250
2016-05-26,12.0,12.0,11.58,11.62,74070
2016-05-27,11.67,11.67,11.58,11.62,152950
2016-05-30,11.62,11.91,11.58,11.81,155200
2016-05-31,11.81,12.0,11.77,11.81,268810
2016-06-01,11.96,11.96,11.58,11.72,210880
2016-06-02,11.77,11.77,11.53,11.67,220720
2016-06-03,11.67,12.48,11.58,12.43,1153940
2016-06-06,12.19,12.57,12.19,12.24,235650
2016-06-07,12.24,12.29,12.24,12.29,197020
2016-06-08,12.14,12.43,12.14,12.24,479810
2016-06-09,12.29,12.71,12.19,12.52,784320
2016-06-10,12.52,13.04,12.52,12.76,400590
2016-06-13,12.71,12.76,12.43,12.48,481840
2016-06-14,12.43,12.71,12.38,12.62,448370
2016-06-15,12.76,13.0,12.71,12.9,509300
2016-06-16,12.95,12.95,12.76,12.9,190850
2016-06-17,12.9,13.18,12.9,13.14,536860
2016-06-20,13.23,13.61,13.23,13.52,765130
2016-06-21,13.61,13.94,13.61,13.8,733540
2016-06-22,13.8,14.08,13.56,13.99,631620
2016-06-23,14.13,14.6,13.99,14.55,429340
2016-06-24,14.46,14.46,13.56,13.8,1612180
2016-06-27,13.85,13.85,13.37,13.75,187080
2016-06-28,13.75,13.8,13.47,13.66,316370
2016-06-29,13.61,14.22,13.52,14.22,487500
2016-06-30,14.37,14.6,13.89,13.89,335340
2016-07-01,14.27,14.27,13.94,13.99,338280
2016-07-04,14.18,14.41,13.94,14.13,438720
2016-07-05,14.18,14.93,14.18,14.65,681120
2016-07-06,14.65,15.64,14.51,15.64,778550
2016-07-07,16.11,16.68,16.07,16.3,441000
2016-07-08,16.16,16.54,15.93,16.3,695080
2016-07-11,16.35,16.73,15.59,15.88,799800
2016-07-12,15.64,16.07,15.55,15.88,336330
2016-07-13,15.97,16.3,15.83,15.88,202350
2016-07-14,16.07,16.07,14.84,14.84,311000
2016-07-15,14.84,15.12,14.41,14.65,434860
2016-07-18,14.65,15.12,14.65,15.12,104890
2016-07-19,15.12,15.55,14.46,15.03,110800
2016-07-20,15.03,15.07,14.51,14.51,130980
2016-07-21,14.51,14.74,14.18,14.41,156710
2016-07-22,14.27,14.65,13.94,14.65,363420
2016-07-25,14.65,14.79,14.46,14.51,21630
2016-07-26,14.6,15.03,14.32,14.84,129670
2016-07-27,14.84,14.89,14.7,14.84,152930
2016-07-28,14.84,14.89,14.65,14.79,59950
2016-07-29,14.7,14.79,14.51,14.6,153300
2016-08-01,14.6,14.6,14.37,14.37,107690
2016-08-02,14.13,14.13,13.61,13.61,639060
2016-08-03,13.52,13.89,13.52,13.8,161150
2016-08-04,13.8,14.22,13.8,14.08,139050
2016-08-05,13.7,14.03,13.7,13.99,52040
2016-08-08,13.99,14.65,13.99,14.32,96540
2016-08-09,14.32,14.37,14.18,14.32,92170
2016-08-10,14.32,14.55,14.18,14.46,108110
2016-08-11,14.6,14.6,14.41,14.51,147350
2016-08-12,14.6,14.79,14.46,14.46,204160
2016-08-15,14.18,14.65,14.18,14.6,70540
2016-08-16,14.6,15.22,14.46,15.22,342380
2016-08-17,15.12,16.11,15.12,15.93,640110
2016-08-18,15.93,16.21,15.74,15.93,363030
2016-08-19,15.74,16.11,15.64,15.97,496860
2016-08-22,16.07,16.07,15.78,15.78,200910
2016-08-23,15.69,15.88,15.69,15.83,271040
2016-08-24,15.83,15.97,15.64,15.64,254050
2016-08-25,15.59,15.59,15.12,15.41,307140
2016-08-26,15.31,15.55,15.17,15.41,112220
2016-08-29,15.59,15.59,15.07,15.07,129630
2016-08-30,15.03,15.12,14.89,15.12,123870
2016-08-31,15.26,15.36,15.07,15.26,136210
2016-09-01,15.36,15.36,15.03,15.03,109680
2016-09-05,15.03,15.59,14.93,15.59,217170
2016-09-06,15.59,15.59,15.31,15.41,128700
2016-09-07,15.41,15.5,15.07,15.36,249440
2016-09-08,15.41,16.4,15.41,16.35,630480
2016-09-09,16.35,16.92,16.26,16.35,653320
2016-09-12,16.3,16.44,15.97,16.07,182810
2016-09-13,16.07,16.16,15.93,16.02,221450
2016-09-14,15.9,16.4,15.9,16.07,118470
2016-09-15,16.16,16.16,15.97,16.07,85220
2016-09-16,16.07,16.73,16.07,16.3,167780
2016-09-19,16.52,16.7,16.44,16.54,416230
2016-09-20,16.59,17.2,16.49,16.99,634740
2016-09-21,17.25,17.25,17.01,17.15,294370
2016-09-22,17.25,17.3,16.87,16.87,311660
2016-09-23,16.78,17.15,16.78,16.92,261910
2016-09-26,16.92,17.18,16.73,17.18,265080
2016-09-27,17.37,17.44,17.25,17.39,180010
2016-09-28,17.44,17.77,17.39,17.77,417450
2016-09-29,17.82,17.86,17.11,17.25,783000
2016-09-30,17.15,17.32,16.96,17.08,304840
2016-10-03,17.2,17.48,17.08,17.48,294680
2016-10-04,17.48,17.6,17.11,17.11,250210
2016-10-05,17.2,17.34,17.08,17.25,220140
2016-10-06,17.34,17.58,17.25,17.34,275190
2016-10-07,17.44,17.44,17.15,17.25,160890
2016-10-10,17.25,17.3,16.73,16.73,251100
2016-10-11,16.73,16.92,16.26,16.87,227010
2016-10-12,16.87,17.01,16.78,16.87,49340
2016-10-13,16.78,16.78,16.44,16.54,243380
2016-10-14,16.54,17.25,16.54,17.25,132520
2016-10-17,17.2,17.2,16.96,17.01,120940
2016-10-18,17.01,17.01,16.82,16.87,101110
2016-10-19,17.11,17.15,16.82,17.01,151340
2016-10-20,17.01,17.01,16.3,16.4,210140
2016-10-21,16.11,16.54,16.11,16.49,145970
2016-10-24,16.49,16.54,16.16,16.44,104690
2016-10-25,16.44,16.44,15.69,16.3,196870
2016-10-26,16.3,16.35,16.26,16.3,223660
2016-10-27,15.69,16.3,15.69,16.07,135430
2016-10-28,16.26,17.18,16.26,16.63,364970
2016-10-31,16.7,16.7,16.54,16.54,11540
2016-11-01,16.44,16.78,16.16,16.63,58230
2016-11-02,16.4,16.59,16.4,16.52,53850
2016-11-03,16.35,16.54,16.07,16.54,64340
2016-11-04,16.54,16.54,16.4,16.44,86320
2016-11-07,16.16,16.44,16.16,16.4,23840
2016-11-08,16.73,16.78,16.11,16.18,73350
2016-11-09,16.18,16.18,15.74,15.83,178650
2016-11-10,15.83,16.35,15.83,16.11,66640
2016-11-11,16.11,16.11,15.93,16.07,61360
2016-11-14,16.21,16.52,16.07,16.4,163170
2016-11-15,16.54,16.54,16.3,16.35,87300
2016-11-16,16.16,16.52,16.16,16.35,91760
2016-11-17,16.11,16.44,16.07,16.11,87830
2016-11-18,16.35,16.35,16.07,16.26,91230
2016-11-21,16.47,16.47,16.21,16.21,103100
2016-11-22,16.3,16.3,15.97,16.16,45760
2016-11-23,16.07,16.3,15.83,16.02,39010
2016-11-24,16.16,16.16,15.83,15.88,66040
2016-11-25,16.16,16.16,15.83,15.97,14220
2016-11-28,15.97,15.97,14.93,15.74,61370
2016-11-29,15.45,15.64,15.12,15.41,62970
2016-11-30,15.55,15.55,14.98,15.41,40370
2016-12-01,15.36,15.59,15.17,15.59,81440
2016-12-02,15.19,15.5,15.17,15.45,3310
2016-12-05,15.22,15.67,15.22,15.45,95850
2016-12-06,15.22,15.41,14.89,14.89,19370
2016-12-07,14.65,15.07,14.55,15.07,182130
2016-12-08,15.07,15.48,14.74,14.74,18460
2016-12-09,15.26,15.36,14.79,14.98,34220
2016-12-12,14.89,15.07,14.65,14.98,105020
2016-12-13,14.98,15.07,14.93,14.98,58140
2016-12-14,15.07,15.07,14.77,15.03,10500
2016-12-15,15.03,15.12,14.89,15.12,13270
2016-12-16,14.84,15.12,14.74,15.12,12870
2016-12-19,15.12,15.12,14.89,14.93,12310
2016-12-20,14.89,15.07,14.84,14.89,35070
2016-12-21,15.03,15.03,14.79,14.89,29830
2016-12-22,14.65,14.93,14.65,14.7,10780
2016-12-23,14.93,14.93,14.55,14.65,10870
2016-12-26,14.79,14.79,14.41,14.51,14840
2016-12-27,14.65,14.79,14.37,14.65,83390
2016-12-28,14.98,14.98,14.41,14.6,51430
2016-12-29,14.65,15.12,14.55,15.12,154490
2016-12-30,15.12,15.69,14.89,15.69,292990
2017-01-03,15.69,15.69,15.26,15.45,22390
2017-01-04,15.5,15.5,15.12,15.33,32160
2017-01-05,15.12,15.33,15.03,15.12,9200
2017-01-06,15.12,15.36,14.98,15.36,36460
2017-01-09,15.36,16.07,15.17,15.36,28200
2017-01-10,15.45,15.45,15.22,15.31,5410
2017-01-11,15.17,15.59,15.12,15.41,72080
2017-01-12,15.55,15.55,15.31,15.36,6720
2017-01-13,15.17,15.22,15.07,15.22,28070
2017-01-16,15.22,15.22,15.07,15.22,12630
2017-01-17,14.93,15.07,14.65,15.07,17100
2017-01-18,15.03,15.12,14.6,15.07,24700
2017-01-19,15.07,15.07,14.7,15.0,17280
2017-01-20,15.1,15.1,14.7,14.98,9260
2017-01-23,14.89,14.89,14.46,14.46,79820
2017-01-24,13.99,14.93,13.99,14.93,46130
2017-01-25,14.93,14.93,14.93,14.93,8000
2017-02-02,14.93,14.93,14.65,14.74,47700
2017-02-03,14.74,15.22,14.65,15.07,191240
2017-02-06,15.17,15.17,14.89,15.1,123290
2017-02-07,15.1,15.1,14.79,15.05,14400
2017-02-08,15.1,15.1,14.65,14.96,22890
2017-02-09,14.86,14.93,14.6,14.86,64870
2017-02-10,14.86,15.22,14.65,15.07,299150
2017-02-13,15.07,15.07,14.98,15.0,14300
2017-02-14,14.84,15.36,14.84,15.12,303370
2017-02-15,15.26,15.31,15.05,15.12,25860
2017-02-16,15.12,15.12,14.93,14.93,73110
2017-02-17,14.91,15.07,14.7,15.07,16060
2017-02-20,15.1,15.12,14.98,14.98,38570
2017-02-21,14.98,14.98,14.7,14.84,76840
2017-02-22,14.72,14.89,14.65,14.89,66010
2017-02-23,14.74,14.89,14.67,14.86,56140
