time,open,high,low,close,volume
2025-05-13,85.5,85.5,85.5,85.5,4800
2025-05-14,91.4,91.4,91.4,91.4,2100100
2025-05-15,97.7,97.7,97.7,97.7,1815600
2025-05-16,104.5,104.5,93.3,101.0,1163300
2025-05-19,100.0,101.0,96.4,98.2,381300
2025-05-20,95.1,102.0,95.1,99.5,617200
2025-05-21,99.7,101.3,95.7,98.0,396300
2025-05-22,96.5,96.5,92.0,92.0,597200
2025-05-23,90.5,92.6,90.3,90.3,196400
2025-05-26,90.3,90.6,84.0,90.0,401600
2025-05-27,89.8,89.8,87.2,87.2,208100
2025-05-28,86.6,90.5,86.5,88.0,283300
2025-05-29,88.0,90.0,87.6,88.5,175500
2025-05-30,88.4,89.2,88.0,89.0,216300
2025-06-02,89.0,89.0,87.0,87.5,126000
2025-06-03,87.5,88.1,87.0,87.5,166300
2025-06-04,88.0,88.0,87.1,88.0,97700
2025-06-05,88.0,88.6,87.5,88.2,105700
2025-06-06,88.2,88.3,87.5,88.2,104600
2025-06-09,87.6,88.4,87.5,88.2,134600
2025-06-10,88.4,88.4,87.4,88.2,99300
2025-06-11,88.2,88.2,88.0,88.2,61200
2025-06-12,86.0,88.2,86.0,88.2,101700
2025-06-13,87.0,88.2,87.0,88.2,177800
2025-06-16,88.1,94.3,87.8,94.0,287600
2025-06-17,94.1,96.0,93.9,95.4,125700
2025-06-18,95.9,95.9,94.2,94.3,92300
2025-06-19,90.0,95.3,90.0,94.2,47500
2025-06-20,93.1,94.2,93.1,93.5,73900
2025-06-23,93.3,94.5,91.3,94.5,34700
2025-06-24,94.5,95.0,93.4,94.6,46300
2025-06-25,94.1,94.9,94.0,94.6,23300
2025-06-26,94.0,94.6,93.7,94.6,36900
