time,open,high,low,close,volume
2013-04-02,1.0,1.0,1.0,1.0,140
2013-04-03,1.0,1.0,1.0,1.0,0
2013-04-04,0.9,0.9,0.9,0.9,3500
2013-04-05,0.9,0.9,0.9,0.9,4210
2013-04-08,0.8,0.8,0.8,0.8,10
2013-04-09,0.9,0.9,0.9,0.9,9080
2013-04-10,0.8,0.8,0.8,0.8,2220
2013-04-11,0.9,0.9,0.9,0.9,20
2013-04-12,0.8,0.8,0.8,0.8,3850
2013-04-15,0.7,0.7,0.7,0.7,5000
2013-04-16,0.8,0.8,0.8,0.8,10
2013-04-17,0.8,0.8,0.8,0.8,600
2013-04-18,0.9,0.9,0.9,0.9,600
2013-04-22,0.9,0.9,0.9,0.9,30020
2013-04-23,0.8,0.8,0.8,0.8,30
2013-04-24,0.8,0.8,0.8,0.8,3750
2013-04-25,0.8,0.8,0.8,0.8,1000
2013-04-26,0.7,0.7,0.7,0.7,1210
2013-05-02,0.8,0.8,0.8,0.8,11000
2013-06-19,0.8,,,,0
2013-06-20,0.8,0.0,0.0,0.0,0
2013-06-21,0.8,0.0,0.0,0.0,0
2013-06-24,0.8,0.0,0.0,0.0,0
2013-06-25,0.8,0.0,0.0,0.0,0
2013-06-26,0.8,0.8,0.8,0.8,0
2013-06-27,0.8,0.8,0.8,0.8,0
2013-06-28,0.8,0.8,0.8,0.8,0
2013-07-01,0.8,0.8,0.8,0.8,0
2013-07-02,0.8,0.8,0.8,0.8,0
2013-07-03,0.8,0.8,0.8,0.8,0
2013-07-04,0.8,0.8,0.8,0.8,0
2013-07-05,0.8,0.8,0.8,0.8,0
2013-07-08,0.8,0.8,0.8,0.8,0
2013-07-09,0.8,0.8,0.8,0.8,0
2013-07-10,0.8,0.8,0.8,0.8,0
2013-07-11,0.8,0.8,0.8,0.8,0
2013-07-12,0.8,0.8,0.8,0.8,0
2013-07-15,0.8,0.8,0.8,0.8,0
2013-07-16,0.8,0.8,0.8,0.8,0
2013-07-17,0.8,0.8,0.8,0.8,0
2013-07-18,0.8,0.8,0.8,0.8,0
2013-07-19,0.8,0.8,0.8,0.8,0
2013-07-22,0.8,0.8,0.8,0.8,0
2013-07-23,0.8,0.8,0.8,0.8,0
2013-07-24,0.8,0.8,0.8,0.8,0
2013-07-25,0.8,0.8,0.8,0.8,0
2013-07-26,0.8,0.8,0.8,0.8,0
2013-07-29,0.8,0.8,0.8,0.8,0
2013-07-30,0.8,0.8,0.8,0.8,0
2013-07-31,0.8,0.8,0.8,0.8,0
2013-08-01,0.8,0.8,0.8,0.8,0
2013-08-02,0.8,0.8,0.8,0.8,600
2013-08-05,0.8,0.8,0.8,0.8,0
2013-08-06,0.8,0.8,0.8,0.8,0
2013-08-07,0.8,0.8,0.8,0.8,0
2013-08-08,0.8,0.8,0.8,0.8,0
2013-08-09,0.9,0.9,0.9,0.9,2000
2013-08-12,0.9,0.9,0.9,0.9,0
2013-08-13,0.9,0.9,0.9,0.9,0
2013-08-14,0.9,0.9,0.9,0.9,0
2013-08-15,0.9,0.9,0.9,0.9,0
2013-08-16,0.9,0.9,0.9,0.9,0
2013-08-19,0.9,0.9,0.9,0.9,0
2013-08-20,0.9,0.9,0.9,0.9,0
2013-08-21,0.9,0.9,0.9,0.9,0
2013-08-22,0.9,0.9,0.9,0.9,0
2013-08-23,0.9,0.9,0.9,0.9,0
2013-08-26,0.9,0.9,0.9,0.9,0
2013-08-27,1.0,1.0,1.0,1.0,100
2013-08-28,1.1,1.1,1.0,1.0,2500
2013-08-29,1.0,1.0,1.0,1.0,0
2013-08-30,1.0,1.0,1.0,1.0,0
2013-09-03,1.0,1.0,1.0,1.0,60
2013-09-04,1.0,1.0,1.0,1.0,100
2013-09-05,1.0,1.0,1.0,1.0,100
2013-09-06,1.0,1.0,1.0,1.0,0
2013-09-09,0.9,0.9,0.9,0.9,1200
2013-09-10,0.9,0.9,0.9,0.9,0
2013-09-11,0.9,0.9,0.9,0.9,0
2013-09-12,0.9,0.9,0.9,0.9,0
2013-09-13,0.8,0.8,0.8,0.8,100
2013-09-16,0.8,0.8,0.8,0.8,0
2013-09-17,0.8,0.8,0.8,0.8,0
2013-09-18,0.7,0.7,0.7,0.7,500
2013-09-19,0.6,0.6,0.6,0.6,200
2013-09-20,0.5,0.5,0.5,0.5,2800
2013-09-23,0.5,0.5,0.5,0.5,0
2013-09-24,0.5,0.5,0.5,0.5,0
2013-09-25,0.5,0.5,0.5,0.5,0
2013-09-26,0.6,0.6,0.6,0.6,2000
2013-09-27,0.6,0.6,0.6,0.6,400
2013-09-30,0.6,0.6,0.6,0.6,1000
2013-10-01,0.6,0.6,0.6,0.6,5300
2013-10-02,0.6,0.6,0.6,0.6,0
2013-10-03,0.5,0.5,0.5,0.5,1300
2013-10-04,0.5,0.5,0.5,0.5,200
2013-10-07,0.4,0.4,0.4,0.4,3400
2013-10-08,0.3,0.4,0.3,0.4,3200
2013-10-09,0.4,0.4,0.3,0.4,7303
2013-10-10,0.4,0.4,0.4,0.4,1500
2013-10-11,0.4,0.4,0.4,0.4,3500
2013-10-14,0.3,0.4,0.3,0.4,1300
2013-10-15,0.4,0.4,0.3,0.3,2000
2013-10-16,0.3,0.4,0.3,0.4,16000
2013-10-17,0.4,0.5,0.4,0.5,17810
2013-10-18,0.5,0.5,0.5,0.5,930
2013-10-21,0.5,0.6,0.4,0.4,8000
2013-10-22,0.6,0.6,0.6,0.6,6510
2013-10-23,0.7,0.7,0.6,0.6,3700
2013-10-24,0.6,0.7,0.5,0.5,2800
2013-10-25,0.6,0.6,0.6,0.6,3400
2013-10-28,0.5,0.5,0.5,0.5,800
2013-10-29,0.5,0.5,0.4,0.4,15000
2013-10-30,0.4,0.5,0.4,0.5,1700
2013-10-31,0.5,0.5,0.5,0.5,1900
2013-11-01,0.6,0.6,0.5,0.6,800
2013-11-04,0.6,0.7,0.6,0.7,11700
2013-11-05,0.6,0.7,0.6,0.6,3400
2013-11-06,0.6,0.7,0.6,0.7,9450
2013-11-07,0.6,0.6,0.6,0.6,100
2013-11-08,0.6,0.6,0.6,0.6,6000
2013-11-11,0.6,0.6,0.6,0.6,500
2013-11-12,0.6,0.6,0.6,0.6,0
2013-11-13,0.7,0.7,0.6,0.6,4900
2013-11-14,0.7,0.7,0.7,0.7,400
2013-11-15,0.7,0.8,0.6,0.7,31200
2013-11-18,0.6,0.7,0.6,0.7,1000
2013-11-19,0.6,0.7,0.6,0.7,4000
2013-11-20,0.8,0.8,0.7,0.8,2600
2013-11-21,0.8,0.8,0.8,0.8,25400
2013-11-22,0.8,0.9,0.8,0.8,5600
2013-11-25,0.9,0.9,0.9,0.9,20400
2013-11-26,1.0,1.0,0.9,1.0,41600
2013-11-27,1.1,1.1,1.0,1.1,26920
2013-11-28,1.2,1.2,1.2,1.2,25800
2013-11-29,1.3,1.3,1.3,1.3,33400
2013-12-02,1.4,1.4,1.4,1.4,11900
2013-12-03,1.5,1.5,1.5,1.5,36100
2013-12-04,1.6,1.6,1.6,1.6,39000
2013-12-05,1.6,1.7,1.6,1.7,10110
2013-12-06,1.5,1.5,1.5,1.5,2000
2013-12-09,1.4,1.5,1.4,1.4,1200
2013-12-10,1.3,1.3,1.3,1.3,600
2013-12-11,1.2,1.2,1.2,1.2,1800
2013-12-12,1.1,1.1,1.1,1.1,2000
2013-12-13,1.2,1.2,1.2,1.2,1600
2013-12-16,1.2,1.2,1.1,1.1,5100
2013-12-17,1.2,1.2,1.1,1.1,300
2013-12-18,1.1,1.2,1.1,1.2,3410
2013-12-19,1.2,1.2,1.2,1.2,27800
2013-12-20,1.3,1.3,1.3,1.3,14701
2013-12-23,1.4,1.4,1.4,1.4,1300
2013-12-24,1.5,1.5,1.5,1.5,15900
2013-12-25,1.6,1.6,1.6,1.6,5200
2013-12-26,1.7,1.7,1.5,1.5,3100
2013-12-27,1.4,1.4,1.4,1.4,14300
2013-12-30,1.3,1.3,1.3,1.3,7300
2013-12-31,1.2,1.3,1.2,1.2,31900
2014-01-02,1.3,1.3,1.2,1.2,64000
2014-01-03,1.2,1.3,1.1,1.1,46800
2014-01-06,1.1,1.3,1.1,1.3,23800
2014-01-07,1.3,1.3,1.3,1.3,27600
2014-01-08,1.4,1.4,1.4,1.4,56700
2014-01-09,1.5,1.5,1.4,1.5,141420
2014-01-10,1.6,1.6,1.6,1.6,105320
2014-01-13,1.7,1.7,1.7,1.7,69300
2014-01-14,1.8,1.8,1.8,1.8,29170
2014-01-15,1.9,1.9,1.9,1.9,82100
2014-01-16,2.0,2.0,2.0,2.0,39510
2014-01-17,2.2,2.2,2.2,2.2,20010
2014-01-20,2.4,2.4,2.0,2.0,67150
2014-01-21,2.1,2.1,2.1,2.1,1900
2014-01-22,1.9,1.9,1.9,1.9,10600
2014-01-23,1.8,2.0,1.8,2.0,68930
2014-01-24,1.8,1.9,1.7,1.8,40640
2014-01-27,1.9,1.9,1.8,1.9,31000
2014-02-06,1.9,2.0,1.9,2.0,14810
2014-02-07,1.9,1.9,1.8,1.9,19110
2014-02-10,1.9,2.0,1.8,2.0,12420
2014-02-11,1.9,1.9,1.7,1.8,16520
2014-02-12,1.7,1.8,1.6,1.8,58610
2014-02-13,1.7,1.7,1.5,1.6,93520
2014-02-14,1.6,1.6,1.5,1.6,28020
2014-02-17,1.5,1.6,1.4,1.4,133100
2014-02-18,1.6,1.6,1.6,1.6,25000
2014-02-19,1.6,1.6,1.5,1.6,28500
2014-02-20,1.6,1.6,1.5,1.5,64100
2014-02-21,1.5,1.5,1.4,1.5,52920
2014-02-24,1.6,1.6,1.5,1.6,91700
2014-02-25,1.6,1.6,1.5,1.5,11900
2014-02-26,1.6,1.6,1.5,1.5,13420
2014-02-27,1.5,1.6,1.5,1.5,66490
2014-02-28,1.6,1.6,1.5,1.5,125200
2014-03-03,1.5,1.6,1.5,1.5,190700
2014-03-04,1.5,1.6,1.5,1.6,24210
2014-03-05,1.6,1.6,1.6,1.6,8500
2014-03-06,1.6,1.6,1.5,1.5,24100
2014-03-07,1.5,1.6,1.4,1.6,4110
2014-03-10,1.5,1.5,1.5,1.5,14530
2014-03-11,1.5,1.6,1.5,1.6,47500
2014-03-12,1.5,1.6,1.5,1.5,2300
2014-03-13,1.6,1.6,1.4,1.4,74700
2014-03-14,1.5,1.5,1.4,1.5,23100
2014-03-17,1.6,1.6,1.5,1.6,121430
2014-03-18,1.6,1.7,1.6,1.7,166810
2014-03-19,1.6,1.7,1.6,1.7,32600
2014-03-20,1.6,1.7,1.6,1.7,139730
2014-03-21,1.8,1.8,1.8,1.8,74200
2014-03-24,1.9,1.9,1.9,1.9,28089
2014-03-25,2.0,2.0,2.0,2.0,36600
2014-03-26,2.2,2.2,2.2,2.2,47600
2014-03-27,2.4,2.4,2.0,2.4,428200
2014-03-28,2.4,2.4,2.4,2.4,168040
2014-03-31,2.6,2.6,2.6,2.6,6300
2014-04-01,2.8,2.8,2.4,2.4,41910
2014-04-02,2.3,2.3,2.3,2.3,20100
2014-04-03,2.1,2.4,2.1,2.4,220200
2014-04-04,2.5,2.5,2.2,2.3,12250
2014-04-07,2.3,2.4,2.1,2.1,37500
2014-04-08,2.2,2.2,2.2,2.2,8100
2014-04-10,2.4,2.4,2.1,2.2,4200
2014-04-11,2.1,2.1,2.0,2.0,48220
2014-04-14,2.1,2.1,1.8,2.0,99010
2014-04-15,1.9,1.9,1.7,1.9,62200
2014-04-16,1.8,1.9,1.8,1.9,30500
2014-04-17,1.9,1.9,1.8,1.9,60200
2014-04-18,1.8,1.8,1.8,1.8,20200
2014-04-21,1.7,1.9,1.7,1.8,14340
2014-04-22,1.7,1.8,1.6,1.75,27000
2014-04-23,1.8,1.8,1.7,1.7,3800
2014-04-24,1.7,1.8,1.6,1.6,10810
2014-04-25,1.5,1.7,1.5,1.7,37100
2014-04-28,1.8,1.8,1.7,1.7,11200
2014-04-29,1.7,1.7,1.7,1.7,16106
