time,open,high,low,close,volume
2015-06-26,8.35,8.41,8.29,8.29,181350
2015-06-29,8.29,8.41,8.23,8.35,218720
2015-06-30,8.29,8.35,8.23,8.23,236860
2015-07-01,8.29,8.29,8.17,8.23,150640
2015-07-02,8.23,8.29,8.23,8.29,228690
2015-07-03,8.35,8.48,8.35,8.48,187810
2015-07-06,8.35,8.48,8.35,8.48,257800
2015-07-07,8.41,8.54,8.35,8.48,186890
2015-07-08,8.48,8.54,8.41,8.41,277410
2015-07-09,8.35,8.48,8.29,8.48,357360
2015-07-10,8.48,8.54,8.35,8.35,82410
2015-07-13,8.35,8.41,8.35,8.35,60560
2015-07-14,8.35,8.41,8.35,8.41,145570
2015-07-15,8.41,8.48,8.35,8.41,587500
2015-07-16,8.35,8.48,8.29,8.48,157460
2015-07-17,8.48,8.48,8.35,8.41,212510
2015-07-20,8.35,8.48,8.29,8.48,188950
2015-07-21,8.41,8.48,8.41,8.48,313870
2015-07-22,8.35,8.48,8.35,8.48,301820
2015-07-23,8.41,8.54,8.41,8.48,601170
2015-07-24,8.41,8.6,8.41,8.54,340340
2015-07-27,8.54,8.6,8.48,8.54,372320
2015-07-28,8.54,8.6,8.48,8.54,369140
2015-07-29,8.54,8.6,8.48,8.54,776390
2015-07-30,8.54,9.03,8.54,8.78,1181030
2015-07-31,8.91,8.91,8.72,8.72,459520
2015-08-03,8.66,8.66,8.48,8.66,316980
2015-08-04,8.6,8.66,8.54,8.6,364250
2015-08-05,8.6,8.78,8.6,8.78,332720
2015-08-06,8.66,8.78,8.66,8.78,293740
2015-08-07,8.72,8.78,8.66,8.72,161300
2015-08-10,8.66,8.78,8.66,8.72,322090
2015-08-11,8.66,8.78,8.66,8.78,238270
2015-08-12,8.66,8.72,8.54,8.66,181380
2015-08-13,8.54,8.66,8.48,8.6,96550
2015-08-14,8.6,8.66,8.54,8.6,87600
2015-08-17,8.6,8.66,8.54,8.6,121730
2015-08-18,8.66,8.66,8.54,8.66,121530
2015-08-19,8.6,8.6,8.48,8.6,203630
2015-08-20,8.72,8.78,8.6,8.66,336160
2015-08-21,8.66,8.66,8.41,8.66,320530
2015-08-24,8.48,8.54,8.11,8.48,544330
2015-08-25,8.29,8.48,8.23,8.35,229190
2015-08-26,8.29,8.6,8.29,8.54,378540
2015-08-27,8.48,8.66,8.48,8.54,337070
2015-08-28,8.6,8.6,8.48,8.6,153930
2015-08-31,8.6,8.66,8.54,8.6,182940
2015-09-01,8.66,8.72,8.6,8.66,217910
2015-09-03,8.6,8.66,8.54,8.54,105620
2015-09-04,8.54,8.66,8.54,8.66,66250
2015-09-07,8.66,8.72,8.66,8.66,157340
2015-09-08,8.66,8.84,8.66,8.72,376700
2015-09-09,8.6,8.78,8.6,8.78,118000
2015-09-10,8.66,8.78,8.66,8.78,17340
2015-09-11,8.78,8.78,8.66,8.78,56040
2015-09-14,8.78,8.78,8.66,8.78,14930
2015-09-15,8.78,8.78,8.66,8.78,59130
2015-09-16,8.78,8.78,8.66,8.78,76590
2015-09-17,8.78,8.84,8.78,8.84,242170
2015-09-18,8.78,8.84,8.72,8.84,16280
2015-09-21,8.84,8.84,8.66,8.84,139190
2015-09-22,8.72,8.84,8.72,8.84,122570
2015-09-23,8.66,8.84,8.66,8.84,226200
2015-09-24,8.72,8.78,8.72,8.78,66510
2015-09-25,8.78,8.84,8.72,8.84,189210
2015-09-28,8.72,8.84,8.72,8.84,69290
2015-09-29,8.84,8.84,8.66,8.66,36900
2015-09-30,8.78,8.78,8.66,8.66,65900
2015-10-01,8.78,8.78,8.72,8.72,18510
2015-10-02,8.72,8.78,8.72,8.78,94750
2015-10-05,8.84,9.09,8.84,9.09,338360
2015-10-06,9.15,9.4,9.09,9.27,747300
2015-10-07,9.34,9.34,9.21,9.21,465490
2015-10-08,9.21,9.34,9.09,9.27,596490
2015-10-09,9.34,9.34,9.15,9.15,204960
2015-10-12,9.09,9.34,9.09,9.21,282730
2015-10-13,9.15,9.34,9.15,9.34,216560
2015-10-14,9.27,9.27,9.21,9.27,114010
2015-10-15,9.27,9.34,9.21,9.27,132200
2015-10-16,9.34,9.34,9.21,9.27,201570
2015-10-19,9.21,9.34,9.21,9.21,123470
