time,open,high,low,close,volume
2013-05-22,2.5,2.5,2.4,2.5,4980
2013-05-23,2.5,2.6,2.5,2.5,4500
2013-05-24,2.5,2.6,2.4,2.5,41240
2013-05-27,2.6,2.6,2.5,2.6,72700
2013-05-28,2.6,2.7,2.6,2.7,141800
2013-05-29,2.7,2.8,2.7,2.8,469690
2013-05-30,2.9,2.9,2.8,2.9,279810
2013-05-31,3.0,3.0,2.8,2.9,206570
2013-06-03,2.9,2.9,2.8,2.9,102520
2013-06-04,2.8,2.8,2.7,2.7,61000
2013-06-05,2.8,2.8,2.8,2.8,9620
2013-06-06,2.7,2.9,2.7,2.9,79590
2013-06-07,2.7,2.9,2.7,2.9,19170
2013-06-10,2.8,2.9,2.7,2.8,37780
2013-06-11,2.8,2.8,2.8,2.8,38100
2013-06-12,2.7,2.9,2.7,2.9,46020
2013-06-13,2.8,2.9,2.7,2.9,41220
2013-06-14,2.8,2.9,2.8,2.9,11740
2013-06-17,2.8,2.8,2.7,2.7,39570
2013-06-18,2.6,2.7,2.6,2.7,5790
2013-06-19,2.7,2.7,2.6,2.7,6420
2013-06-20,2.6,2.7,2.6,2.7,34420
2013-06-21,2.6,2.7,2.6,2.7,7370
2013-06-24,2.6,2.7,2.6,2.7,30
2013-06-25,2.6,2.7,2.6,2.6,22820
2013-06-26,2.5,2.6,2.5,2.6,21530
2013-06-27,2.5,2.7,2.5,2.7,5020
2013-06-28,2.6,2.7,2.6,2.7,46390
2013-07-01,2.6,2.7,2.6,2.7,3060
2013-07-02,2.7,2.7,2.6,2.7,560
2013-07-03,2.6,2.7,2.6,2.7,23960
2013-07-04,2.6,2.6,2.6,2.6,43990
2013-07-05,2.6,2.6,2.6,2.6,600
2013-07-08,2.5,2.6,2.5,2.6,23110
2013-07-09,2.5,2.5,2.5,2.5,24990
2013-07-10,2.5,2.6,2.4,2.6,3870
2013-07-11,2.5,2.6,2.5,2.6,5010
2013-07-12,2.5,2.7,2.5,2.7,24940
2013-07-15,2.6,2.6,2.6,2.6,30600
2013-07-16,2.5,2.5,2.5,2.5,3470
2013-07-17,2.4,2.5,2.4,2.5,80710
2013-07-18,2.5,2.5,2.4,2.4,32920
2013-07-19,2.3,2.4,2.3,2.3,2580
2013-07-22,2.3,2.3,2.2,2.3,14320
2013-07-23,2.2,2.2,2.2,2.2,11010
2013-07-24,2.2,2.2,2.1,2.2,23060
2013-07-25,2.1,2.2,2.1,2.2,5220
2013-07-26,2.2,2.2,2.2,2.2,10330
2013-07-29,2.1,2.2,2.1,2.1,21570
2013-07-30,2.1,2.2,2.1,2.2,100540
2013-07-31,2.1,2.2,2.1,2.2,103370
2013-08-01,2.2,2.2,2.2,2.2,500
2013-08-02,2.2,2.2,2.1,2.1,19050
2013-08-05,2.0,2.2,2.0,2.2,5920
2013-08-06,2.2,2.2,2.2,2.2,2000
2013-08-07,2.2,2.2,2.2,2.2,2560
2013-08-08,2.1,2.1,2.1,2.1,7430
2013-08-09,2.1,2.1,2.0,2.1,226850
2013-08-12,2.1,2.1,2.1,2.1,700
2013-08-13,2.1,2.2,2.1,2.2,150
2013-08-14,2.1,2.2,2.1,2.2,14410
2013-08-15,2.1,2.2,2.1,2.2,11110
2013-08-16,2.2,2.2,2.1,2.1,21350
2013-08-19,2.1,2.1,2.1,2.1,4450
2013-08-20,2.1,2.1,2.0,2.1,6980
2013-08-21,2.1,2.1,2.1,2.1,27550
2013-08-22,2.1,2.1,2.0,2.1,11060
2013-08-23,2.1,2.2,2.0,2.2,19950
2013-08-26,2.2,2.2,2.1,2.1,30
2013-08-27,2.1,2.2,2.1,2.2,6130
2013-08-28,2.1,2.1,2.1,2.1,4020
2013-08-29,2.1,2.1,2.0,2.0,12680
2013-08-30,2.1,2.1,1.9,2.1,2370
2013-09-03,2.0,2.1,2.0,2.0,7590
2013-09-04,2.0,2.0,2.0,2.0,4080
2013-09-05,2.0,2.1,1.9,2.1,5160
2013-09-06,2.0,2.0,2.0,2.0,2000
2013-09-09,1.9,2.0,1.9,2.0,8340
2013-09-10,2.0,2.0,1.9,2.0,22290
2013-09-11,2.0,2.1,2.0,2.1,5010
2013-09-12,2.0,2.0,2.0,2.0,1910
2013-09-13,2.0,2.1,2.0,2.0,26070
2013-09-16,2.0,2.1,2.0,2.0,3520
2013-09-17,2.1,2.1,2.0,2.1,10440
2013-09-18,2.0,2.0,2.0,2.0,3820
2013-09-19,2.0,2.0,1.9,2.0,20990
2013-09-20,1.9,1.9,1.9,1.9,4480
2013-09-23,1.8,2.0,1.8,1.9,27700
2013-09-24,1.9,2.0,1.9,2.0,7280
2013-09-25,2.0,2.0,1.9,2.0,34000
2013-09-26,1.9,2.0,1.9,2.0,19050
2013-09-27,2.0,2.1,2.0,2.1,35080
2013-09-30,2.0,2.1,2.0,2.1,1980
2013-10-01,2.1,2.1,2.0,2.0,28270
2013-10-02,2.0,2.0,2.0,2.0,8000
2013-10-03,2.0,2.1,2.0,2.1,89280
2013-10-04,2.2,2.2,2.1,2.2,97420
2013-10-07,2.2,2.3,2.1,2.3,60570
2013-10-08,2.3,2.4,2.2,2.4,108580
2013-10-09,2.4,2.4,2.3,2.4,83300
2013-10-10,2.4,2.5,2.4,2.5,31800
