time,open,high,low,close,volume
2014-07-10,3.71,3.9,3.67,3.9,3020
2014-07-11,3.86,4.04,3.75,3.97,1010
2014-07-14,4.04,4.04,3.97,3.97,180
2014-07-15,3.86,3.97,3.82,3.97,3490
2014-07-16,3.97,4.01,3.97,4.01,2750
2014-07-17,3.78,4.01,3.78,3.97,3240
2014-07-18,3.97,3.97,3.97,3.97,220
2014-07-21,4.04,4.08,3.97,3.97,510
2014-07-22,3.82,3.93,3.82,3.93,90
2014-07-23,3.93,3.93,3.93,3.93,60
2014-07-24,3.93,3.93,3.78,3.93,930
2014-07-25,3.82,3.93,3.82,3.93,280
2014-07-28,3.93,4.19,3.82,3.82,1630
2014-07-29,3.75,3.9,3.75,3.78,3090
2014-07-30,3.9,3.97,3.75,3.93,3180
2014-07-31,3.93,3.93,3.93,3.93,850
2014-08-01,3.93,4.04,3.78,4.01,1970
2014-08-04,3.9,3.9,3.9,3.9,230
2014-08-05,3.9,3.9,3.9,3.9,0
2014-08-06,3.9,4.08,3.9,4.08,1650
2014-08-07,4.08,4.08,4.08,4.08,0
2014-08-08,3.97,3.97,3.97,3.97,260
2014-08-11,3.82,4.04,3.82,3.82,1120
2014-08-12,4.01,4.01,3.82,3.97,40
2014-08-13,3.97,3.97,3.82,3.82,290
2014-08-14,3.97,3.97,3.97,3.97,60
2014-08-15,3.82,3.82,3.82,3.82,400
2014-08-18,3.82,3.9,3.82,3.9,2190
2014-08-19,3.75,3.75,3.75,3.75,1000
2014-08-20,3.78,3.86,3.78,3.86,30
2014-08-21,3.9,4.04,3.9,3.97,1100
2014-08-22,3.9,4.04,3.78,3.78,1040
2014-08-25,4.01,4.01,3.82,3.93,220
2014-08-26,3.93,3.93,3.93,3.93,0
2014-08-27,3.82,3.82,3.82,3.82,1050
2014-08-28,3.78,4.01,3.78,3.97,1100
2014-08-29,3.97,3.97,3.97,3.97,300
2014-09-03,3.93,3.93,3.9,3.9,910
2014-09-04,4.08,4.08,3.82,4.01,4480
2014-09-05,3.9,4.08,3.9,4.08,2240
2014-09-08,4.08,4.08,4.08,4.08,1790
2014-09-09,3.9,4.04,3.86,3.86,170
2014-09-10,4.08,4.08,3.78,3.82,210
2014-09-11,4.01,4.01,4.01,4.01,140
2014-09-12,4.01,4.01,4.01,4.01,3200
2014-09-15,4.08,4.19,3.86,4.19,2980
2014-09-16,4.15,4.15,3.93,4.08,690
2014-09-17,3.9,4.27,3.9,4.23,7250
2014-09-18,4.23,4.23,3.97,3.97,1000
2014-09-19,4.23,4.23,3.93,4.01,1110
2014-09-22,4.01,4.01,3.93,3.93,12000
2014-09-23,4.01,4.04,3.9,4.04,820
2014-09-24,4.08,4.23,4.08,4.23,1060
2014-09-25,3.97,4.41,3.97,4.38,2070
2014-09-26,4.08,4.08,4.08,4.08,50
2014-09-29,4.19,4.3,3.93,4.27,1390
2014-09-30,4.27,4.38,4.01,4.23,1240
2014-10-01,4.23,4.45,3.97,4.34,1000
2014-10-02,4.38,4.38,4.04,4.34,230
2014-10-03,4.04,4.19,4.04,4.19,1110
2014-10-06,4.01,4.38,4.01,4.23,1230
2014-10-07,4.34,4.34,4.23,4.27,380
2014-10-08,4.45,4.49,4.08,4.27,2710
2014-10-09,4.04,4.27,4.04,4.27,30
2014-10-10,4.27,4.45,4.08,4.34,930
2014-10-13,4.3,4.3,4.3,4.3,50
2014-10-14,4.3,4.3,4.04,4.27,110
2014-10-15,4.41,4.41,4.04,4.04,120
2014-10-16,4.27,4.27,4.27,4.27,20
2014-10-17,4.23,4.27,4.23,4.27,120
2014-10-20,4.27,4.27,4.27,4.27,100
2014-10-21,4.27,4.56,4.27,4.53,4240
2014-10-22,4.53,4.82,4.27,4.75,2550
2014-10-23,4.75,4.79,4.75,4.79,130
2014-10-24,4.79,4.93,4.45,4.86,3490
