time,open,high,low,close,volume
2019-09-27,44.41,44.41,44.41,44.41,1300
2019-09-30,51.07,51.07,51.07,51.07,180
2019-10-01,58.68,58.68,58.68,58.68,6682
2019-10-02,67.48,67.48,67.48,67.48,32080
2019-10-03,77.56,77.56,67.4,67.4,28893
2019-10-04,66.61,66.61,61.38,63.44,25942
2019-10-07,53.13,61.85,52.89,52.89,10624
2019-10-08,47.98,47.98,45.6,45.99,17952
2019-10-09,40.6,46.79,40.44,46.79,13965
2019-10-10,46.79,47.58,40.44,47.58,3752
2019-10-11,46.79,47.58,45.28,45.28,7258
2019-10-14,46.39,47.58,45.99,46.31,3222
2019-10-15,44.41,46.79,42.82,46.79,5312
2019-10-16,46.79,46.79,42.03,44.41,4333
2019-10-17,43.46,45.2,42.03,43.62,4231
2019-10-18,42.03,44.41,42.03,42.11,7176
2019-10-21,42.43,42.82,41.24,42.03,4588
2019-10-22,40.44,40.52,40.44,40.44,3285
2019-10-23,40.84,41.63,40.84,41.63,637
2019-10-24,41.63,41.87,41.24,41.63,2485
2019-10-25,41.63,41.87,41.24,41.63,4223
2019-10-28,44.01,45.99,43.06,43.14,715
2019-10-29,43.62,43.62,37.19,41.79,3868
2019-10-30,40.44,40.84,39.65,40.44,3850
2019-10-31,42.03,42.03,38.7,40.44,6660
2019-11-01,39.65,39.65,38.46,39.65,6970
2019-11-04,42.43,42.43,39.65,40.21,8100
2019-11-05,39.65,40.84,39.65,40.84,1651
2019-11-06,39.65,40.44,39.65,40.44,1909
2019-11-07,39.65,39.65,38.7,38.86,3296
2019-11-08,38.86,38.86,38.06,38.22,4880
2019-11-11,39.65,39.65,39.65,39.65,150
2019-11-12,38.06,39.25,38.06,38.14,4824
2019-11-13,39.65,42.03,39.65,41.16,840
2019-11-14,38.46,38.46,37.11,37.11,760
2019-11-15,41.24,42.03,37.27,38.06,2310
2019-11-18,36.95,38.06,35.68,36.48,4610
2019-11-19,35.68,36.87,34.89,36.87,3600
2019-11-20,35.68,36.08,35.68,35.76,950
2019-11-21,36.48,39.65,35.92,35.92,4300
2019-11-22,34.89,37.27,34.89,35.29,2000
2019-11-25,38.06,38.86,34.1,34.26,4520
2019-11-26,36.48,38.06,32.51,34.89,1200
2019-11-27,34.89,34.89,32.51,34.89,3150
2019-11-28,34.34,34.5,34.26,34.42,4200
2019-11-29,33.31,38.06,33.31,38.06,5457
2019-12-02,35.68,37.27,34.1,35.05,1600
2019-12-03,33.7,35.68,33.46,33.46,1110
2019-12-04,36.8,38.06,36.8,38.06,602
2019-12-05,34.1,35.92,33.78,35.68,1416
2019-12-06,34.89,35.68,34.89,35.53,1500
2019-12-09,34.5,36.0,34.5,36.0,1100
2019-12-10,35.45,36.08,34.65,34.89,3700
