time,open,high,low,close,volume
2013-04-26,11.7,11.7,11.7,11.7,0
2013-05-02,11.7,11.7,11.7,11.7,0
2013-05-03,11.7,11.7,11.7,11.7,0
2013-05-06,11.7,11.7,11.7,11.7,0
2013-05-07,11.0,11.0,11.0,11.0,500
2013-05-08,11.0,11.0,11.0,11.0,0
2013-05-09,11.0,11.0,11.0,11.0,0
2013-05-10,11.0,11.0,11.0,11.0,100
2013-05-13,11.0,11.0,11.0,11.0,0
2013-05-14,11.0,11.0,11.0,11.0,0
2013-05-15,11.0,11.0,11.0,11.0,0
2013-05-16,11.0,11.0,11.0,11.0,0
2013-05-17,11.0,11.0,11.0,11.0,0
2013-05-20,10.5,10.5,10.5,10.5,100
2013-05-21,10.5,10.5,10.5,10.5,0
2013-05-22,10.5,10.5,10.5,10.5,0
2013-05-23,10.5,10.5,10.5,10.5,0
2013-05-24,10.5,10.5,10.5,10.5,0
2013-05-27,10.5,10.5,10.5,10.5,0
2013-05-28,10.5,10.5,10.5,10.5,0
2013-05-29,10.5,10.5,10.5,10.5,0
2013-05-30,10.5,10.5,10.5,10.5,100
2013-05-31,10.2,10.2,10.2,10.2,3600
2013-06-03,10.2,10.2,10.2,10.2,0
2013-06-04,10.2,10.2,10.2,10.2,0
2013-06-05,10.2,10.2,10.2,10.2,100
2013-06-06,9.8,9.8,9.8,9.8,100
2013-06-07,10.0,10.0,9.8,10.0,1600
2013-06-10,9.8,10.0,9.3,10.0,4100
2013-06-11,9.4,9.4,9.3,9.3,9800
2013-06-12,9.3,9.3,9.3,9.3,0
2013-06-13,9.3,9.3,9.3,9.3,0
2013-06-14,9.3,9.3,9.3,9.3,100
2013-06-17,9.3,9.3,9.3,9.3,0
2013-06-18,9.3,9.3,9.3,9.3,0
2013-06-19,9.3,9.3,9.3,9.3,0
2013-06-20,9.5,9.5,9.5,9.5,500
2013-06-21,9.5,9.5,9.5,9.5,0
2013-06-24,9.5,9.5,9.5,9.5,0
2013-06-25,10.0,10.0,10.0,10.0,2300
2013-06-26,10.0,10.0,10.0,10.0,0
2013-06-27,10.0,10.0,10.0,10.0,0
2013-06-28,10.0,10.0,10.0,10.0,0
2013-07-01,9.0,10.1,9.0,10.1,300
2013-07-02,10.1,10.1,10.1,10.1,0
2013-07-03,10.5,10.5,9.3,9.3,200
2013-07-04,10.2,10.2,10.2,10.2,100
2013-07-05,10.2,10.2,10.2,10.2,0
2013-07-08,10.2,10.2,10.2,10.2,0
2013-07-09,10.5,10.5,10.5,10.5,100
2013-07-10,11.0,11.0,9.8,9.8,1100
2013-07-11,9.8,9.8,9.8,9.8,0
2013-07-12,10.3,10.3,10.3,10.3,100
2013-07-15,10.5,10.5,10.5,10.5,200
2013-07-16,10.5,10.5,10.5,10.5,0
2013-07-17,10.5,10.5,10.5,10.5,700
2013-07-18,10.5,10.5,10.5,10.5,3200
2013-07-19,10.5,10.5,10.5,10.5,1700
2013-07-22,10.5,10.5,10.5,10.5,2800
2013-07-23,10.5,10.5,10.5,10.5,0
2013-07-24,10.3,10.3,10.2,10.2,1300
2013-07-25,9.6,9.6,9.6,9.6,100
2013-07-26,9.6,9.6,9.6,9.6,0
2013-07-29,10.0,10.0,9.6,9.6,700
2013-07-30,9.8,9.8,9.8,9.8,2500
2013-07-31,9.8,9.8,9.8,9.8,0
2013-08-01,9.8,9.8,9.8,9.8,0
2013-08-02,9.8,9.8,9.8,9.8,0
2013-08-05,10.0,10.0,10.0,10.0,100
2013-08-06,10.0,10.0,10.0,10.0,0
2013-08-07,10.0,10.0,10.0,10.0,0
2013-08-08,10.1,10.1,10.1,10.1,500
2013-08-09,10.1,10.1,10.1,10.1,700
2013-08-12,10.1,10.1,10.1,10.1,0
2013-08-13,10.1,10.1,10.1,10.1,0
2013-08-14,10.1,10.1,10.1,10.1,0
2013-08-15,10.2,10.2,10.2,10.2,600
2013-08-16,10.2,10.2,10.2,10.2,0
2013-08-19,10.2,10.2,10.2,10.2,0
2013-08-20,10.2,10.2,10.2,10.2,0
2013-08-21,10.2,10.2,10.2,10.2,0
2013-08-22,10.2,10.2,10.2,10.2,1200
2013-08-23,10.2,10.2,10.2,10.2,2000
2013-08-26,10.2,10.2,10.2,10.2,0
