time,open,high,low,close,volume
2014-07-10,10.48,10.48,10.48,10.48,0
2014-07-11,10.48,10.48,10.48,10.48,0
2014-07-14,10.0,10.0,10.0,10.0,4800
2014-07-15,10.0,10.0,10.0,10.0,200
2014-07-16,10.0,10.0,10.0,10.0,0
2014-07-17,10.0,10.0,10.0,10.0,0
2014-07-18,10.0,10.0,10.0,10.0,0
2014-07-21,10.0,10.0,10.0,10.0,0
2014-07-22,10.0,10.0,10.0,10.0,0
2014-07-23,10.0,10.0,10.0,10.0,0
2014-07-24,10.0,10.0,10.0,10.0,0
2014-07-25,10.0,10.0,10.0,10.0,0
2014-07-28,9.8,9.8,9.8,9.8,400
2014-07-29,9.8,9.8,9.8,9.8,0
2014-07-30,9.8,9.8,9.8,9.8,0
2014-07-31,9.2,9.2,9.2,9.2,100
2014-08-01,8.84,8.84,8.84,8.84,100
2014-08-04,9.72,9.72,9.72,9.72,1000
2014-08-05,9.72,9.72,9.72,9.72,0
2014-08-06,9.72,9.72,9.72,9.72,0
2014-08-07,9.72,9.72,9.72,9.72,200
2014-08-08,9.72,9.72,9.72,9.72,0
2014-08-11,9.72,9.72,9.72,9.72,0
2014-08-12,10.0,10.0,10.0,10.0,300
2014-08-13,10.0,10.0,10.0,10.0,0
2014-08-14,10.0,10.0,10.0,10.0,0
2014-08-15,10.0,10.0,10.0,10.0,0
2014-08-18,10.72,10.72,10.72,10.72,4800
2014-08-19,10.72,10.72,10.72,10.72,0
2014-08-20,10.72,10.72,10.72,10.72,0
2014-08-21,10.72,10.72,10.72,10.72,1000
2014-08-22,10.72,10.72,10.72,10.72,0
2014-08-25,10.72,10.72,10.72,10.72,0
2014-08-26,10.72,10.72,10.72,10.72,0
2014-08-27,10.8,10.8,10.8,10.8,9000
2014-08-28,11.68,11.68,11.68,11.68,100
2014-08-29,11.68,11.68,11.68,11.68,0
2014-09-03,11.68,11.68,11.68,11.68,0
2014-09-04,12.32,12.32,12.32,12.32,100
2014-09-05,12.32,12.32,12.32,12.32,0
2014-09-08,12.32,12.32,12.32,12.32,0
2014-09-09,11.12,11.12,11.12,11.12,100
2014-09-10,12.2,12.2,12.2,12.2,100
2014-09-11,11.0,11.0,11.0,11.0,6600
2014-09-12,11.0,11.0,11.0,11.0,0
2014-09-15,10.8,11.2,10.8,11.2,6000
2014-09-16,11.2,11.2,11.2,11.2,0
2014-09-17,11.88,11.88,11.88,11.88,200
2014-09-18,12.8,12.8,11.88,11.88,400
2014-09-19,11.88,11.88,11.88,11.88,0
2014-09-22,11.88,11.88,11.88,11.88,0
2014-09-23,11.88,11.88,11.88,11.88,0
2014-09-24,11.88,11.88,11.88,11.88,0
2014-09-25,10.92,11.6,10.92,11.6,20000
2014-09-26,12.0,12.0,11.88,11.88,200
2014-09-29,13.0,13.0,11.6,11.94,1400
2014-09-30,12.8,13.0,11.6,13.0,800
2014-10-01,13.16,13.16,13.16,13.16,100
2014-10-02,13.16,13.16,13.16,13.16,0
2014-10-03,13.16,13.16,13.16,13.16,0
2014-10-06,12.0,12.0,12.0,12.0,300
2014-10-07,12.6,12.6,12.6,12.6,100
2014-10-08,12.6,12.6,12.6,12.6,0
2014-10-09,13.4,13.4,13.4,13.4,100
2014-10-10,13.4,13.4,13.4,13.4,0
2014-10-13,12.08,12.08,12.08,12.08,200
2014-10-14,13.2,13.2,13.2,13.2,100
2014-10-15,13.2,13.2,13.2,13.2,0
2014-10-16,12.0,12.0,12.0,12.0,100
2014-10-17,13.2,13.2,13.2,13.2,100
2014-10-20,13.2,13.2,13.2,13.2,0
2014-10-21,13.6,13.6,13.6,13.6,100
2014-10-22,12.24,12.24,12.24,12.24,100
2014-10-23,13.2,13.2,13.2,13.2,100
2014-10-24,13.2,13.2,13.2,13.2,0
2014-10-27,13.2,13.2,13.2,13.2,0
2014-10-28,12.0,12.6,12.0,12.6,200
2014-10-29,12.6,12.6,12.6,12.6,0
2014-10-30,12.0,12.0,12.0,12.0,100
2014-10-31,12.0,12.0,12.0,12.0,0
2014-11-03,10.8,11.56,10.8,11.56,1100
2014-11-04,11.56,11.8,11.52,11.8,14000
2014-11-05,11.8,11.8,11.8,11.8,0
2014-11-06,11.56,11.56,11.56,11.56,5800
2014-11-07,11.56,11.56,11.56,11.56,0
2014-11-10,11.56,12.0,11.56,11.92,19400
2014-11-11,10.8,12.0,10.8,11.76,9200
2014-11-12,11.88,12.0,11.88,11.92,14330
2014-11-13,11.88,11.92,11.88,11.92,4900
2014-11-14,12.8,12.8,12.8,12.8,500
2014-11-17,12.2,12.2,12.2,12.2,2000
2014-11-18,12.2,12.8,12.2,12.8,1600
2014-11-19,11.8,11.8,11.8,11.8,10000
2014-11-20,12.8,12.8,12.8,12.8,300
2014-11-21,13.16,13.16,13.16,13.16,100
2014-11-24,13.16,13.16,13.16,13.16,0
2014-11-25,13.16,13.16,13.16,13.16,0
2014-11-26,13.16,13.16,13.16,13.16,0
2014-11-27,13.6,13.6,13.48,13.48,200
2014-11-28,13.48,14.88,13.2,13.68,6500
2014-12-01,13.8,13.8,13.8,13.8,100
2014-12-02,13.8,13.8,13.8,13.8,500
2014-12-03,13.4,13.4,13.4,13.4,500
2014-12-04,13.0,14.72,13.0,14.72,700
2014-12-05,14.0,14.0,14.0,14.0,100
2014-12-08,14.0,14.0,14.0,14.0,0
2014-12-09,12.8,14.0,12.8,14.0,9100
2014-12-10,13.52,13.52,13.0,13.0,300
2014-12-11,14.0,14.0,14.0,14.0,100
2014-12-12,15.4,15.4,15.4,15.4,100
2014-12-15,15.4,15.4,15.4,15.4,0
2014-12-16,15.4,15.4,15.4,15.4,0
2014-12-17,15.0,15.0,15.0,15.0,100
2014-12-18,15.0,15.0,15.0,15.0,0
2014-12-19,15.2,15.2,15.2,15.2,100
2014-12-22,15.6,15.6,15.6,15.6,100
2014-12-23,16.0,16.0,16.0,16.0,100
2014-12-24,16.4,16.4,14.8,14.8,2100
2014-12-25,16.2,16.2,14.4,14.4,1000
2014-12-26,16.0,16.0,16.0,16.0,100
2014-12-29,16.0,17.0,16.0,17.0,300
2014-12-30,17.6,17.6,15.04,15.04,400
2014-12-31,16.72,16.72,14.72,16.32,5800
2015-01-05,16.32,16.32,16.32,16.32,0
2015-01-06,16.84,16.84,15.44,15.44,370
2015-01-07,15.2,15.2,14.36,14.36,4100
2015-01-08,14.36,14.36,14.36,14.36,0
2015-01-09,15.76,15.76,15.76,15.76,1000
2015-01-12,14.48,14.48,14.2,14.2,5000
2015-01-13,13.6,13.6,13.6,13.6,100
2015-01-14,13.32,13.32,12.96,12.96,15200
2015-01-15,14.32,14.32,14.32,14.32,100
2015-01-16,13.4,13.6,13.2,13.2,8800
2015-01-19,13.2,13.2,13.2,13.2,0
2015-01-20,13.2,13.2,13.2,13.2,0
2015-01-21,13.2,13.2,12.8,13.2,3400
2015-01-22,13.2,13.2,13.2,13.2,0
2015-01-23,13.4,13.4,13.04,13.16,23900
2015-01-26,13.0,13.28,13.0,13.28,5100
2015-01-27,13.6,13.6,13.6,13.6,100
2015-01-28,14.96,14.96,13.48,13.48,3100
2015-01-29,14.8,14.8,14.8,14.8,100
2015-01-30,16.0,16.0,16.0,16.0,100
2015-02-02,16.0,16.0,14.4,14.4,200
2015-02-03,14.4,14.4,14.4,14.4,0
2015-02-04,13.68,13.68,13.68,13.68,100
2015-02-05,13.0,13.0,13.0,13.0,1700
2015-02-06,12.8,12.8,12.8,12.8,1000
2015-02-09,12.8,12.8,12.8,12.8,1100
2015-02-10,12.0,12.72,12.0,12.72,1100
2015-02-11,12.96,12.96,12.8,12.8,1500
2015-02-12,12.84,12.84,12.84,12.84,3000
2015-02-13,12.84,13.96,12.8,12.8,3300
2015-02-24,12.84,13.6,12.84,13.4,2600
2015-02-25,14.6,14.6,14.6,14.6,100
2015-02-26,13.4,14.0,13.4,14.0,4500
2015-02-27,14.6,14.8,14.6,14.8,200
2015-03-02,14.4,14.4,13.56,13.56,1200
2015-03-03,13.72,14.4,13.72,14.4,800
2015-03-04,14.4,14.4,14.4,14.4,0
2015-03-05,13.2,13.96,13.2,13.96,900
2015-03-06,12.08,13.52,12.08,13.52,800
2015-03-09,13.2,13.2,13.2,13.2,100
2015-03-10,13.6,13.6,13.6,13.6,200
2015-03-11,13.6,13.6,13.6,13.6,0
2015-03-12,13.0,13.4,13.0,13.4,400
2015-03-13,13.84,14.0,13.52,14.0,4420
2015-03-16,13.92,13.92,13.92,13.92,100
2015-03-17,12.84,13.2,12.8,13.16,9000
2015-03-18,12.44,13.0,12.44,13.0,13200
2015-03-19,13.0,13.56,12.64,13.56,4630
2015-03-20,13.2,13.2,13.2,13.2,100
2015-03-23,13.2,13.2,13.2,13.2,0
2015-03-24,13.12,13.12,13.12,13.12,120
2015-03-25,13.8,13.8,13.8,13.8,100
2015-03-26,12.8,13.6,12.8,13.6,7500
2015-03-27,14.4,14.4,12.68,12.68,200
2015-03-30,14.8,14.8,13.0,14.0,3700
2015-03-31,13.52,14.6,13.52,13.57,6400
2015-04-01,14.68,14.68,14.12,14.4,13300
2015-04-02,14.4,14.4,14.4,14.4,0
2015-04-03,14.4,14.4,14.4,14.4,1100
2015-04-06,14.4,15.52,13.4,14.0,3600
2015-04-07,14.8,14.8,13.92,14.64,300
2015-04-08,14.8,14.8,14.8,14.8,100
2015-04-09,14.44,15.0,13.32,14.8,30300
2015-04-10,14.4,14.8,13.8,14.8,15100
2015-04-13,14.8,14.8,14.76,14.76,1100
2015-04-14,14.76,14.76,14.76,14.76,0
2015-04-15,14.76,14.76,14.76,14.76,100
2015-04-16,14.12,14.12,14.12,14.12,1200
2015-04-17,14.04,14.08,13.6,14.08,2300
2015-04-20,13.36,14.4,13.36,14.4,300
2015-04-21,14.36,14.36,14.36,14.36,100
2015-04-22,14.8,14.8,14.16,14.16,400
2015-04-23,15.52,15.52,14.24,14.24,700
2015-04-24,14.4,14.4,14.2,14.2,400
2015-04-27,14.2,14.2,14.2,14.2,10
2015-05-04,14.2,14.2,14.2,14.2,0
2015-05-05,13.36,14.2,13.2,14.2,9500
2015-05-06,14.16,14.16,13.4,13.96,2000
2015-05-07,14.12,14.12,14.08,14.08,5100
2015-05-08,14.08,14.08,14.08,14.08,0
2015-05-11,13.6,13.6,13.6,13.6,700
2015-05-12,13.44,13.44,13.4,13.4,300
2015-05-13,13.2,13.36,13.08,13.36,900
2015-05-14,13.2,13.4,13.2,13.4,2500
2015-05-15,13.52,13.96,13.52,13.96,17000
2015-05-18,13.96,13.96,13.96,13.96,0
2015-05-19,14.0,14.0,14.0,14.0,100
2015-05-20,13.64,13.92,13.64,13.88,900
2015-05-21,14.36,14.8,14.0,14.4,6800
2015-05-22,14.4,14.52,14.2,14.48,4305
2015-05-25,14.2,15.6,14.2,14.6,3700
2015-05-26,15.2,15.2,15.2,15.2,100
2015-05-27,15.6,15.6,14.2,15.16,6400
2015-05-28,15.52,16.0,14.28,15.2,2300
2015-05-29,16.1,16.1,16.1,16.1,100
2015-06-01,15.85,16.69,15.85,16.69,1100
2015-06-02,15.02,15.98,15.02,15.98,300
2015-06-03,15.65,15.81,15.65,15.73,500
2015-06-04,15.73,15.73,15.73,15.73,0
2015-06-05,16.06,16.69,16.06,16.27,400
2015-06-08,15.44,16.19,15.44,16.02,3800
2015-06-09,16.02,16.02,16.02,16.02,10
2015-06-10,16.06,16.06,16.06,16.06,100
2015-06-11,15.81,15.81,15.81,15.81,1300
2015-06-12,16.27,16.27,15.02,15.85,10200
2015-06-15,15.1,15.44,15.1,15.44,1300
2015-06-16,15.19,15.19,15.14,15.14,5600
2015-06-17,15.14,15.23,15.14,15.23,3300
2015-06-18,15.23,15.23,15.23,15.23,0
2015-06-19,15.14,15.14,15.14,15.14,100
2015-06-22,15.65,15.65,15.65,15.65,100
2015-06-23,15.14,15.44,15.14,15.44,200
2015-06-24,15.44,15.44,15.44,15.44,1000
2015-06-25,15.44,15.44,15.44,15.44,0
2015-06-26,15.81,15.81,15.44,15.77,9400
2015-06-29,16.23,16.23,15.73,15.73,3200
2015-06-30,15.85,16.9,15.23,16.9,17830
2015-07-01,15.44,15.69,15.44,15.69,600
2015-07-02,15.02,16.19,15.02,16.19,3600
2015-07-03,15.27,15.85,15.27,15.85,800
2015-07-06,15.65,15.65,15.65,15.65,2000
2015-07-07,15.65,15.69,15.65,15.65,4200
2015-07-08,15.85,15.85,15.85,15.85,100
2015-07-09,15.85,15.85,15.23,15.44,5000
2015-07-10,15.44,15.44,15.23,15.23,5300
2015-07-13,15.44,15.44,15.44,15.44,100
2015-07-14,15.6,15.65,15.6,15.65,1130
2015-07-15,15.65,15.65,15.65,15.65,0
2015-07-16,15.65,15.65,15.65,15.65,0
2015-07-17,15.1,15.6,15.1,15.6,200
2015-07-20,15.44,15.44,15.44,15.44,720
2015-07-21,15.44,15.44,15.44,15.44,1310
2015-07-22,15.44,15.44,15.44,15.44,0
2015-07-23,15.44,15.44,15.06,15.23,900
2015-07-24,15.14,15.44,15.1,15.35,1900
2015-07-27,16.27,16.27,15.35,15.39,2400
2015-07-28,15.65,15.65,15.39,15.52,2800
2015-07-29,15.44,15.44,15.44,15.44,1000
2015-07-30,15.39,15.39,15.39,15.39,100
2015-07-31,16.27,16.27,16.27,16.27,100
2015-08-03,15.85,15.85,15.85,15.85,700
2015-08-04,16.27,17.61,15.85,15.85,4100
2015-08-05,15.85,15.85,15.85,15.85,0
2015-08-06,15.85,15.85,15.85,15.85,0
2015-08-07,16.69,17.61,15.85,15.85,1600
2015-08-10,15.85,15.85,15.85,15.85,0
2015-08-11,16.15,16.15,15.06,15.06,5100
2015-08-12,16.06,16.06,15.1,15.9,1800
2015-08-13,15.85,15.85,15.85,15.85,100
2015-08-14,15.85,15.85,15.85,15.85,3800
2015-08-17,15.85,15.85,15.85,15.85,2900
2015-08-18,15.85,15.85,15.85,15.85,0
2015-08-19,15.77,15.77,15.77,15.77,1000
2015-08-20,15.77,15.77,15.77,15.77,0
2015-08-21,15.77,15.77,15.77,15.77,0
2015-08-24,15.77,15.77,15.77,15.77,0
2015-08-25,15.44,15.77,15.44,15.77,28000
2015-08-26,14.39,15.77,14.39,15.77,1100
2015-08-27,15.77,15.77,15.77,15.77,100
2015-08-28,15.65,15.77,15.65,15.65,15000
2015-08-31,16.48,16.48,16.48,16.48,100
2015-09-01,17.94,17.94,15.44,15.48,9900
2015-09-03,15.48,15.48,15.48,15.48,0
2015-09-04,15.69,15.69,14.64,14.64,2300
2015-09-07,16.06,16.06,16.06,16.06,100
2015-09-08,16.06,16.06,16.06,16.06,0
2015-09-09,15.85,15.85,15.44,15.44,2200
2015-09-10,14.81,15.6,14.81,15.6,2700
2015-09-11,15.81,15.81,15.81,15.81,100
2015-09-14,15.81,15.81,15.81,15.81,0
2015-09-15,15.02,15.77,15.02,15.77,500
2015-09-16,15.56,16.27,15.56,16.27,1000
2015-09-17,15.85,15.85,15.35,15.35,800
2015-09-18,15.65,15.65,15.65,15.65,100
2015-09-21,15.35,15.65,15.35,15.65,700
2015-09-22,16.4,16.4,16.4,16.4,100
2015-09-23,16.4,16.4,16.4,16.4,0
2015-09-24,15.44,15.44,15.35,15.35,2010
2015-09-25,15.77,15.77,15.77,15.77,100
2015-09-28,15.77,15.77,15.77,15.77,0
2015-09-29,15.85,15.85,15.85,15.85,100
2015-09-30,15.65,15.85,15.65,15.85,400
2015-10-01,16.27,17.52,15.65,16.9,5400
2015-10-02,16.48,16.48,15.27,16.23,900
2015-10-05,16.27,16.44,16.27,16.44,200
2015-10-06,15.85,15.85,15.23,15.85,1200
2015-10-07,15.44,15.52,15.44,15.52,5100
2015-10-08,15.44,15.48,15.44,15.44,8400
2015-10-09,15.02,15.02,15.02,15.02,300
2015-10-12,15.81,15.81,15.81,15.81,100
2015-10-13,15.81,15.81,15.81,15.81,1000
2015-10-14,15.06,15.73,15.06,15.69,3000
2015-10-15,15.81,15.81,15.81,15.81,100
2015-10-16,15.81,15.81,15.81,15.81,0
2015-10-19,15.77,15.77,15.77,15.77,100
2015-10-20,15.77,15.77,15.77,15.77,0
2015-10-21,15.73,15.73,15.73,15.73,1200
2015-10-22,15.69,15.69,15.69,15.69,200
2015-10-23,15.69,15.69,15.69,15.69,1200
2015-10-26,15.44,15.44,15.14,15.39,6700
2015-10-27,15.81,15.81,15.81,15.81,100
2015-10-28,15.39,15.39,15.02,15.31,6410
2015-10-29,15.77,15.77,15.44,15.69,2800
2015-10-30,15.77,15.81,15.77,15.81,200
2015-11-02,15.44,15.44,15.44,15.44,3000
2015-11-03,15.65,15.65,15.65,15.65,100
2015-11-04,15.6,15.65,15.6,15.65,500
2015-11-05,15.85,15.85,15.85,15.85,100
2015-11-06,15.23,15.23,15.23,15.23,1000
2015-11-09,15.81,15.81,15.81,15.81,100
2015-11-10,15.23,15.65,15.23,15.65,3600
2015-11-11,15.65,15.65,15.65,15.65,100
2015-11-12,15.44,15.44,15.44,15.44,400
2015-11-13,15.23,15.44,15.23,15.44,300
2015-11-16,15.35,15.48,15.35,15.48,700
2015-11-17,15.35,15.48,15.35,15.48,200
2015-11-18,15.44,15.44,15.44,15.44,500
2015-11-19,15.73,15.73,15.23,15.23,400
2015-11-20,15.23,15.81,15.23,15.81,900
2015-11-23,15.81,15.81,15.81,15.81,20
2015-11-24,15.31,15.31,15.31,15.31,200
2015-11-25,15.65,15.65,15.02,15.39,900
2015-11-26,15.81,15.81,15.81,15.81,100
2015-11-27,15.81,15.81,15.81,15.81,0
2015-11-30,15.81,15.81,15.44,15.73,1112
2015-12-01,15.39,15.39,15.14,15.14,1600
2015-12-02,15.65,15.65,15.23,15.23,1500
2015-12-03,15.23,15.23,15.02,15.02,1900
2015-12-04,15.65,15.65,15.65,15.65,100
2015-12-07,15.35,15.39,14.6,15.39,1200
2015-12-08,14.81,14.89,14.19,14.89,5300
